公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2701,萬企,34652,32773,22518,5.73,53.88,322752,276262,16.82
2702,華園,26115,15451,18445,69.01,41.58,174367,149627,16.53
2704,國賓,260257,251912,235563,3.31,10.48,2312635,2167908,6.67
2705,六福,279081,262775,207670,6.2,34.38,2644122,2001386,32.11
2706,第一店,29605,28243,26900,4.82,10.05,284940,269236,5.83
2707,晶華酒店,325911,296699,314545,9.84,3.61,2967455,2900809,2.29
2722,夏都,50143,51167,46762,-2.0,7.23,547779,539434,1.54
2727,王品,674796,636348,522729,6.04,29.09,6357283,4720407,34.67
5706,鳳凰旅遊,295091,208535,223091,41.5,32.27,2341340,2008492,16.57
8940,新天地,161013,84395,90045,90.78,78.81,926341,736341,25.8
合計,合計,2136664,1868298,1708268,14.36,25.07,18879014,15769902,19.71
