公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1437,勤益,128069,93064,153541,37.61,-16.58,338872,416610,-18.65
2302,麗正,28463,27351,27567,4.06,3.25,79888,75438,5.89
2303,聯電,9585283,9007512,9479926,6.41,1.11,28117850,26715230,5.25
2311,日月光,5890457,5059634,5349926,16.42,10.1,16619680,14638659,13.53
2325,矽品,4607316,4083470,5257234,12.82,-12.36,13310008,15051665,-11.57
2329,華泰電子,971674,677862,857132,43.34,13.36,2498636,2346728,6.47
2330,台積電,36370479,31753825,30823003,14.53,17.99,102548478,89174508,14.99
2337,旺宏,2021769,2403074,2247331,-15.86,-10.03,6572738,6567981,0.07
2338,光罩,152165,126127,181498,20.64,-16.16,439524,536376,-18.05
2342,茂矽,281804,297680,341740,-5.33,-17.53,930764,1006786,-7.55
2344,華邦電,2374640,2187939,2445844,8.53,-2.91,7158814,7012841,2.08
2351,順德,727904,533246,596333,36.5,22.06,1911280,1714596,11.47
2363,矽統科技,176662,159430,240859,10.8,-26.65,500380,604754,-17.25
2369,菱生,561453,427314,581996,31.39,-3.52,1550498,1447358,7.12
2379,瑞昱,2028304,1479425,2271279,37.1,-10.69,5393888,6249086,-13.68
2388,威盛電子,475701,329465,536326,44.38,-11.3,1239996,1244685,-0.37
2401,凌陽科技,406524,206008,643440,97.33,-36.82,1033719,1665030,-37.91
2408,南科,3737025,3551825,5257108,5.21,-28.91,10731578,14120809,-24.0
2425,承啟,147140,104573,485177,40.7,-69.67,430422,962700,-55.29
2434,統懋,80316,53646,68736,49.71,16.84,189592,172371,9.99
2436,偉詮電,197649,151204,221834,30.71,-10.9,510956,596307,-14.31
2441,超豐電子,882696,545029,1040885,61.95,-15.19,2246665,2709340,-17.07
2449,京元電,975351,970771,1180182,0.47,-17.35,2976259,3340764,-10.91
2451,創見資訊,2904616,1884552,2835616,54.12,2.43,7563330,8110202,-6.74
2454,聯發科,4761251,2735915,6578483,74.02,-27.62,12276778,20184664,-39.17
2458,義隆,438916,313696,505145,39.91,-13.11,1174114,1227286,-4.33
2481,強茂,490957,337978,452360,45.26,8.53,1200136,1203010,-0.23
3006,晶豪科技,626238,399684,803580,56.68,-22.06,1635353,1982001,-17.48
3014,聯陽,382866,273066,398577,40.21,-3.94,1026157,1162670,-11.74
3016,嘉晶,91753,71434,71485,28.44,28.35,245118,199112,23.1
3034,聯詠,2933791,2419204,3124423,21.27,-6.1,8379243,8688427,-3.55
3035,智原,470522,350228,525101,34.34,-10.39,1267977,1471967,-13.85
3041,揚智,305435,163889,503382,86.36,-39.32,746799,1300850,-42.59
3054,萬國科技,130139,91859,100744,41.67,29.17,317497,205463,54.52
3094,聯傑國際,32714,28080,53177,16.5,-38.48,91471,138958,-34.17
3189,景碩科技,1321151,1104018,1068305,19.66,23.66,3808889,2947836,29.2
3257,虹冠電,45540,38261,41259,19.02,10.37,128957,119219,8.16
3443,創意電子,716387,612145,783165,17.02,-8.52,2093500,2157105,-2.94
3474,華亞科,3628567,2735602,4139814,32.64,-12.34,9586055,11518393,-16.77
3519,綠能,2330280,2113812,1202652,10.24,93.76,6511723,3300592,97.28
3532,台勝科,808358,737554,803694,9.59,0.58,2293718,2242050,2.3
3545,旭曜,415408,336472,446611,23.45,-6.98,1168019,1210521,-3.51
3559,全智科,87348,80390,84437,8.65,3.44,262655,244085,7.6
3579,尚志,63526,62841,61036,1.09,4.07,177442,144493,22.8
3583,辛耘,61966,90884,49575,-31.81,24.99,242269,155468,55.83
3588,通嘉,90026,75850,102663,18.68,-12.3,250149,290558,-13.9
3598,奕力,741604,472545,451205,56.93,64.36,1794714,1154525,55.45
3686,達能,580592,514921,236281,12.75,145.72,1564263,610277,156.32
4919,新唐科技,578394,506750,683369,14.13,-15.36,1630938,1871805,-12.86
4952,凌通科技,314029,158143,289292,98.57,8.55,677607,633506,6.96
5305,敦南科技,586073,445176,859164,31.64,-31.78,1645714,2315892,-28.93
5471,松翰科技,317912,205062,372853,55.03,-14.73,778593,1016472,-23.4
6145,勁永國際,739946,516171,2659272,43.35,-72.17,1983278,7364971,-73.07
6202,盛群,310456,223017,351802,39.2,-11.75,805832,870865,-7.46
6239,力成,3153979,3078674,2911044,2.44,8.34,9391662,8526743,10.14
6243,迅杰,128472,62467,150306,105.66,-14.52,284254,395387,-28.1
6257,矽格,379409,319272,402054,18.83,-5.63,1066860,1054430,1.17
6271,同欣電子,516638,440952,435280,17.16,18.69,1509933,1117674,35.09
6286,立錡,876847,824010,982630,6.41,-10.76,2641937,2719462,-2.85
8016,矽創電子,437851,256370,460190,70.78,-4.85,1018420,1311564,-22.35
8081,致新,484965,307670,451239,57.62,7.47,1262247,1224309,3.09
8110,華東,692758,607104,591507,14.1,17.11,1960753,1603463,22.28
8131,福懋科技,1046405,964584,1003073,8.48,4.31,3024871,2848099,6.2
8261,富鼎,299763,206666,339536,45.04,-11.71,784172,860516,-8.87
8271,宇瞻科技,817205,610165,1414086,33.93,-42.2,2274997,3816672,-40.39
合計,合計,108949897,92006607,110068364,18.41,-1.01,305878879,309892184,-1.29
