公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2208,台船公司,2505140,2052593,2317333,22.04,8.1,7314672,5912401,23.71
2601,益航,15251,14405,18788,5.87,-18.82,45596,57340,-20.48
2603,長榮海運,1204544,1079830,1215230,11.54,-0.87,3685070,3707989,-0.61
2605,新興,27359,20339,18621,34.51,46.92,63947,53141,20.33
2606,裕民,122358,98336,259623,24.42,-52.87,345841,591637,-41.54
2607,榮運,372605,286146,341174,30.21,9.21,1024397,971302,5.46
2608,嘉里大榮,536021,340264,480272,57.53,11.6,1448082,1321573,9.57
2609,陽明海運,6575044,7675241,7075106,-14.33,-7.06,22938890,21835206,5.05
2610,華航,11285172,9223656,11092705,22.35,1.73,31549982,31217011,1.06
2611,志信,35517,24116,42561,47.27,-16.55,92644,123855,-25.19
2612,中航,158459,126636,141511,25.12,11.97,426512,375275,13.65
2613,中櫃,205271,179241,189189,14.52,8.5,567046,523670,8.28
2614,東森,575287,670658,391805,-14.22,46.82,1898086,1471388,28.99
2615,萬海,5771592,4238551,5060083,36.16,14.06,15620592,13276238,17.65
2617,台航,125065,96634,109992,29.42,13.7,347278,299460,15.96
2618,長榮航,8412048,7138220,8283066,17.84,1.55,24184992,23144092,4.49
5607,遠雄港,6950,-7240,3,195.99,231566.66,6955,9,77177.77
5608,四維航業,53038,50507,41969,5.01,26.37,153970,127943,20.34
6702,復興航空,582040,670427,588413,-13.18,-1.08,1934052,1782739,8.48
合計,合計,38568761,33978560,37667444,13.5,2.39,113648604,106792269,6.42
