公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1704,榮化,2942644,3243322,2696718,-9.27,9.11,10742527,9657360,11.23
1708,東鹼,226165,226048,243590,0.05,-7.15,849386,946945,-10.3
1709,和益化工,903441,954334,775673,-5.33,16.47,3413302,2881369,18.46
1710,東聯,1126939,1272825,1139700,-11.46,-1.11,4686324,4425837,5.88
1711,永光化學,516823,519413,675074,-0.49,-23.44,1924005,2117516,-9.13
1712,興農,587659,675896,478551,-13.05,22.79,2251311,2045914,10.03
1713,國化,55110,53189,46824,3.61,17.69,200170,167670,19.38
1714,和桐化學,1277744,1176114,1002815,8.64,27.41,4514474,3819270,18.2
1717,長興化學,1607096,1770843,1699936,-9.24,-5.46,6254510,6119896,2.19
1718,中纖,1511618,1501503,1085557,0.67,39.24,5967719,4898462,21.82
1721,三晃,146778,190048,136301,-22.76,7.68,606930,595051,1.99
1722,台肥,1388082,1522037,1271272,-8.8,9.18,5403353,4460904,21.12
1723,中碳,729185,872295,702718,-16.4,3.76,3187738,2372623,34.35
1724,台硝,209766,252551,144333,-16.94,45.33,827573,511674,61.73
1725,元禎,1016004,912758,994598,11.31,2.15,3496187,3314261,5.48
1726,永記造漆,410367,459746,455782,-10.74,-9.96,2067272,2083423,-0.77
1727,中華化學,170305,185577,148482,-8.22,14.69,657762,525276,25.22
1730,花仙子,67349,79370,68245,-15.14,-1.31,324166,301690,7.45
1732,毛寶,61691,52827,60683,16.77,1.66,268392,258287,3.91
1735,日勝化,195533,263142,268441,-25.69,-27.15,734829,781733,-6.0
1737,臺鹽,187183,271508,191278,-31.05,-2.14,852231,701503,21.48
1773,勝一化工,593446,672541,607664,-11.76,-2.33,2342482,1971639,18.8
4722,國精化學,270593,330288,213655,-18.07,26.64,975307,696468,40.03
4725,信昌化,2629677,2688176,2106069,-2.17,24.86,9524496,7694871,23.77
4733,上緯企業,160855,172527,95136,-6.76,69.07,582269,359031,62.17
1701,中化,243363,290486,237364,-16.22,2.52,960150,961243,-0.11
1707,葡萄王,216328,219068,196812,-1.25,9.91,789074,623679,26.51
1720,生達化學,158565,193861,169303,-18.2,-6.34,690116,662988,4.09
1729,必翔實業,104081,94259,102971,10.42,1.07,344823,309432,11.43
1731,美吾華,194937,208913,227968,-6.68,-14.48,803009,868393,-7.52
1733,五鼎,150008,137873,139592,8.8,7.46,514010,569948,-9.81
1734,杏輝藥品,130262,156954,133693,-17.0,-2.56,546262,500124,9.22
1736,喬山健康,532172,627993,520934,-15.25,2.15,2008424,2007498,0.04
1762,中化合成,108666,91747,84319,18.44,28.87,387240,374813,3.31
1789,台灣神隆,247136,397482,285735,-37.82,-13.5,1041363,1210056,-13.94
3164,景岳生技,18403,14972,27736,22.91,-33.64,69406,118475,-41.41
3705,永信,45062,57885,0,-22.15,,203090,0,
4104,佳醫,264017,273925,241076,-3.61,9.51,1064127,959163,10.94
4106,雃博,119417,179067,184339,-33.31,-35.21,487806,543440,-10.23
4108,懷特,14717,13392,9972,9.89,47.58,39729,15314,159.42
4119,旭富製藥,75579,75153,80464,0.56,-6.07,342075,310477,10.17
4133,亞諾法,41568,44947,42627,-7.51,-2.48,164351,157548,4.31
4142,國光生技,7982,43832,364,-81.78,2092.85,52099,719514,-92.75
4737,華廣,106660,111274,87515,-4.14,21.87,394921,312281,26.46
4746,台耀,214069,233778,192506,-8.43,11.2,820590,672468,22.02
合計,合計,21985045,23785739,20274385,-7.57,8.43,84377380,75605527,11.6
