公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1437,勤益,117878,128069,153130,-7.95,-23.02,456751,569739,-19.83
2302,麗正,37671,28463,31077,32.35,21.21,117559,106515,10.36
2303,聯電,9563916,9585283,9319288,-0.22,2.62,37681766,36034517,4.57
2311,日月光,5733128,5890457,5453785,-2.67,5.12,22352808,20092444,11.24
2325,矽品,4433461,4607316,5101393,-3.77,-13.09,17743469,20153058,-11.95
2329,華泰電子,894672,971674,859321,-7.92,4.11,3393308,3206049,5.84
2330,台積電,36230359,36370479,32683232,-0.38,10.85,138778837,121857740,13.88
2337,旺宏,2147686,2021769,2294731,6.22,-6.4,8720423,8862712,-1.6
2338,光罩,164369,152165,182291,8.02,-9.83,603893,718667,-15.97
2342,茂矽,371433,281804,381472,31.8,-2.63,1302197,1388258,-6.19
2344,華邦電,2527453,2374640,2711986,6.43,-6.8,9686267,9724827,-0.39
2351,順德,740068,727904,664738,1.67,11.33,2651348,2379334,11.43
2363,矽統科技,157695,176662,237497,-10.73,-33.6,658074,842251,-21.86
2369,菱生,520210,561453,534961,-7.34,-2.75,2070708,1982319,4.45
2379,瑞昱,2056868,2028304,2189994,1.4,-6.07,8053294,8439080,-4.57
2388,威盛電子,449918,475701,436397,-5.42,3.09,1689914,1681082,0.52
2401,凌陽科技,389528,406524,642155,-4.18,-39.34,1423247,2307185,-38.31
2408,南科,4436388,3737025,5221150,18.71,-15.03,15167966,19341959,-21.57
2425,承啟,61410,147140,250053,-58.26,-75.44,491832,1212753,-59.44
2434,統懋,71535,80316,82553,-10.93,-13.34,261127,254924,2.43
2436,偉詮電,189166,197649,219116,-4.29,-13.66,700122,815423,-14.14
2441,超豐電子,821006,882696,1000991,-6.98,-17.98,3067671,3710331,-17.32
2449,京元電,911449,975351,1213115,-6.55,-24.86,3887708,4553879,-14.62
2451,創見資訊,2380379,2904616,2250961,-18.04,5.74,9943709,10361163,-4.02
2454,聯發科,4698646,4761251,8004184,-1.31,-41.29,16975424,28188848,-39.77
2458,義隆,466165,438916,570078,6.2,-18.22,1640279,1797364,-8.73
2481,強茂,528971,490957,475569,7.74,11.22,1729107,1678579,3.01
3006,晶豪科技,659342,626238,880544,5.28,-25.12,2294695,2862545,-19.83
3014,聯陽,355559,382866,406346,-7.13,-12.49,1381716,1569016,-11.93
3016,嘉晶,94006,91753,87279,2.45,7.7,339124,286391,18.41
3034,聯詠,3064380,2933791,3246143,4.45,-5.59,11443623,11934571,-4.11
3035,智原,450243,470522,515175,-4.3,-12.6,1718220,1987142,-13.53
3041,揚智,319259,305435,425415,4.52,-24.95,1066058,1726265,-38.24
3054,萬國科技,94633,130139,62089,-27.28,52.41,412131,267552,54.03
3094,聯傑國際,25171,32714,51764,-23.05,-51.37,116642,190722,-38.84
3189,景碩科技,1303373,1321151,1157100,-1.34,12.64,5112262,4104936,24.53
3257,虹冠電,48382,45540,44980,6.24,7.56,177339,164199,8.0
3443,創意電子,693718,716387,790980,-3.16,-12.29,2787218,2948085,-5.45
3474,華亞科,3199280,3628567,4257538,-11.83,-24.85,12785335,15775931,-18.95
3519,綠能,2374201,2330280,1212025,1.88,95.88,8885924,4512618,96.91
3532,台勝科,858294,808358,862721,6.17,-0.51,3152011,3104772,1.52
3545,旭曜,410366,415408,458757,-1.21,-10.54,1578385,1669278,-5.44
3559,全智科,84966,87348,87056,-2.72,-2.4,347621,331141,4.97
3579,尚志,69073,63526,63560,8.73,8.67,246516,208053,18.48
3583,辛耘,86016,61966,55853,38.81,54.0,328285,211320,55.34
3588,通嘉,90121,90026,113505,0.1,-20.6,340270,404064,-15.78
3598,奕力,729688,741604,416376,-1.6,75.24,2524402,1570901,60.69
3686,達能,595830,580592,237741,2.62,150.62,2160092,848018,154.72
4919,新唐科技,697583,578394,723927,20.6,-3.63,2328521,2595732,-10.29
4952,凌通科技,360141,314029,350387,14.68,2.78,1037747,983893,5.47
5305,敦南科技,602443,586073,790094,2.79,-23.75,2248157,3105986,-27.61
5471,松翰科技,415656,317912,407791,30.74,1.92,1194249,1424263,-16.14
6145,勁永國際,569473,739946,1511435,-23.03,-62.32,2552751,8876407,-71.24
6202,盛群,333764,310456,360178,7.5,-7.33,1139596,1231043,-7.42
6239,力成,3227799,3153979,2942648,2.34,9.69,12619461,11469391,10.02
6243,迅杰,117426,128472,126253,-8.59,-6.99,401680,521640,-22.99
6257,矽格,359636,379409,412248,-5.21,-12.76,1426496,1466678,-2.73
6271,同欣電子,507528,516638,444456,-1.76,14.19,2017461,1562130,29.14
6286,立錡,953354,876847,1095116,8.72,-12.94,3595290,3814578,-5.74
8016,矽創電子,391090,437851,472170,-10.67,-17.17,1409510,1783734,-20.97
8081,致新,476129,484965,461325,-1.82,3.2,1738376,1685634,3.12
8110,華東,676694,692758,603761,-2.31,12.07,2637447,2207224,19.49
8131,福懋科技,1060778,1046405,979918,1.37,8.25,4085649,3828017,6.73
8261,富鼎,255627,299763,313026,-14.72,-18.33,1039799,1173542,-11.39
8271,宇瞻科技,766682,817205,1062641,-6.18,-27.85,3041679,4879313,-37.66
2301,光寶科技,8223264,8571505,8769444,-4.06,-6.22,31168738,33060393,-5.72
