公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1301,台塑,16802319,18220577,16918837,-7.78,-0.68,87154625,81506727,6.92
1303,南亞塑膠,16394496,19135226,18515484,-14.32,-11.45,94118528,88755869,6.04
1304,台聚,1080629,1289775,1054715,-16.21,2.45,5863369,5070686,15.63
1305,華夏,831675,918915,720827,-9.49,15.37,4145351,3518055,17.83
1307,三芳化工,572068,663190,498629,-13.73,14.72,2960154,2402115,23.23
1308,亞聚,578932,678845,490122,-14.71,18.11,3121054,2624745,18.9
1309,台達化工,954938,1045075,919647,-8.62,3.83,4865562,4284139,13.57
1310,台苯,1191584,1003766,1238903,18.71,-3.81,5616875,5634616,-0.31
1312,國喬石化,1485163,1707117,1415792,-13.0,4.89,8142051,6925333,17.56
1313,聯成,550387,675713,655643,-18.54,-16.05,3215610,3462701,-7.13
1314,中石化,3527291,3664091,3584938,-3.73,-1.6,17139379,15638259,9.59
1315,達新工業,191331,219828,171180,-12.96,11.77,946559,813232,16.39
1316,上曜,20661,19719,15134,4.77,36.52,78529,87844,-10.6
1319,東陽,1077926,1023855,801973,5.28,34.4,5268941,3893736,35.31
1321,大洋,452959,500604,457856,-9.51,-1.06,2254422,2215351,1.76
1323,永裕,145156,139490,125737,4.06,15.44,675477,623615,8.31
1324,地球工業,129691,155518,107733,-16.6,20.38,661417,534583,23.72
1325,�琱j,97050,100313,88701,-3.25,9.41,494499,442727,11.69
1326,台化,24173330,25930706,25130287,-6.77,-3.8,131758883,121501454,8.44
1339,昭輝,91227,97501,78386,-6.43,16.38,458004,443714,3.22
1715,亞洲化學,387307,387827,354417,-0.13,9.28,1771820,1632109,8.56
4306,炎洲,468741,536021,386919,-12.55,21.14,2298505,1743194,31.85
合計,合計,71204861,78113672,73731860,-8.84,-3.42,383009614,353754804,8.26
