公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1436,福益,765,768,780,-0.39,-1.92,4542,4928,-7.83
1442,名軒,146690,112317,115990,30.6,26.46,1066426,1023967,4.14
1805,寶徠,252622,2849,35807,8767.04,605.51,276967,150166,84.44
1808,潤隆,203832,55773,104885,265.46,94.33,520888,802324,-35.07
2501,國建,440104,432848,472725,1.67,-6.9,986378,2670892,-63.06
2504,國產,697070,745539,673289,-6.5,3.53,4376863,4366461,0.23
2505,國揚實業,57108,59098,307012,-3.36,-81.39,366346,557433,-34.27
2506,太設,52850,93395,577716,-43.41,-90.85,1907600,1254359,52.07
2509,全坤建,152816,222909,125380,-31.44,21.88,1089114,1040790,4.64
2511,太子,645754,713129,1317121,-9.44,-50.97,4198579,4354605,-3.58
2515,中工,1130849,1013785,1341078,11.54,-15.67,6481962,7180737,-9.73
2516,新亞,733735,517057,736957,41.9,-0.43,3331240,3443984,-3.27
2520,冠德,1212348,340505,741850,256.04,63.42,2922378,3936908,-25.76
2524,京城,148788,155575,281291,-4.36,-47.1,1628194,1643339,-0.92
2527,宏璟,18554,2329,29558,696.65,-37.22,126426,226474,-44.17
2528,皇普建設,27,35,210,-22.85,-87.14,413,4647,-91.11
2530,華建,304519,86636,50847,251.49,498.89,1180293,1150172,2.61
2534,宏盛,84665,39997,195269,111.67,-56.64,302166,2134541,-85.84
2535,達工,826153,1274623,1233525,-35.18,-33.02,5514434,5706866,-3.37
2536,宏普建設,368254,115235,381193,219.56,-3.39,1269792,2046972,-37.96
2537,聯上開發,11716,59082,46,-80.16,25369.56,113362,84546,34.08
2538,基泰建設,485744,115139,728921,321.87,-33.36,1206579,1448948,-16.72
2539,櫻花建設,237,234,81661,1.28,-99.7,119923,441134,-72.81
2540,金尚昌,0,0,0,,,0,0,
2542,興富發,1325410,1316859,1327013,0.64,-0.12,13218479,13235946,-0.13
2543,皇昌營造,326896,345865,362229,-5.48,-9.75,2175266,2367020,-8.1
2545,皇翔,1041388,214586,285319,385.3,264.99,3823442,450850,748.05
2546,根基,697991,443905,748841,57.23,-6.79,3170461,2705890,17.16
2547,日勝,1718731,557379,635432,208.35,170.48,7129910,3886548,83.45
2548,華固建設,562156,618493,461468,-9.1,21.81,4700821,4884884,-3.76
2597,潤弘精密,221893,328243,313796,-32.39,-29.28,1700585,2852904,-40.39
2841,台灣土地,1218065,50003,82513,2335.98,1376.2,1342108,253676,429.06
3056,總太地產,0,9523,4855,-100.0,-100.0,547411,118400,362.34
3703,欣陸投控,2035,11927,125205,-82.93,-98.37,568054,512615,10.81
5515,建國工程,240012,263725,336659,-8.99,-28.7,1607584,2189413,-26.57
5521,工信,438919,369308,564153,18.84,-22.19,2338948,5689569,-58.89
5522,遠雄建設,1472338,1598849,2203631,-7.91,-33.18,9542101,14153808,-32.58
5525,順天建設,26091,44720,108344,-41.65,-75.91,390945,602941,-35.16
5531,鄉林建設,223415,1827526,134387,-87.77,66.24,3474535,1641784,111.63
5533,皇鼎建設,112151,175865,45304,-36.22,147.55,1701413,1328944,28.02
5534,長虹,203124,240218,695954,-15.44,-70.81,2907902,3566224,-18.45
合計,合計,17805815,14575851,17968214,22.15,-0.9,99330830,106116609,-6.39
