公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1532,勤美,400321,401652,309123,-0.33,29.5,2318725,2049161,13.15
2002,中鋼,21355208,21189637,19713618,0.78,8.32,120134316,112508620,6.77
2006,東和鋼鐵,2634117,3495033,2385140,-24.63,10.43,19437010,15922439,22.07
2007,燁興公司,798905,919568,901607,-13.12,-11.39,6038164,5801352,4.08
2008,高興昌,401781,412027,285691,-2.48,40.63,2834048,3599126,-21.25
2009,第一伸銅,429708,475021,671550,-9.53,-36.01,3067858,3428293,-10.51
2010,春源鋼鐵,1568700,1481403,1085250,5.89,44.54,8541114,7219223,18.31
2012,春雨,365839,434528,301781,-15.8,21.22,2382814,1758306,35.51
2013,中鋼構,1406961,926210,840334,51.9,67.42,6303261,4321793,45.84
2014,中鴻,2939140,2879312,3532187,2.07,-16.78,23333056,22275080,4.74
2015,豐興鋼鐵,3363978,3396830,2807694,-0.96,19.81,19089991,15578416,22.54
2017,官田鋼,537782,507265,415918,6.01,29.3,3328712,2690192,23.73
2020,美亞鋼管,423424,383786,409368,10.32,3.43,2761974,2746787,0.55
2022,聚亨,178988,187168,193316,-4.37,-7.41,1474881,1197138,23.2
2023,燁輝,2628955,2553711,3312730,2.94,-20.64,17186934,17694830,-2.87
2024,志聯工業,158792,183611,164021,-13.51,-3.18,1109903,953556,16.39
2025,千興,394211,747172,133999,-47.23,194.18,4116375,2540164,62.05
2027,大成鋼,1338879,897183,947821,49.23,41.25,5761464,4816978,19.6
2028,威致鋼鐵,826175,973933,606540,-15.17,36.21,5735960,3217512,78.27
2029,盛餘,1382413,1659808,1213865,-16.71,13.88,9071790,8253398,9.91
2030,彰源,1186343,1306299,1001794,-9.18,18.42,7814257,5810505,34.48
2031,新光鋼,575403,665487,616997,-13.53,-6.74,3798500,4261185,-10.85
2032,新鋼工業,392803,361688,412720,8.6,-4.82,2530787,2490439,1.62
2033,佳大世界,85481,93542,115854,-8.61,-26.21,552355,579188,-4.63
2034,允強,2599239,2705153,1827204,-3.91,42.25,13605686,10608290,28.25
2038,海光企業,1114249,1218602,1044638,-8.56,6.66,7297679,6104949,19.53
3004,豐達科技,130463,52451,103791,148.73,25.69,438527,405181,8.22
5007,三星科技,540661,557387,399917,-3.0,35.19,3069275,2035510,50.78
9958,世紀鋼構,136398,128772,243041,5.92,-43.87,963138,1138537,-15.4
合計,合計,50295317,51194239,45997509,-1.75,9.34,304098554,272006148,11.79
