公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1503,士電,1235531,1543464,1084388,-19.95,13.93,12244542,10777732,13.6
1504,東元電機,2288804,2596117,1893793,-11.83,20.85,19579947,17601933,11.23
1506,正道,84829,76182,75621,11.35,12.17,737675,579845,27.21
1507,永大機電,319292,316335,324661,0.93,-1.65,2795944,2769658,0.94
1512,瑞利,239032,224404,196239,6.51,21.8,1984303,1774007,11.85
1513,中興電,708691,526653,710692,34.56,-0.28,5697511,5611618,1.53
1514,亞力電機,299604,279605,303744,7.15,-1.36,2359122,1966782,19.94
1515,力山,298867,179801,363939,66.22,-17.87,1747125,2579850,-32.27
1516,川飛,0,762,79,-100.0,-100.0,10165,173948,-94.15
1517,利奇機械,203360,205068,190302,-0.83,6.86,1540719,1631039,-5.53
1519,華城電機,217328,396364,522092,-45.16,-58.37,3177438,3220081,-1.32
1521,大億,422504,347183,318135,21.69,32.8,3069808,2871140,6.91
1522,堤維西,731342,674912,701225,8.36,4.29,6151553,6081166,1.15
1524,耿鼎公司,266200,256521,247904,3.77,7.38,2310650,2411162,-4.16
1525,江申工業,101834,95848,85478,6.24,19.13,993397,852501,16.52
1526,日馳,42479,61970,42219,-31.45,0.61,471578,432765,8.96
1527,鑽全,252082,265122,231937,-4.91,8.68,2133315,2148693,-0.71
1528,恩德,253990,279457,273242,-9.11,-7.04,2187992,2170795,0.79
1529,樂士,6741,7039,7371,-4.23,-8.54,86971,101106,-13.98
1530,亞崴機電,241082,280127,194606,-13.93,23.88,2194064,1805255,21.53
1531,高林股,220469,266511,290232,-17.27,-24.03,2875354,2830915,1.56
1533,車王電,120341,143524,134773,-16.15,-10.7,1114240,1052121,5.9
1535,中宇,871106,502807,596464,73.24,46.04,5982486,5524089,8.29
1536,和大工業,226826,285352,199825,-20.51,13.51,1984517,1715771,15.66
1537,廣隆光電,380022,362737,322804,4.76,17.72,2971614,2494962,19.1
1538,正峰新,83578,70329,82225,18.83,1.64,724941,878683,-17.49
1539,巨庭機械,84717,69173,113464,22.47,-25.33,790585,801462,-1.35
1540,喬福機械,126761,106217,61233,19.34,107.01,926321,795077,16.5
1541,錩泰,143084,107351,137180,33.28,4.3,773270,1040630,-25.69
1560,中砂,296697,311142,304398,-4.64,-2.52,2919776,2416815,20.81
1583,程泰,251120,229762,156506,9.29,60.45,1820483,1349439,34.9
2049,上銀科技,1354030,1335939,785023,1.35,72.48,10339460,5545463,86.44
2231,為升,82044,86502,90878,-5.15,-9.72,754744,962135,-21.55
4526,東台,395846,551496,743739,-28.22,-46.77,5211511,5052495,3.14
4532,瑞智精密,498487,468510,362510,6.39,37.5,4274309,3842738,11.23
6605,帝寶工業,788776,801175,747427,-1.54,5.53,7452209,7158014,4.11
8374,羅昇,136242,137318,134003,-0.78,1.67,1284565,1090389,17.8
合計,合計,14273738,14448779,13030351,-1.21,9.54,123674204,112112274,10.31
