公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2801,彰化銀行,1882333,2099194,1805442,-10.33,4.25,21120854,21602909,-2.23
2809,京城銀行,419142,426628,522843,-1.75,-19.83,4451663,3723024,19.57
2812,台中銀行,498910,557864,646494,-10.56,-22.82,5567408,4726978,17.77
2816,旺旺保險,365404,379893,394299,-3.81,-7.32,3790874,3576275,6.0
2820,華票,84518,111730,82139,-24.35,2.89,1864897,1479281,26.06
2823,中壽,13074053,11867432,16233858,10.16,-19.46,125061992,133079273,-6.02
2832,台產,196077,336389,336566,-41.71,-41.74,3179750,3331084,-4.54
2833,台灣人壽,5881440,5859258,8747660,0.37,-32.76,73209528,50869737,43.91
2834,臺灣企銀,1421757,1372250,1475522,3.6,-3.64,14783658,14609802,1.18
2836,高銀,219693,236279,218938,-7.01,0.34,2360207,2049587,15.15
2838,聯邦銀行,617117,578909,682946,6.6,-9.63,6100275,6041050,0.98
2845,遠東商銀,713076,690496,619846,3.27,15.04,7654781,7239046,5.74
2847,大眾銀行,657920,663997,635727,-0.91,3.49,7014112,6417249,9.3
2849,安泰銀行,786984,646749,461467,21.68,70.53,6466599,5444532,18.77
2850,新產,746968,765211,784368,-2.38,-4.76,7616444,7408812,2.8
2851,中再保,1026982,1152163,1116144,-10.86,-7.98,11818502,10975983,7.67
2852,第一保,353823,417363,441226,-15.22,-19.8,3938895,3536899,11.36
2855,統一證券,119011,306541,360701,-61.17,-67.0,3138099,3802297,-17.46
2856,元富證券,2795036,1720456,2066577,62.45,35.24,18930282,34533967,-45.18
2867,三商美邦,10060267,11554438,10579049,-12.93,-4.9,99728094,86407403,15.41
2880,華南金,753386,767496,939611,-1.83,-19.81,8522205,7730762,10.23
2881,富邦金,1807413,2958798,1444034,-38.91,25.16,25832656,34023267,-24.07
2882,國泰金,1337959,1895182,1408242,-29.4,-4.99,14676769,13191487,11.25
2883,開發金,268924,394802,808570,-31.88,-66.74,5197238,3834494,35.53
2884,玉山金控,591141,610745,364668,-3.2,62.1,6312060,4765886,32.44
2885,元大金,1169108,489591,594062,138.79,96.79,7300401,14492217,-49.62
2886,兆豐金,1508747,1624410,1342958,-7.12,12.34,20230176,16365412,23.61
2887,台新金控,958642,1009514,888776,-5.03,7.86,10423333,8510162,22.48
2888,新光金,401564,-64636,97907,721.26,310.14,11061058,6639533,66.59
2889,國票金控,46135,74971,109142,-38.46,-57.72,1455383,2382257,-38.9
2890,永豐金控,753314,965979,121419,-22.01,520.42,8523673,4536812,87.87
2891,中信金,2107663,1435993,965196,46.77,118.36,18189213,16019016,13.54
2892,第一金控,617931,641847,471825,-3.72,30.96,9960369,8495191,17.24
5880,合庫金,661448,608045,0,8.78,,7289129,0,
6005,群益證,332294,412742,580763,-19.49,-42.78,4193382,4533915,-7.51
合計,合計,55236180,55568719,58348985,-0.59,-5.33,586963959,556375599,5.49
