公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2314,台揚科技,535788,500948,544838,6.95,-1.66,6867305,5708158,20.3
2321,東訊,590400,510980,674011,15.54,-12.4,5904625,7200602,-17.99
2332,友訊科技,246825,228328,309013,8.1,-20.12,3115995,3116754,-0.02
2345,智邦科技,1909010,1258028,1835850,51.74,3.98,18351187,16512866,11.13
2412,中華電,15607214,15694394,15723420,-0.55,-0.73,172898236,176084741,-1.8
2419,仲琦,635941,388092,659407,63.86,-3.55,5889558,5152544,14.3
2439,美律,614437,525342,700161,16.95,-12.24,5680523,5021761,13.11
2444,友旺科技,121540,130805,208848,-7.08,-41.8,1863569,1813046,2.78
2450,神腦,2723555,2640507,2749071,3.14,-0.92,31216319,24393306,27.97
2455,全新,137119,134730,132707,1.77,3.32,2086183,1966731,6.07
2485,兆赫電子,459601,586052,840627,-21.57,-45.32,7338661,9649519,-23.94
2496,卓越成功,14494,20674,13307,-29.89,8.92,201698,122284,64.94
2498,宏達電,21134294,15999957,30761795,32.08,-31.29,252309931,431153901,-41.48
3025,星通,54626,59166,51640,-7.67,5.78,547531,580891,-5.74
3027,盛達電業,73002,97987,108906,-25.49,-32.96,1033518,1220752,-15.33
3045,台灣大,5506098,5603164,5130691,-1.73,7.31,60877872,56099448,8.51
3047,訊舟科技,345152,365795,271682,-5.64,27.04,3734864,2915038,28.12
3062,建漢科技,789511,785485,832305,0.51,-5.14,8382566,11554538,-27.45
3311,閎暉,218821,213048,619606,2.7,-64.68,3061392,6140620,-50.14
3380,明泰科技,1644844,1782700,2273641,-7.73,-27.65,21598805,21769409,-0.78
3419,譁裕實業,191323,157361,117358,21.58,63.02,1369079,1318204,3.85
3596,智易科技,1215865,1039089,1131273,17.01,7.47,10831807,13607172,-20.39
3682,亞太電信,2052075,2047614,2205802,0.21,-6.96,23708982,23162362,2.35
3694,海華科技,443609,714924,505106,-37.95,-12.17,7567680,5885331,28.58
3704,合勤控,62833,36477,75676,72.25,-16.97,44019,1316285,-96.65
4904,遠傳,5821956,5967658,5381708,-2.44,8.18,64803012,56531356,14.63
4906,正文,1864583,1906229,1738606,-2.18,7.24,22234598,23903997,-6.98
5388,中磊電子,1213946,1357227,1085951,-10.55,11.78,15408812,9754234,57.97
6136,富爾特,61133,66095,85258,-7.5,-28.29,787375,906400,-13.13
6142,友勁科技,897064,857019,799615,4.67,12.18,10770915,10455329,3.01
6152,百一電子,863448,985851,625829,-12.41,37.96,8457856,7990932,5.84
6216,居易,71993,47378,76883,51.95,-6.36,714099,726414,-1.69
6283,淳安電子,31899,36819,9313,-13.36,242.52,332661,272310,22.16
6285,啟�眲鴔�,2270586,2452603,2991644,-7.42,-24.1,29443953,29287906,0.53
8011,台通,157343,185168,209204,-15.02,-24.78,1833318,1963359,-6.62
8101,華冠通訊,3753257,1468909,1556786,155.51,141.09,17247302,23934113,-27.93
合計,合計,74335185,66852603,83037538,11.19,-10.48,828515806,999192613,-17.08
