公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2323,中環,1118207,1151050,1504998,-2.85,-25.7,15247778,18168085,-16.07
2340,光磊,430100,577257,500927,-25.49,-14.13,6586466,7062719,-6.74
2349,錸德科技,863725,863500,1257080,0.02,-31.29,13175573,14906458,-11.61
2374,佳能,1680953,3908464,2099906,-56.99,-19.95,41968311,46676087,-10.08
2384,勝華科技,7043474,7331855,10283742,-3.93,-31.5,101979279,92545374,10.19
2393,億光電子,1331091,1478054,1280951,-9.94,3.91,16830085,16237672,3.64
2406,國碩科技,275195,140640,259141,95.67,6.19,2861425,2390069,19.72
2409,友達,30664336,32618110,26234489,-5.98,16.88,362994582,359528070,0.96
2426,鼎元,200578,208856,195085,-3.96,2.81,2724999,3034511,-10.19
2438,翔耀實業,2504,2447,3372,2.32,-25.74,24145,109260,-77.9
2448,晶電,1144760,1365079,1117061,-16.13,2.47,17531906,17712203,-1.01
2466,冠西電,65912,75292,57258,-12.45,15.11,851027,1071855,-20.6
2475,華映,3305201,3523013,3494167,-6.18,-5.4,41926238,55522766,-24.48
2486,一詮精密,222010,268046,248708,-17.17,-10.73,3633418,3308464,9.82
2489,瑞軒,1767568,2376878,3841851,-25.63,-53.99,36108420,42030242,-14.08
2491,吉祥全,17586,15008,30976,17.17,-43.22,333832,324167,2.98
2499,東貝光電,553818,721845,271004,-23.27,104.35,7372006,5757706,28.03
3008,大立光,3125455,2822087,1182676,10.74,164.26,19652217,14547900,35.08
3019,亞洲光學,210887,254734,360494,-17.21,-41.5,4302296,4557901,-5.6
3024,憶聲電子,17871,15846,8305,12.77,115.18,78246,301223,-74.02
3031,佰鴻工業,197681,201605,300694,-1.94,-34.25,2925422,4100712,-28.66
3038,全台,247742,341463,255646,-27.44,-3.09,3645295,3829701,-4.81
3049,和鑫,841953,904779,83511,-6.94,908.19,5361634,5735895,-6.52
3050,鈺德科技,77241,85884,91935,-10.06,-15.98,1002246,1115244,-10.13
3051,力特光電,333629,348686,332138,-4.31,0.44,4038026,3916740,3.09
3059,華晶科技,1030191,1396196,1205436,-26.21,-14.53,22154630,25952606,-14.63
3149,正達國際,897076,837757,642657,7.08,39.58,9045702,7020090,28.85
3356,奇偶科技,169345,186951,111446,-9.41,51.95,1839857,1532512,20.05
3383,新世紀,240748,320172,224018,-24.8,7.46,3529768,4489822,-21.38
3406,玉晶光,1031489,1333152,962841,-22.62,7.12,11432179,7594730,50.52
3454,晶睿,239353,244523,260629,-2.11,-8.16,3162423,2716002,16.43
3481,群創光電,43712565,42638953,45139593,2.51,-3.16,471524374,485403113,-2.85
3504,揚明光學,395701,414260,362424,-4.48,9.18,4089987,4631920,-11.69
3514,昱晶能源,777096,870141,1338186,-10.69,-41.92,13966227,18808273,-25.74
3535,晶彩科,3707,17556,3177,-78.88,16.68,324537,497729,-34.79
3536,誠創科技,2317,355,15120,552.67,-84.67,204093,652235,-68.7
3557,嘉威光電,113647,84710,65136,34.16,74.47,1053762,1121611,-6.04
3561,昇陽科,180420,411913,213148,-56.19,-15.35,6137788,12153221,-49.49
3573,穎台,204995,341693,270062,-40.0,-24.09,4018835,3982780,0.9
3576,新日光,787982,790313,663053,-0.29,18.84,12271736,20576839,-40.36
3584,介面光電,424154,398159,596964,6.52,-28.94,4218556,7227168,-41.62
3591,艾笛森,136416,161343,195018,-15.44,-30.04,2260290,2485906,-9.07
3593,力銘,39242,53205,160889,-26.24,-75.6,1342666,2550621,-47.35
3622,洋華,1138735,1497550,1051195,-23.96,8.32,13112553,16518701,-20.61
3669,圓展,71315,121003,85601,-41.06,-16.68,1345633,1661543,-19.01
3698,隆達,706680,748777,647654,-5.62,9.11,9692091,8793004,10.22
4934,太極能源,175452,218315,133169,-19.63,31.75,3560455,3995493,-10.88
4942,嘉彰,73752,56640,85897,30.21,-14.13,829096,1185412,-30.05
4956,光鋐,92953,108841,78112,-14.59,18.99,1346554,1223370,10.06
4960,奇美材料,1608192,1476429,1781559,8.92,-9.73,19336307,17738603,9.0
4976,佳凌,157422,163811,138458,-3.9,13.69,1803474,1404727,28.38
5234,達興,302431,288866,215116,4.69,40.58,3255513,2901511,12.2
5259,清惠,68556,99878,29721,-31.36,130.66,736812,621028,18.64
5484,慧友電子,148770,130597,142667,13.91,4.27,1586151,1690081,-6.14
6116,彩晶,2896748,2935478,2513261,-1.31,15.25,34918695,41686801,-16.23
6120,達運,1097634,1453403,1710722,-24.47,-35.83,19849291,20844265,-4.77
