公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2312,金寶電子,3192349,3529578,1663620,-9.55,91.89,32351522,24194122,33.71
2317,鴻海,360944136,351733052,316944287,2.61,13.88,3219520125,2773257915,16.09
2354,鴻準,13513478,11562577,8728958,16.87,54.81,84886369,84702085,0.21
2359,所羅門,323117,322432,241832,0.21,33.61,3237144,3698158,-12.46
2360,致茂電子,301169,286585,287655,5.08,4.69,4173732,5338377,-21.81
2373,震旦行,235576,235629,264337,-0.02,-10.88,2756797,2886478,-4.49
2390,云辰,87959,48674,67798,80.71,29.73,696957,610232,14.21
2404,漢唐,920218,801344,1239799,14.83,-25.77,8048621,11323672,-28.92
2423,固緯,136997,111113,191348,23.29,-28.4,1435996,1546172,-7.12
2433,互盛電,113033,112812,116543,0.19,-3.01,1317724,1366136,-3.54
2461,光群雷射,47901,43491,49221,10.14,-2.68,547675,410512,33.41
2464,盟立,552474,442246,446780,24.92,23.65,4751010,5972750,-20.45
2474,可成科技,2001660,1344429,2175901,48.88,-8.0,11743036,16573620,-29.14
2477,美隆電,334210,525988,375543,-36.46,-11.0,4445784,3737935,18.93
2482,連宇,47863,53807,80752,-11.04,-40.72,648623,790076,-17.9
2488,漢平,163600,175262,89556,-6.65,82.67,1335814,1282038,4.19
2495,普安,143570,135746,134988,5.76,6.35,1673119,1937976,-13.66
2497,怡利電子,126869,146590,101521,-13.45,24.96,1614540,1190077,35.66
3018,同開科技,51296,83851,148408,-38.82,-65.43,1134688,1137525,-0.24
3030,德律科技,189363,240947,172652,-21.4,9.67,4953425,3365344,47.18
3043,科風,216640,231236,96997,-6.31,123.34,2022642,3811930,-46.93
3305,昇貿科技,270705,313358,366257,-13.61,-26.08,3566736,4235330,-15.78
3450,聯鈞,173142,221211,146668,-21.72,18.05,2253112,2288639,-1.55
3518,柏騰科技,8516,9652,28684,-11.76,-70.31,149536,247895,-39.67
3617,碩天科技,451512,334488,335206,34.98,34.69,3944273,3302753,19.42
6139,亞翔工程,549125,460161,430964,19.33,27.41,3429175,5865194,-41.53
6192,巨路國際,372211,246569,296273,50.95,25.63,4010913,4411876,-9.08
6196,帆宣科技,942397,693131,730356,35.96,29.03,8153149,10802376,-24.52
6201,亞弘電,199698,231676,234420,-13.8,-14.81,3669862,3591286,2.18
6215,和椿科技,98379,85643,104832,14.87,-6.15,1190025,1174749,1.3
6409,旭隼,395548,423056,310184,-6.5,27.52,4654666,3420215,36.09
8021,尖點,79286,95467,87102,-16.94,-8.97,1018542,1065785,-4.43
8201,無敵,92941,63739,133621,45.81,-30.44,1459961,1673801,-12.77
合計,合計,387276938,375345540,336823063,3.17,14.97,3430795293,2991213029,14.69
