公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2347,聯強國際,4896984,4997073,3947856,-2.0,24.04,9894057,9681054,2.2
2348,海悅,17402,13490,24335,28.99,-28.48,30892,50922,-39.33
2414,精技電腦,1036136,983336,721437,5.36,43.62,2019472,1805708,11.83
2430,燦坤實業,2022522,3281929,2200167,-38.37,-8.07,5304451,5323728,-0.36
2459,敦吉,535764,602378,357621,-11.05,49.81,1138142,792975,43.52
3010,華立,1868453,1650468,1840859,13.2,1.49,3518921,3926040,-10.36
3028,增你強,1241984,1160009,1704768,7.06,-27.14,2401993,4519555,-46.85
3033,威健,1267868,987444,1125633,28.39,12.63,2255312,2735216,-17.54
3036,文曄科技,5075437,4250684,4234090,19.4,19.87,9326121,9577045,-2.62
3040,遠見,6648,7704,12478,-13.7,-46.72,14352,24551,-41.54
3048,益登,1730377,1687715,1398790,2.52,23.7,3418092,3873593,-11.75
3055,蔚華科技,83860,127778,289534,-34.37,-71.03,211638,487174,-56.55
3209,全科,830429,607671,631414,36.65,31.51,1438100,1554222,-7.47
3312,弘憶國際,1043464,731284,767201,42.68,36.0,1774748,1735877,2.23
3315,宣昶,417629,356544,315900,17.13,32.2,774174,846761,-8.57
3702,大聯大,314641,162060,273838,94.15,14.9,476701,698468,-31.75
5434,崇越科技,1030391,958618,1115464,7.48,-7.62,1989008,2280547,-12.78
6145,勁永國際,246025,243344,516171,1.1,-52.33,489369,1243332,-60.64
6189,豐藝電子,1368217,1090356,1071307,25.48,27.71,2458573,2578160,-4.63
6281,全國電,1087861,1657007,939419,-34.34,15.8,2744868,2321593,18.23
8070,長華電材,773037,715576,807290,8.03,-4.24,1488613,1776848,-16.22
8112,至上電子,1784337,1661012,1691398,7.42,5.49,3445349,4635502,-25.67
合計,合計,28679466,27933480,25986970,2.67,10.36,56612946,62468871,-9.37
