公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1471,首利,591782,469496,705189,26.04,-16.08,1503081,1587605,-5.32
1582,信錦,127619,83091,118905,53.58,7.32,291509,378615,-23.0
2059,川湖,159687,166293,162465,-3.97,-1.7,457183,418745,9.17
2308,台達電,3408552,2334359,3051815,46.01,11.68,7927288,7691238,3.06
2313,華通,1431406,1389340,1689489,3.02,-15.27,4086462,4434289,-7.84
2316,楠梓電,321745,302301,315576,6.43,1.95,908184,909152,-0.1
2327,國巨,1073623,956132,1061222,12.28,1.16,2700083,2861349,-5.63
2328,廣宇,704010,527648,415303,33.42,69.51,1817588,1128609,61.04
2355,敬鵬,1248508,1153460,1157945,8.24,7.82,3570536,3205010,11.4
2367,燿華,846203,734887,945691,15.14,-10.52,2292195,2677779,-14.39
2368,金像電,1199122,1050262,1285201,14.17,-6.69,3217134,3208663,0.26
2375,智寶,32902,19243,26092,70.98,26.09,66713,80549,-17.17
2383,台光電子,406616,345689,440451,17.62,-7.68,1053426,1256963,-16.19
2392,正崴,4177478,3928340,4740977,6.34,-11.88,11972407,11964041,0.06
2402,毅嘉科技,349006,298436,224842,16.94,55.22,1033352,653171,58.2
2413,環科,262799,225360,322319,16.61,-18.46,704232,769346,-8.46
2415,錩新,88225,66382,75557,32.9,16.76,210667,189083,11.41
2420,新巨,312538,241682,365014,29.31,-14.37,777774,862874,-9.86
2421,建準電機,482429,403960,451718,19.42,6.79,1218280,1193191,2.1
2428,興勤電子,228109,189027,234348,20.67,-2.66,591475,593870,-0.4
2429,銘旺科,82603,33964,48936,143.2,68.79,163401,126057,29.62
2431,聯昌電子,235886,181187,163145,30.18,44.58,558377,440186,26.85
2437,旺詮,100220,91117,108701,9.99,-7.8,257606,270455,-4.75
2440,太空梭,139031,136480,170571,1.86,-18.49,376152,470090,-19.98
2443,新利虹,1930,1989,83777,-2.96,-97.69,16772,253877,-93.39
2456,奇力新,214936,175555,194370,22.43,10.58,556235,502499,10.69
