公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2427,三商電腦,100290,145868,132159,-31.24,-24.11,1180944,1127658,4.72
2453,凌群,289916,256969,299564,12.82,-3.22,2559988,2265040,13.02
2468,華經,123415,127132,129306,-2.92,-4.55,1082298,1116163,-3.03
2471,資通,59739,62101,61875,-3.8,-3.45,490437,502708,-2.44
2480,敦陽科技,298389,307193,303937,-2.86,-1.82,3168238,3016072,5.04
3029,零壹科技,216833,286423,357231,-24.29,-39.3,2804947,2800456,0.16
3130,一零四,83044,88528,86119,-6.19,-3.57,727811,806841,-9.79
4994,傳奇,88878,113392,79528,-21.61,11.75,747198,636194,17.44
5203,訊連,257005,144109,228748,78.34,12.35,1705396,1647600,3.5
6112,聚碩,446490,454252,473629,-1.7,-5.73,4345585,3800438,14.34
6183,關貿,141439,171839,79961,-17.69,76.88,1239120,684606,80.99
6214,精誠資訊,771654,720362,972615,7.12,-20.66,6721017,6902023,-2.62
合計,合計,2877092,2878168,3204672,-0.03,-10.22,26772979,25305799,5.79
