公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1201,味全公司,1354979,1437262,1236898,-5.72,9.54,11449263,10404128,10.04
1203,味王公司,153423,201970,151566,-24.03,1.22,1482736,1500268,-1.16
1210,大成長城,2100913,2120335,2110835,-0.91,-0.47,17323323,17058092,1.55
1213,大飲,57049,105371,54892,-45.85,3.92,587541,557345,5.41
1215,卜蜂企業,1345095,1344104,1368124,0.07,-1.68,11046400,11010909,0.32
1216,統一,3753660,4769641,4484161,-21.3,-16.29,36110200,39898182,-9.49
1217,愛之味,346530,551887,270518,-37.2,28.09,2734177,2541255,7.59
1218,泰山企業,829335,872242,773901,-4.91,7.16,6211469,5813383,6.84
1219,福壽實業,845161,987649,983079,-14.42,-14.02,7627242,7448302,2.4
1220,台榮,265831,353873,300409,-24.87,-11.51,2423862,2340278,3.57
1225,福懋油,884067,982925,860591,-10.05,2.72,7756448,7095048,9.32
1227,佳格,987787,1072022,949591,-7.85,4.02,8920609,9106975,-2.04
1229,聯華實業,340654,347065,320159,-1.84,6.4,2928017,2981440,-1.79
1231,聯華食品,413070,520362,397595,-20.61,3.89,4026356,3905357,3.09
1232,大統益,1561232,1715176,1433842,-8.97,8.88,12962070,12527509,3.46
1233,天仁,181692,172777,178880,5.15,1.57,1534738,1541230,-0.42
1234,黑松,411421,646071,352465,-36.31,16.72,4332151,4231160,2.38
1235,興泰,28132,24811,39633,13.38,-29.01,242841,255166,-4.83
1236,宏亞食品,286525,198683,259868,44.21,10.25,1583496,1689732,-6.28
1702,南僑化工,182691,208109,197876,-12.21,-7.67,1745325,1708596,2.14
1737,臺鹽,191541,190334,185384,0.63,3.32,1708375,1765557,-3.23
合計,合計,16520788,18822669,16910267,-12.22,-2.3,144736639,145379912,-0.44
