公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1301,台塑,19882337,18507323,15464899,7.42,28.56,215424768,196878954,9.41,-
1303,南亞,27569021,26401702,25176333,4.42,9.5,311039943,300710497,3.43,-
1304,台聚,4943282,5016844,4354458,-1.46,13.52,58661483,55297529,6.08,-
1305,華夏,1151987,1134886,1198108,1.5,-3.84,14191191,14166488,0.17,-
1307,三芳,780696,886708,731375,-11.95,6.74,10494318,10497097,-0.02,-
1308,亞聚,534191,563171,391359,-5.14,36.49,5804229,4790510,21.16,-
1309,台達化,1716528,1792910,1510032,-4.26,13.67,21443685,18631210,15.09,-
1310,台苯,1952553,1818478,1248367,7.37,56.4,21761572,18612477,16.91,-
1312,國喬,2219699,2182966,1700101,1.68,30.56,26286382,22762651,15.48,-
1313,聯成,4566451,4828947,4255587,-5.43,7.3,51609818,49542212,4.17,-
1314,中石化,3119529,2840644,2987998,9.81,4.4,35309137,38334633,-7.89,-
1315,達新,216972,240559,225285,-9.8,-3.68,3388840,3490332,-2.9,-
1321,大洋,548469,536169,491758,2.29,11.53,5889318,5477910,7.51,-
1323,永裕,301536,278173,253787,8.39,18.81,3302567,3056387,8.05,-
1324,地球,149617,116700,110421,28.2,35.49,1488301,1364524,9.07,-
1325,恆大,113544,101338,107228,12.04,5.89,1089403,1057807,2.98,-
1326,台化,37750588,35919915,35164918,5.09,7.35,427999934,391599981,9.29,-
4306,炎洲,1601741,1718693,1450442,-6.8,10.43,19618480,18507360,6.0,-
合計,合計,109118741,104886126,96822456,4.03,12.69,1234803369,1154778559,6.92,
