公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2101,南港,1196694,1248087,1086178,-4.11,10.17,9094055,9815396,-7.34,"本合併營業額公告係屬公司自結數,與每季會計師所出具之合併財報因匯率之故將存有略微差距,屆時請以公告之合併財報為準."
2102,泰豐,747528,755215,706128,-1.01,5.86,5848651,6749233,-13.34,-
2103,台橡,2921175,2559268,3682501,14.14,-20.67,24758075,31775457,-22.08,-
2104,國際中橡,1823045,1770644,1930935,2.95,-5.58,14668962,16086021,-8.8,-
2105,正新,11819529,11986054,11987374,-1.38,-1.4,89353675,87825257,1.74,無。
2106,建大,2547526,2433481,2495045,4.68,2.1,19653511,20027181,-1.86,-
2107,厚生,251228,307114,249242,-18.19,0.79,2773122,2414521,14.85,-
2108,南帝,706143,569894,798202,23.9,-11.53,5900302,6619284,-10.86,-
2109,華豐,655199,592216,479942,10.63,36.51,5040956,4608877,9.37,-
2114,鑫永銓,155321,153804,193804,0.98,-19.85,1205976,1453940,-17.05,-
合計,合計,22823388,22375777,23609351,2.0,-3.32,178297285,187375167,-4.84,
