公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2301,光寶科,20361095,18967971,19384414,7.34,5.03,153591579,163291754,-5.94,-
2305,全友,50732,65105,69515,-22.07,-27.02,518557,588771,-11.92,-
2324,仁寶,61936567,52101687,65152932,18.87,-4.93,499272555,499568371,-0.05,-
2331,精英,5302626,5732763,6954588,-7.5,-23.75,46091028,49734274,-7.32,-
2352,佳世達,10595785,9749585,10465421,8.67,1.24,86867214,87594358,-0.83,-
2353,宏��,32966091,30659985,40830723,7.52,-19.26,273491644,328086946,-16.64,-
2356,英業達,47542794,37865846,34623062,25.55,37.31,326461341,297693827,9.66,-
2357,華碩,42110798,40897595,37249175,2.96,13.05,332571498,323597868,2.77,-
2362,藍天,1652339,1398243,1669389,18.17,-1.02,13108170,13619354,-3.75,-
2364,倫飛,66481,95689,111053,-30.52,-40.13,684226,1098206,-37.69,-
2365,昆盈,880773,724506,793261,21.56,11.03,6504063,6253422,4.0,-
2376,技嘉,5139524,4247506,4491800,21.0,14.42,38044000,34428515,10.5,-
2377,微星,6456296,6161889,5576318,4.77,15.78,51155886,50676920,0.94,-
2380,虹光,208418,252559,485094,-17.47,-57.03,2080029,2648018,-21.44,-
2382,廣達,76141365,72658957,90474998,4.79,-15.84,608865535,746593818,-18.44,-
2387,精元,1104897,1059547,1131784,4.28,-2.37,8960448,9920997,-9.68,-
2395,研華,2803563,2541069,2338540,10.33,19.88,22383982,20587765,8.72,-
2397,友通,192635,219816,186198,-12.36,3.45,1773793,1428822,24.14,-
2399,映泰,364863,366051,465952,-0.32,-21.69,3421958,4140639,-17.35,-
2405,浩鑫,1977961,1507020,1926964,31.24,2.64,12012283,10776997,11.46,-
2417,圓剛,92774,82859,97897,11.96,-5.23,801711,1012833,-20.84,-
2424,隴華,1972,2002,10773,-1.49,-81.69,152280,85686,77.71,-
2425,承啟,500004,635691,236229,-21.34,111.66,4225853,1460911,189.26,-
2442,新美齊,68754,72197,98738,-4.76,-30.36,561077,583742,-3.88,-
2465,麗臺,155703,159910,173777,-2.63,-10.4,1450996,1703785,-14.83,-
3002,歐格,45065,42298,50227,6.54,-10.27,338203,416038,-18.7,-
3005,神基,1242880,1263631,1435230,-1.64,-13.4,11060288,12027166,-8.03,-
3013,晟銘電,327368,238586,380789,37.21,-14.02,1795506,2059362,-12.81,-
3017,奇鋐,1683973,1737505,1548835,-3.08,8.72,14220976,13106011,8.5,-
3022,威強電,352787,399799,581643,-11.75,-39.34,3670106,4127343,-11.07,"本公司102年度自結合併營收經會計師查核後對子公司依IFRSs認定其收入係屬代理關係產生,故銷貨收入應減除銷貨成本後以淨額表達。"
3046,建��,81000,94100,117025,-13.92,-30.78,944788,1346030,-29.8,-
3057,喬鼎,326929,290890,252275,12.38,29.59,2656232,2345381,13.25,-
3060,銘異,511743,502008,509648,1.93,0.41,4782157,5346543,-10.55,-
3231,緯創,58583448,52823090,58417717,10.9,0.28,480992488,489122120,-1.66,-
3416,融程電,110023,145997,104719,-24.64,5.06,1106864,951490,16.32,-
3494,誠研,183294,199981,187535,-8.34,-2.26,1500066,1593318,-5.85,-
3515,華擎,952039,916819,1079741,3.84,-11.82,7915330,7968719,-0.66,"“本年累計營收”採年平均匯率計算,“月營收”採該月平均匯率計算,故累計營收與各月營收加總會有差異。"
3701,大眾控,1121245,916513,1184135,22.33,-5.31,9090845,10588399,-14.14,自102年度起為合併營業收入申報
3706,神達,1703657,0,0,,,1703657,0,,-
4916,事欣科,160837,156785,103986,2.58,54.67,1275469,1172458,8.78,-
4938,和碩,116859607,66606189,80289569,75.44,45.54,681724172,614143719,11.0,無
5258,虹堡,195541,104388,139693,87.32,39.97,844657,845935,-0.15,-
6117,迎廣,244215,236525,246505,3.25,-0.92,2325522,2269532,2.46,-
6128,上福,137782,141098,119173,-2.35,15.61,1265615,1015583,24.61,-
6166,凌華,549380,555224,433777,-1.05,26.65,4877820,4159130,17.27,-
6172,互億,19549,21874,20170,-10.62,-3.07,210341,176880,18.91,-
6206,飛捷,380122,353874,290407,7.41,30.89,3073988,2668024,15.21,-
6230,超眾,507072,491292,542613,3.21,-6.54,4516696,3787958,19.23,-
6235,華孚,166066,147064,154349,12.92,7.59,1620541,1384176,17.07,-
6277,宏正,386118,372652,384695,3.61,0.36,3348889,3224888,3.84,-
6414,樺漢,279603,301064,232596,-7.12,20.2,2395405,1495568,60.16,-
8114,振樺電,231907,261812,212641,-11.42,9.06,1942132,1716550,13.14,-
8163,達方,1965957,1927117,2508008,2.01,-21.61,17720726,19719250,-10.13,-
8210,勤誠,316372,324228,323947,-2.42,-2.33,2778180,2926380,-5.06,-
9912,偉聯,54434,45363,60255,19.99,-9.66,445295,492283,-9.54,-
合計,合計,508354823,419843814,476910498,21.08,6.59,3767194660,3869372833,-2.64,
