公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1201,味全,2444614,2500175,2506333,-2.22,-2.46,14007179,14430055,-2.93,-
1203,味王,527696,505641,540437,4.36,-2.35,3002076,3093694,-2.96,-
1210,大成,6985580,7742388,7146366,-9.77,-2.24,44551968,42205747,5.55,-
1213,大飲,66057,49003,65337,34.8,1.1,324295,334031,-2.91,-
1215,卜蜂,1406194,1474185,1441950,-4.61,-2.47,8467621,8584079,-1.35,-
1216,統一,36462432,34996778,35659394,4.18,2.25,214697741,210952522,1.77,-
1217,愛之味,442173,359451,433712,23.01,1.95,1954500,2016712,-3.08,-
1218,泰山,795129,842476,769454,-5.61,3.33,4457028,4821449,-7.55,-
1219,福壽,782352,880194,905491,-11.11,-13.59,5056913,5006141,1.01,-
1220,台榮,293762,261195,257514,12.46,14.07,1560581,1640295,-4.85,-
1225,福懋油,974147,1070398,1313996,-8.99,-25.86,6047932,7146566,-15.37,-
1227,佳格,1615286,1528325,1497189,5.68,7.88,9927834,9517658,4.3,-
1229,聯華,412791,456171,423999,-9.5,-2.64,2577636,2581043,-0.13,-
1231,聯華食,528554,456035,400255,15.9,32.05,2669995,2654544,0.58,-
1232,大統益,1674583,1857562,1454264,-9.85,15.14,10929840,9864363,10.8,-
1233,天仁,168795,186003,149943,-9.25,12.57,1073284,999964,7.33,-
1234,黑松,526549,489293,599509,7.61,-12.16,2704498,3193607,-15.31,-
1235,興泰,34327,14153,22263,142.54,54.18,100890,129815,-22.28,-
1236,宏亞,146972,163176,148599,-9.93,-1.09,1132163,1206663,-6.17,-
1702,南僑,1279456,1313733,1187982,-2.6,7.69,7147694,6333428,12.85,-
1737,臺鹽,216382,225221,204196,-3.92,5.96,1273205,1175745,8.28,-
合計,合計,57783831,57371556,57128183,0.71,1.14,343664873,337888121,1.7,
