公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1598,岱宇,409246,200685,354242,103.92,15.52,1162815,1027536,13.16,-
1701,中化,438161,424527,453571,3.21,-3.39,1379569,1362366,1.26,-
1707,葡萄王,649235,463368,534763,40.11,21.4,1652328,1388049,19.03,-
1720,生達,271746,238673,271159,13.85,0.21,806582,798148,1.05,-
1731,美吾華,115232,94191,92489,22.33,24.58,347559,296014,17.41,-
1733,五鼎,182136,133519,138286,36.41,31.7,474282,423222,12.06,-
1734,杏輝,180970,132125,209910,36.96,-13.78,479575,681265,-29.6,-
1736,喬山,1228500,1059996,1357768,15.89,-9.52,3430352,3662531,-6.33,-
1760,寶齡富錦,136558,81430,69703,67.69,95.91,289312,235734,22.72,-
1762,中化生,166572,53152,73755,213.38,125.84,256708,249095,3.05,-
1783,和康生,25538,12262,20728,108.26,23.2,55676,61056,-8.81,-
1786,科妍,25002,12071,7419,107.12,236.99,60257,37647,60.05,-
1789,神隆,345203,312217,299002,10.56,15.45,979058,1097245,-10.77,-
1795,美時,428756,431755,42145,-0.69,917.33,1295045,128019,911.6,-
3164,景岳,42582,40191,46933,5.94,-9.27,121204,118937,1.9,-
3705,永信,494319,407996,448442,21.15,10.23,1443608,1346211,7.23,-
4104,佳醫,527818,452034,480744,16.76,9.79,1479412,1380058,7.19,-
4106,雃博,221065,147251,219828,50.12,0.56,517765,585423,-11.55,-
4108,懷特,1647,1592,9235,3.45,-82.16,4776,27589,-82.68,-
4119,旭富,106512,160291,116112,-33.55,-8.26,443065,374574,18.28,-
4133,亞諾法,41567,32046,38537,29.71,7.86,111236,108728,2.3,-
4142,國光生,22333,3333,578,570.05,3763.84,27780,5181,436.18,-
4155,訊映,73227,44399,71342,64.92,2.64,165329,204951,-19.33,-
4164,承業醫,114717,91595,209128,25.24,-45.14,304364,421784,-27.83,-
4737,華廣,150091,99016,112325,51.58,33.62,374129,328256,13.97,-
4746,台耀,253216,129718,241434,95.2,4.88,528322,593317,-10.95,-
6491,晶碩,117077,90920,51996,28.76,125.16,311636,163757,90.3,-
合計,合計,6769026,5350353,5971574,26.51,13.35,18501744,17106693,8.15,
