公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1471,首利,149233,172651,369858,-13.56,-59.65,843428,1665057,-49.34,-
1582,信錦,783745,834752,868909,-6.11,-9.8,3778117,3757819,0.54,-
2059,川湖,343263,428268,363292,-19.84,-5.51,1873533,1751521,6.96,-
2308,台達電,16163528,15516504,15881303,4.16,1.77,74883017,75131700,-0.33,-
2313,華通,3045990,3153723,2449949,-3.41,24.32,14876557,12363536,20.32,1.資料係自行結算 2.經會計師查核之合併財報與部份被投資公司財報日期差異3個月
2316,楠梓電,442452,488092,617130,-9.35,-28.3,2680446,2770863,-3.26,-
2327,國巨,2309706,2383610,2409766,-3.1,-4.15,11624758,11358272,2.34,-
2328,廣宇,1673959,1570574,1332918,6.58,25.58,6659774,6108152,9.03,-
2355,敬鵬,1734856,1810217,1735364,-4.16,-0.02,9037244,8724119,3.58,-
2367,燿華,906654,1005192,1192123,-9.8,-23.94,5334477,5068887,5.23,-
2368,金像電,1428710,1607662,1541930,-11.13,-7.34,8293552,7138184,16.18,-
2375,凱美,109247,125530,151185,-12.97,-27.73,576355,709088,-18.71,-
2383,台光電,1617205,1669619,1459767,-3.13,10.78,8249420,7129135,15.71,-
2385,群光,6806863,6253401,6343006,8.85,7.31,31065113,29517779,5.24,-
2392,正崴,6224118,7803040,5845277,-20.23,6.48,35640991,36018779,-1.04,-
2402,毅嘉,616419,674579,1041649,-8.62,-40.82,3172393,4880316,-34.99,-
2413,環科,367665,392305,382228,-6.28,-3.81,1778391,1836804,-3.18,-
2415,錩新,177046,164445,183226,7.66,-3.37,820980,872330,-5.88,-
2420,新巨,266933,294183,289577,-9.26,-7.81,1363399,1430644,-4.7,-
2421,建準,772799,823503,827264,-6.15,-6.58,3872610,3702420,4.59,-
2428,興勤,428066,420508,393608,1.79,8.75,1952098,1774735,9.99,-
2429,銘旺科,58788,58598,89890,0.32,-34.6,298361,370116,-19.38,-
2431,聯昌,266515,332215,357351,-19.77,-25.41,1810331,1547146,17.01,因去年度UHD電視需求旺盛，我司營收隨之衝高，本年度UHD電視需求趨緩，且未有重大國際賽事刺激需求，故我司營收下降
2440,太空梭,209970,225062,232875,-6.7,-9.83,1012427,1069659,-5.35,-
2456,奇力新,400565,425192,333722,-5.79,20.02,1989825,1579145,26.0,-
2457,飛宏,905018,846259,1107638,6.94,-18.29,4217044,4949297,-14.79,-
2460,建通,328056,310369,350119,5.69,-6.3,1493443,1567366,-4.71,-
2462,良得電,339507,374722,374741,-9.39,-9.4,1720402,1687716,1.93,-
2467,志聖,275908,239908,390533,15.0,-29.35,1152187,1497231,-23.04,-
