公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1598,岱宇,276084,244981,296855,12.69,-6.99,1920387,1992731,-3.63,-
1701,中化,427735,451207,395485,-5.2,8.15,2788897,2653273,5.11,-
1707,葡萄王,644132,595152,557161,8.22,15.6,3509050,3022828,16.08,-
1720,生達,274810,257210,272117,6.84,0.98,1590904,1610969,-1.24,-
1731,美吾華,117533,107320,99835,9.51,17.72,689033,594592,15.88,-
1733,五鼎,138737,127761,154289,8.59,-10.07,897092,865498,3.65,-
1734,杏輝,165359,218621,210306,-24.36,-21.37,1034595,1440290,-28.16,-
1736,喬山,1115223,1124794,1265004,-0.85,-11.84,6874956,7109800,-3.3,-
1760,寶齡富錦,86145,111890,73971,-23.0,16.45,566157,443261,27.72,無。
1762,中化生,97009,93789,52423,3.43,85.05,539627,491632,9.76,去年同期客戶需求淡緩，今年MMF、Tacrolimus及Pravastatin客戶需求回穩，此三種產品比去年同期成長．
1783,和康生,25493,26446,20329,-3.6,25.4,130187,128443,1.35,-
1786,科妍,22034,14963,21156,47.25,4.15,121490,82418,47.4,-
1789,神隆,337449,296199,332385,13.92,1.52,1942152,2245050,-13.49,-
1795,美時,444228,430711,41304,3.13,975.5,2617801,271665,863.61,主要公司在103年8月進行購併，致合併營業收入大幅成長
3164,景岳,39022,53383,45277,-26.9,-13.81,247188,282298,-12.43,-
3705,永信,501406,535006,442386,-6.28,13.34,2985394,2844231,4.96,-
4104,佳醫,518754,538380,473240,-3.64,9.61,3052591,2853376,6.98,-
4106,雃博,196615,171413,204270,14.7,-3.74,1067278,1170092,-8.78,-
4108,懷特,1773,1747,9300,1.48,-80.93,9992,55385,-81.95,逐漸淡出毛利偏低之大宗藥材業務。
4119,旭富,228506,169403,107940,34.88,111.69,1022708,791015,29.29,新產品銷售額成長及客戶下單時點差異
4133,亞諾法,39193,41670,35655,-5.94,9.92,234425,219098,6.99,-
4142,國光生,17449,1243,66913,1303.78,-73.92,55308,265797,-79.19,因Crucell退出流感疫苗市場，未依約向國光購買流感抗原，致今年6月營收較去年6月減少。
4155,訊映,81565,72569,61524,12.39,32.57,396820,373787,6.16,-
4164,承業醫,337509,248980,199806,35.55,68.91,1029512,944921,8.95,主係本年度6月驗收較多大型醫療儀器及今年初併購十陸後持續發揮合併綜效，故營收較去年同期大幅成長。
4737,華廣,114937,139237,129007,-17.45,-10.9,740858,674315,9.86,-
4746,台耀,173253,151919,226987,14.04,-23.67,1013213,1385172,-26.85,-
6491,晶碩,115678,78535,69883,47.29,65.53,595741,361322,64.87,因訂單成長較去年同期大幅增加
合計,合計,6537631,6304529,5864808,3.69,11.47,37673356,35173259,7.1,
