公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1319,東陽,2248448,1576356,2102411,42.63,6.94,5963328,5612549,6.24,-
1339,昭輝,245445,135712,158904,80.85,54.46,582515,377677,54.23,本公司104.4.15間接投資大陸常熟冠林致105年3月營收增加
1512,瑞利,368787,291431,356705,26.54,3.38,1050155,959882,9.4,-
1521,大億,495794,406884,571329,21.85,-13.22,1432515,1610395,-11.04,-
1522,堤維西,1513496,1195449,1399391,26.6,8.15,4062887,3730024,8.92,-
1524,耿鼎,230454,175305,222236,31.45,3.69,614641,591818,3.85,-
1525,江申,111841,65528,117476,70.67,-4.79,261807,286592,-8.64,-
1533,車王電,205584,173064,243790,18.79,-15.67,582978,574631,1.45,-
1536,和大,520620,404023,452176,28.85,15.13,1427641,1204869,18.48,-
1568,倉佑,228197,173355,210580,31.63,8.36,630327,536011,17.59,不適用
1587,吉茂,132832,95498,124789,39.09,6.44,352999,346014,2.01,-
2201,裕隆,9805359,6498279,8983393,50.89,9.14,29422738,30916845,-4.83,-
2204,中華,3707772,2495299,3352509,48.59,10.59,10838415,10881082,-0.39,-
2206,三陽工業,2718547,1798367,3156516,51.16,-13.87,7153030,8645482,-17.26,本月無此情形
2207,和泰車,13480395,9318545,15521128,44.66,-13.14,40176914,43476264,-7.58,-
2227,裕日車,3382066,1726772,2483453,95.86,36.18,9502881,9037348,5.15,-
2228,劍麟,383343,303056,301684,26.49,27.06,1100234,939031,17.16,-
2231,為升,302307,264096,236083,14.46,28.05,832338,659019,26.29,-
2233,宇隆,209292,93061,180992,124.89,15.63,498882,520386,-4.13,-
2497,怡利電,175594,212513,270740,-17.37,-35.14,641487,867101,-26.01,-
3346,麗清,204364,189813,206977,7.66,-1.26,677089,683248,-0.9,無
4551,智伸科,291416,211891,263256,37.53,10.69,844662,770738,9.59,-
6288,聯嘉,237319,202065,206984,17.44,14.65,650799,522662,24.51,-
6605,帝寶,1722310,1051840,1303154,63.74,32.16,4140869,3517356,17.72,-
合計,合計,42921582,29058202,42426656,47.7,1.16,123442131,127267024,-3.0,
