公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2801,彰銀,2733837,2523539,2666375,8.33,2.53,17982367,16409933,9.58,-
2809,京城銀,759367,688478,347038,10.29,118.81,4471992,4318676,3.55,本月營業收入包含認列股票評價回升利益。
2812,台中銀,875867,910422,754787,-3.79,16.04,5795838,5681109,2.01,-
2816,旺旺保,533604,541127,475088,-1.39,12.31,3555908,3454255,2.94,-
2820,華票,197807,220115,157562,-10.13,25.54,1458828,1246982,16.98,-
2823,中壽,22500196,26887383,20203918,-16.31,11.36,139712565,111059010,25.8,-
2832,台產,453694,423515,351957,7.12,28.9,2658618,3014040,-11.79,-
2834,臺企銀,1701403,1739510,1870305,-2.19,-9.03,12490860,11863042,5.29,-
2836,高雄銀,278443,354216,266839,-21.39,4.34,2002165,1960303,2.13,-
2838,聯邦銀,947933,1165131,1132694,-18.64,-16.31,6748639,6418684,5.14,-
2845,遠東銀,983582,828603,939548,18.7,4.68,6168096,6378757,-3.3,-
2849,安泰銀,557119,565905,740709,-1.55,-24.78,3794648,4493185,-15.54,-
2850,新產,1142675,1329661,1286022,-14.06,-11.14,7423931,6918513,7.3,-
2851,中再保,1168852,1136580,1220615,2.83,-4.24,7840271,8525832,-8.04,-
2852,第一保,527602,479037,401530,10.13,31.39,3198760,2951880,8.36,-
2855,統一證,805252,434280,202824,85.42,297.02,2949762,3005255,-1.84,本月營收增加，主要為本月份交易部位操作獲利所致。
2867,三商壽,14297578,12325281,12770484,16.0,11.95,99857234,95593368,4.46,-
2880,華南金,3470159,3599429,3386062,-3.59,2.48,24266336,23468339,3.4,-
2881,富邦金,41473049,40609008,47776689,2.12,-13.19,269274160,236005262,14.09,-
2882,國泰金,53375269,48172985,37962307,10.79,40.6,312134343,275102366,13.46,本月營業收入淨額較去年同期增加，主係其他非利息以外淨損益增加所致。
2883,開發金,3691185,1770071,2794827,108.53,32.07,15969370,18977427,-15.85,-
2884,玉山金,3619804,3299184,3476188,9.71,4.13,23184941,22500608,3.04,-
2885,元大金,6809967,6985644,7456802,-2.51,-8.67,41630906,38465585,8.22,-
2886,兆豐金,5649841,5220736,4828644,8.21,17.0,37005779,34235866,8.09,-
2887,台新金,3366647,3295248,3295035,2.16,2.17,21899642,22804487,-3.96,-
2888,新光金,26318408,29823421,16495310,-11.75,59.55,141175006,126746732,11.38,主要係保險子公司保費收入增加所致。
2889,國票金,558593,509536,281244,9.62,98.61,3455468,2883271,19.84,"本月透過損益按公允價值衡量之金融資產及負債損益較去年同期增加272,063仟元"
2890,永豐金,2834576,2479091,2623452,14.33,8.04,18569713,19251079,-3.53,-
2891,中信金,29739754,25953541,16015110,14.58,85.69,180686259,116275484,55.39,本月營業收入淨額較去年同期增加，係因保險業務收益增加所致。
2892,第一金,4052092,3893786,3813384,4.06,6.25,26121974,22993368,13.6,-
2897,王道銀行,549497,664452,633445,-17.3,-13.25,4535303,4669781,-2.87,-
5876,上海商銀,3189724,2749653,2417046,16.0,31.96,18908139,18241666,3.65,-
5880,合庫金,3795225,3366698,3118544,12.72,21.69,25239782,22803213,10.68,-
6005,群益證,649713,560770,285721,15.86,127.39,3740079,3641313,2.71,去年同期自營操作虧損
6024,群益期,184945,199290,180983,-7.19,2.18,1329061,831970,59.74,本年累計經紀手續費收入、自營操作利益與香港子公司期貨佣金收入皆較去年同期增加。
合計,合計,243793259,235705326,202629088,3.43,20.31,1497236743,1303190641,14.89,
