公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1708,東鹼,357813,347701,384411,2.9,-6.91,2722385,3169191,-14.09,-
1709,和益,664407,557546,601944,19.16,10.37,5968360,6694147,-10.84,-
1710,東聯,1678847,1721898,1191056,-2.5,40.95,10761937,9254542,16.28,無
1711,永光,809947,701197,677523,15.5,19.54,6311096,6407771,-1.5,-
1712,興農,1380845,1229491,1492832,12.31,-7.5,10942098,11972273,-8.6,-
1713,國化,49784,56589,41153,-12.02,20.97,397299,472190,-15.86,-
1714,和桐,2363526,2289909,2848984,3.21,-17.03,19455758,27955324,-30.4,-
1717,長興,3285537,3255658,3154975,0.91,4.13,25036971,25580053,-2.12,-
1718,中纖,2725385,2814268,2983854,-3.15,-8.66,21785973,23207409,-6.12,"本月份自結異業別合併營收資訊,未經會計師簽證或核閱"
1721,三晃,261972,271623,108878,-3.55,140.61,2472754,967678,155.53,105年03月因與國慶化學(股)公司合併，故本月營業收入淨額及本年度累計營業收入淨額較去年同期增加。
1722,台肥,1075075,1076289,1370376,-0.11,-21.54,8176840,11130873,-26.53,-
1723,中碳,437669,469737,474265,-6.82,-7.71,3474108,4138407,-16.05,-
1724,台硝,191597,174697,140568,9.67,36.3,1391802,1121227,24.13,-
1725,元禎,795470,745868,740466,6.65,7.42,5725704,6135627,-6.68,-
1726,永記,636481,618589,642463,2.89,-0.93,4973476,5412040,-8.1,-
1727,中華化,179080,161615,184618,10.8,-2.99,1333245,1475082,-9.61,-
1730,花仙子,162454,161402,163952,0.65,-0.91,1345267,1245078,8.04,-
1732,毛寶,40812,48722,43766,-16.23,-6.74,359810,402076,-10.51,-
1735,日勝化,263392,213490,224017,23.37,17.57,1875145,2329896,-19.51,-
1773,勝一,521248,495929,528223,5.1,-1.32,4000020,4385418,-8.78,-
1776,展宇,139259,170790,197661,-18.46,-29.54,1227292,1486618,-17.44,-
3708,上緯投控,0,0,0,,,0,0,,無
4720,德淵,240612,206133,207007,16.72,16.23,1679131,1600518,4.91,-
4722,國精化,395512,419292,360524,-5.67,9.7,3119683,2998441,4.04,-
4725,信昌化,882404,965391,760687,-8.59,16.0,6224209,9137499,-31.88,-
4739,康普,379767,321644,331006,18.07,14.73,2646339,2561062,3.32,-
4755,三福化,327548,319958,262325,2.37,24.86,2596712,2295468,13.12,-
4764,雙鍵,329856,321790,318201,2.5,3.66,2612457,2406666,8.55,-
合計,合計,20576299,20137216,20435735,2.18,0.68,158615871,175942574,-9.84,
