公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2347,聯強,33368063,37503417,27700588,-11.02,20.45,290607596,279753210,3.87,本月營收係當月自結數，前期調整數反應在本年累計營收內
2414,精技,1345993,1590557,1403604,-15.37,-4.1,13837524,13210820,4.74,-
2430,燦坤,1550320,1649882,1603292,-6.03,-3.3,17013454,18670258,-8.87,-
2459,敦吉,820247,990086,839001,-17.15,-2.23,8706989,10244872,-15.01,-
3010,華立,3714571,4126518,3075441,-9.98,20.78,34729179,32266689,7.63,-
3028,增你強,2421685,2913923,1703800,-16.89,42.13,22260937,18308100,21.59,-
3033,威健,4876489,5335297,3839844,-8.59,26.99,42003039,35086548,19.71,-
3036,文曄,19122933,18083017,14935650,5.75,28.03,148697761,113631072,30.86,-
3048,益登,7481896,7753337,7385504,-3.5,1.3,62816456,60732870,3.43,上述已依IFRS申報合併營收
3055,蔚華科,141860,177903,269381,-20.25,-47.33,2058287,2942000,-30.03,-
3209,全科,3088222,2682245,2232411,15.13,38.33,27003573,23178397,16.5,-
3312,弘憶股,763305,825606,606601,-7.54,25.83,7083326,6920709,2.34,-
3528,安馳,303172,354724,249928,-14.53,21.3,3181574,2648449,20.12,-
3702,大聯大,45532770,51257022,44293807,-11.16,2.79,439580960,441844781,-0.51,-
5434,崇越,2061320,2106302,1763824,-2.13,16.86,19503022,18923526,3.06,-
6189,豐藝,1574220,1779269,1610025,-11.52,-2.22,15161202,15547302,-2.48,-
6281,全國電,1132940,1176880,1117271,-3.73,1.4,14118983,14617481,-3.41,-
8070,長華,1243473,1372924,814837,-9.42,52.6,11463433,9088401,26.13,係106年3月17日完成SHAP股權交割案，取得海外及大陸地區子公司，致合併營收較去年成長。
8072,陞泰,81120,90565,120844,-10.42,-32.87,892621,1216377,-26.61,-
8112,至上,12187894,11460906,8230718,6.34,48.07,102375407,84360475,21.35,-
合計,合計,142812493,153230380,123796371,-6.79,15.36,1283095323,1203192337,6.64,
