公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1432,大魯閣,62831,78278,138386,-19.73,-54.59,1171574,997541,17.44,增減變動係因大魯閣開發已於12/6為非重要子公司
2601,益航,740869,864685,690465,-14.31,7.3,7284240,7551282,-3.53,-
2614,東森,1360573,1382584,791043,-1.59,71.99,14205353,10542084,34.74,係106/4/1森森百貨與東森得易購合併，而形成本公司單月同期比較營收大幅增加72.00%
2901,欣欣,11535,10610,11812,8.71,-2.34,149012,150428,-0.94,-
2903,遠百,3667102,5388590,3695951,-31.94,-0.78,41173104,43538660,-5.43,-
2905,三商,23592772,18758265,19066918,25.77,23.73,238789844,205317751,16.3,-
2906,高林,577419,511146,763671,12.96,-24.38,7094088,6614425,7.25,-
2908,特力,2989122,2973224,3016781,0.53,-0.91,36963212,35443444,4.28,-
2910,統領,17944,21671,45973,-17.19,-60.96,281984,665676,-57.63,106年2月10日起桃園店配合改裝全面停業，及持有百分百股份之子公司-麗優公司，自106年5月底起結束營業所致。
2911,麗嬰房,582109,687257,611074,-15.29,-4.74,6823346,8085215,-15.6,-
2912,統一超,19251429,17654409,18005530,9.04,6.91,221127266,215359263,2.67,-
2913,農林,20358,21212,38669,-4.02,-47.35,2251921,610770,268.7,本公司於106/1月認列出售位於竹南鎮鹽前段大厝小段及山子坪小段土地存貨收入
2915,潤泰全,23923222,402755,914005,5839.89,2517.4,31043674,8454222,267.19,"本公司營業收入中含處分高鑫,吉鑫股權之第一次交割處分利益。"
8443,阿瘦,157093,139659,159700,12.48,-1.63,1610149,1918353,-16.06,-
8454,富邦媒,3502858,3642011,2778606,-3.82,26.06,33238547,28080788,18.36,-
合計,合計,80457236,52536356,50728584,53.14,58.6,643207314,573329902,12.18,
