公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2302,麗正,34207,31873,48536,7.32,-29.52,106242,128669,-17.42,-
2303,聯電,12751189,12014861,12919174,6.12,-1.3,37417950,34404079,8.76,-
2329,華泰,1258140,1067661,1502313,17.84,-16.25,3397643,4114493,-17.42,-
2330,台積電,85875181,71422961,73088805,20.23,17.49,233914400,203495361,14.94,-
2337,旺宏,2411217,2014093,1774491,19.71,35.88,6609984,5086289,29.95,-
2338,光罩,97834,85550,96351,14.35,1.53,290589,302488,-3.93,-
2342,茂矽,145123,144995,121317,0.08,19.62,420000,331090,26.85,-
2344,華邦電,3651734,3351191,3425071,8.96,6.61,10424963,10086944,3.35,-
2351,順德,814860,710644,773555,14.66,5.33,2292968,2061215,11.24,-
2363,矽統,18761,13477,14702,39.2,27.6,45220,45643,-0.92,-
2369,菱生,543896,448365,479984,21.3,13.31,1454271,1331500,9.22,-
2379,瑞昱,3420324,3046900,3441101,12.25,-0.6,9983438,8987184,11.08,無
2388,威盛,493121,277060,383669,77.98,28.52,1061280,1183969,-10.36,-
2401,凌陽,622911,427387,739301,45.74,-15.74,1478636,1802171,-17.95,-
2408,南亞科,4193183,3969931,3300432,5.62,27.04,12230574,10397555,17.62,-
2434,統懋,19727,15490,26173,27.35,-24.62,46598,51158,-8.91,-
2436,偉詮電,201680,136168,156066,48.11,29.22,495209,442015,12.03,-
2441,超豐,981848,890804,881792,10.22,11.34,2760727,2473026,11.63,-
2449,京元電子,1675008,1510395,1569471,10.89,6.72,4868863,4358356,11.71,-
2451,創見,2029746,1692635,1925017,19.91,5.44,5689768,5648007,0.73,-
2454,聯發科,20818189,16950610,21337356,22.81,-2.43,56082721,55905486,0.31,海外子公司之營收係以當月平均匯率換算之
2458,義隆,582553,486146,514168,19.83,13.3,1589240,1399790,13.53,-
2481,強茂,1086143,890999,1228755,21.9,-11.6,2892319,3165789,-8.63,-
3006,晶豪科,1046908,835919,718691,25.24,45.66,2659063,2051215,29.63,-
3014,聯陽,249000,211293,238644,17.84,4.33,738742,732787,0.81,-
3016,嘉晶,274455,274892,245573,-0.15,11.76,806720,671320,20.16,-
3034,聯詠,3906443,3360330,3820834,16.25,2.24,10918538,10970044,-0.46,-
3035,智原,632567,405534,459736,55.98,37.59,1432152,1266335,13.09,"以上營收不包含停業部門營收106年3月0元暨105年3月136,731仟元;累計106年1月至3月39,653仟元暨累計105年1月至3月278,804仟元"
3041,揚智,338085,224212,261464,50.78,29.3,754958,981736,-23.09,-
3054,立萬利,28050,32234,6748,-12.98,315.67,103999,39912,160.57,受市場價格回升與需求增加影響，致本期營收較去年同期增加。
3094,聯傑,26195,21485,30539,21.92,-14.22,71590,80758,-11.35,-
3189,景碩,1709474,1521665,1947791,12.34,-12.23,4970344,5370156,-7.44,-
3257,虹冠電,60439,46631,66865,29.61,-9.61,168591,210820,-20.03,-
3413,京鼎,656572,560034,602310,17.23,9.0,1751235,2342986,-25.25,-
3443,創意,787194,942798,926130,-16.5,-15.0,2408714,2220117,8.49,-
3530,晶相光,157727,106339,120450,48.32,30.94,352478,269678,30.7,-
3532,台勝科,1006332,925199,781803,8.76,28.71,2984109,2535917,17.67,-
3536,誠創,95951,73480,98435,30.58,-2.52,239124,239138,-0.0,-
3545,敦泰,931637,647219,1010053,43.94,-7.76,2161081,2308567,-6.38,-
3583,辛耘,230130,214470,452736,7.3,-49.16,629945,922301,-31.69,-
3588,通嘉,82678,70066,94381,18.0,-12.39,235082,272830,-13.83,-
3686,達能,65445,78090,153860,-16.19,-57.46,226144,452192,-49.98,太陽能市場於2016Q3急凍後，雖有逐步回溫之跡象，惟價量仍未達去年同期水準，因而3月營收較去年同期減少。
4919,新唐,760765,638579,676770,19.13,12.41,2122959,1852235,14.61,-
4952,凌通,280236,192969,302507,45.22,-7.36,643796,684290,-5.91,-
4961,天鈺,584149,445245,552984,31.19,5.63,1463013,1438919,1.67,-
4967,十銓,601066,407376,282081,47.54,113.08,1371942,770217,78.12,係因DRAM及NAND Flash價格走升，且產品需求強勁所致。
4968,立積,204300,190074,162904,7.48,25.41,590853,476111,24.09,-
5269,祥碩,250932,194563,130470,28.97,92.32,698488,414919,68.34,本月營收較去年同期增加主係因出貨量增加所致。
5285,界霖,211107,149410,205137,41.29,2.91,524861,542523,-3.25,-
5305,敦南,861113,665269,848423,29.43,1.49,2287008,2348454,-2.61,-
5471,松翰,320963,207501,255132,54.68,25.8,732961,618610,18.48,-
6202,盛群,446257,336274,369949,32.7,20.62,1086306,908086,19.62,-
6239,力成,4267518,4003046,3564773,6.6,19.71,12659858,10618123,19.22,-
6243,迅杰,38748,32379,48934,19.67,-20.81,104376,117219,-10.95,-
6257,矽格,492892,458056,467397,7.6,5.45,1458482,1243138,17.32,-
6271,同欣電,633622,577180,705747,9.77,-10.21,1832761,1916651,-4.37,-
6531,愛普,462762,365480,253134,26.61,82.81,1184074,722375,63.91,本月增加82.81%及本年增加63.91%，主係因力積電子(股)公司自105年11月1日併入本公司合併財報
6533,晶心科,31880,22051,10890,44.57,192.74,81560,33589,142.81,本月營收較去年同期成長主要係客戶授權金較去年同期成長所致。
6552,易華電,104623,81586,150908,28.23,-30.67,304337,446957,-31.9,-
8016,矽創,811458,622643,860069,30.32,-5.65,2034300,2293837,-11.31,-
8028,昇陽半導體,170178,147668,138031,15.24,23.28,459690,407045,12.93,-
8081,致新,319119,265197,300602,20.33,6.15,900132,846382,6.35,-
8110,華東,725451,712136,612057,1.86,18.52,2218496,1865063,18.95,-
8131,福懋科,738896,656363,715582,12.57,3.25,2089305,2167035,-3.58,-
8150,南茂,1582743,1421019,1527332,11.38,3.62,4560283,4447455,2.53,-
8261,富鼎,136821,124202,114965,10.16,19.01,379708,335264,13.25,-
8271,宇瞻,823342,608039,512529,35.4,60.64,2164680,1499464,44.36,受惠於DRAM及NAND Flash價格走揚所致。
合計,合計,171872798,145676391,155553950,17.98,10.49,473120441,430155047,9.98,
