公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1435,中福,3044,2994,2742,1.67,11.01,25864,21189,22.06,-
1437,勤益控,40018,40613,45292,-1.46,-11.64,420184,437538,-3.96,-
1516,川飛,57681,33265,33331,73.39,73.05,539707,420514,28.34,主係積極擴展業務範圍所致
2062,橋椿,501774,518403,514729,-3.2,-2.51,4524182,4634866,-2.38,-
2348,海悅,37816,59929,33683,-36.89,12.27,497155,289819,71.53,本年增減百分比達50％以上，係因部分個案銷售狀況穩定。
2358,廷鑫,250561,204106,149337,22.76,67.78,1522716,1218045,25.01,國際鋁價回升，出貨量增加
2443,億麗,65034,63130,56175,3.01,15.77,541055,408724,32.37,因大宗物資貿易業務訂單增加致營業收入產生差異。
2496,卓越,71982,79721,16094,-9.7,347.25,627749,127318,393.05,本月營業收係以合併子公司單月營業收入申報
2514,龍邦,68662,121061,105397,-43.28,-34.85,1595954,702848,127.06,係因去年本月認列轉投資公司現金股利所致
2904,匯僑,40154,38538,41272,4.19,-2.7,327928,382160,-14.19,-
3040,遠見,16885,14263,22327,18.38,-24.37,131755,166652,-20.94,-
4536,拓凱,558329,625325,551977,-10.71,1.15,4600428,4676629,-1.62,-
6184,大豐電,163702,163787,136158,-0.05,20.22,1388453,1224061,13.43,-
6464,台數科,243026,246017,247895,-1.21,-1.96,2220187,2227933,-0.34,-
6504,南六,544721,593982,544576,-8.29,0.02,4757994,4465890,6.54,-
6581,鋼聯,287508,63181,84086,355.05,241.92,1253858,1000273,25.35,國際鋅價上漲及出貨量增加。
6592,和潤企業,799149,826869,994731,-3.35,-19.66,7047920,9221583,-23.57,-
6625,必應,111333,98617,46141,12.89,141.28,769384,464754,65.54,主要係因本期參與製作之演製活動等較去年同期增加所致
6655,科定,165078,169143,133695,-2.4,23.47,1267142,1109279,14.23,-
8033,雷虎,71054,80661,47625,-11.91,49.19,603330,545538,10.59,-
8341,日友,141949,169998,126283,-16.49,12.4,1399058,1299105,7.69,-
8422,可寧衛,229114,225918,270920,1.41,-15.43,1980059,2452645,-19.26,-
8463,潤泰材,224138,235655,202473,-4.88,10.7,2042972,2138270,-4.45,-
8464,億豐,1813894,1697499,1646698,6.85,10.15,14751105,14013306,5.26,-
8473,山林水,242954,206034,168929,17.91,43.82,1877624,1570772,19.53,-
8478,東哥遊艇,347265,212956,21811,63.06,1492.15,2427192,1694332,43.25,主係認列遊艇銷貨收入所致
8481,政伸,112286,106312,80956,5.61,38.7,831656,789788,5.3,-
8497,格威傳媒,174218,195170,189448,-10.73,-8.03,1753037,1753429,-0.02,-
9902,台火,4198,5296,1357,-20.73,209.35,37723,38722,-2.57,本月營收較去年同期增加之主要原因係本期有銷售汽車等之營收，但去年同期無此等營收所致。
9904,寶成,23704960,23343700,21466935,1.54,10.42,205885130,204941892,0.46,-
9905,大華,666878,726356,558983,-8.18,19.3,5683048,5497475,3.37,-
9907,統一實,2818839,3270305,2661669,-13.8,5.9,24714025,25038264,-1.29,-
9910,豐泰,5077300,5238555,4715926,-3.07,7.66,43027462,43826560,-1.82,合併營收為本公司自結數
9911,櫻花,469969,448123,453997,4.87,3.51,3896411,4032830,-3.38,-
9914,美利達,1975974,2542332,2013832,-22.27,-1.87,16647371,17395822,-4.3,-
9917,中保科,1068967,1094749,1115436,-2.35,-4.16,9689027,10033628,-3.43,-
9919,康那香,341958,309879,325969,10.35,4.9,2867489,3110217,-7.8,-
9921,巨大,5163208,4925942,5200784,4.81,-0.72,41747386,44229502,-5.61,-
9924,福興,661590,765439,693025,-13.56,-4.53,6019357,6346024,-5.14,-
9925,新保,584628,590402,596378,-0.97,-1.97,5308867,5362833,-1.0,-
9927,泰銘,849609,1018403,694643,-16.57,22.3,8049520,6610310,21.77,-
9928,中視,53951,55942,57860,-3.55,-6.75,541757,564212,-3.97,-
9929,秋雨,67371,66024,58445,2.04,15.27,528716,546898,-3.32,"秋與上海子公司已交割,105年5月起無營收"
9930,中聯資源,628153,623499,435923,0.74,44.09,5136987,5087390,0.97,-
9933,中鼎,5707998,5364824,5886898,6.39,-3.03,49358787,50534790,-2.32,-
9934,成霖,1567333,1538780,1506877,1.85,4.01,13597605,14737438,-7.73,-
9935,慶豐富,393350,451999,241924,-12.97,62.59,3132755,2667446,17.44,本期當月營收較上期同期增加主要係因本期新產品訂單較去年同期增加所致
9938,百和,1197852,1035603,1016457,15.66,17.84,8795566,7901003,11.32,-
9939,宏全,1506725,1757672,1382990,-14.27,8.94,14054477,13252294,6.05,-
9940,信義,3851321,710351,630119,442.17,511.2,14511261,5620194,158.19,本月及本年度營收增加，主要係因子公司上海信義置業於本月及本年度依建案交屋進度認列營建收入。
9941,裕融,1648181,1606952,1459691,2.56,12.91,14283879,13038592,9.55,-
9942,茂順,272291,274935,247519,-0.96,10.0,2332752,2214336,5.34,-
9944,新麗,268175,277898,260121,-3.49,3.09,2584060,2754936,-6.2,-
9945,潤泰新,1655423,737665,1261180,124.41,31.25,8105694,9352980,-13.33,-
9955,佳龍,222351,174798,168497,27.2,31.96,1662156,1987522,-16.37,-
合計,合計,69811882,66049570,61628216,5.69,13.27,573924916,566181370,1.36,
