公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2323,中環,520746,710777,724135,-26.73,-28.08,1231523,1385975,-11.14,-
2340,光磊,388619,453693,419889,-14.34,-7.44,842312,1065182,-20.92,-
2349,錸德,680960,810422,695860,-15.97,-2.14,1491382,1486004,0.36,-
2374,佳能,485179,810460,748456,-40.13,-35.17,1295639,1713077,-24.36,-
2393,億光,1769238,2390886,2140271,-26.0,-17.33,4160124,4179388,-0.46,-
2406,國碩,688233,1151513,852246,-40.23,-19.24,1839746,1971700,-6.69,-
2409,友達,22681194,26209789,29135736,-13.46,-22.15,48890982,57505208,-14.97,-
2426,鼎元,207966,291728,227890,-28.71,-8.74,499694,454055,10.05,-
2438,翔耀,35827,39178,39253,-8.55,-8.72,75005,90433,-17.06,-
2448,晶電,1496118,1875842,1821695,-20.24,-17.87,3371960,3503829,-3.76,-
2466,冠西電,120702,169384,88535,-28.74,36.33,290085,196680,47.49,-
2486,一詮,278694,397193,311573,-29.83,-10.55,675887,635305,6.38,-
2489,瑞軒,750325,775063,778500,-3.19,-3.61,1525388,1992510,-23.44,-
2491,吉祥全,23301,38458,26530,-39.41,-12.17,61759,67103,-7.96,-
2499,東貝,356255,548779,508752,-35.08,-29.97,905034,1024419,-11.65,-
3008,大立光,2217329,3509761,3431029,-36.82,-35.37,5732313,7177975,-20.14,-
3019,亞光,1075795,1437539,1089057,-25.16,-1.21,2513334,2326634,8.02,-
3024,憶聲,116230,147470,186850,-21.18,-37.79,263700,463670,-43.12,營收減少主要海外訂單減少影響
3031,佰鴻,93800,158020,130218,-40.64,-27.96,251820,278737,-9.65,-
3038,全台,214941,254177,216226,-15.43,-0.59,469118,468246,0.18,-
3049,和鑫,214155,317740,285675,-32.6,-25.03,531895,589440,-9.76,-
3050,鈺德,58593,59852,69882,-2.1,-16.15,118445,140840,-15.9,-
3051,力特,165019,200855,170902,-17.84,-3.44,365874,361314,1.26,-
3059,華晶科,548628,822317,766525,-33.28,-28.42,1370945,1622947,-15.52,-
3149,正達,203054,303027,147589,-32.99,37.58,506081,301729,67.72,累計營業收入較去年同期增加原因，主係公司營業產品重新組合調整，並積極整合公司組織結構所致。
3356,奇偶,110316,115954,129447,-4.86,-14.77,226270,247155,-8.45,-
3383,新世紀,70076,96292,77789,-27.22,-9.91,166368,164247,1.29,-
3406,玉晶光,416468,773771,352280,-46.17,18.22,1190239,969482,22.77,-
3437,榮創,256760,441607,405496,-41.85,-36.68,698367,903119,-22.67,-
3454,晶睿,310410,358670,387990,-13.45,-19.99,669080,741051,-9.71,-
3481,群創,18082174,26104207,27412053,-30.73,-34.03,44186381,54671784,-19.17,-
3504,揚明光,299327,385389,280122,-22.33,6.85,684716,553737,23.65,-
3535,晶彩科,59622,80815,49957,-26.22,19.34,140437,111012,26.5,-
3557,嘉威,459,1852,3507,-75.21,-86.91,2311,13295,-82.61,主要因產業景氣不佳、整體需求不如預期，本司為因應此變化，除在光電本業持續努力外亦將進行商業模式轉型，在此過渡期間影響營收
3563,牧德,185948,180797,73996,2.84,151.29,366745,144660,153.52,本月營收增減百分比較去年同期增加達50％以上係因軟板及AOI4.0產品需求增加所致
3576,聯合再生,609777,832342,735084,-26.73,-17.04,1442119,1501028,-3.92,-
3591,艾笛森,225551,247117,181918,-8.72,23.98,472668,437474,8.04,-
3622,洋華,62957,52261,65359,20.46,-3.67,115218,162643,-29.15,-
3669,圓展,118623,126098,129336,-5.92,-8.28,244721,263603,-7.16,-
3698,隆達,758377,968459,951140,-21.69,-20.26,1726836,1909633,-9.57,-
4934,太極,145157,302200,420572,-51.96,-65.48,447357,831064,-46.17,本月合併營收淨額較去年同期減少65.49%，係因受近期市場需求及價格影響。
4942,嘉彰,349038,492119,473343,-29.07,-26.26,841157,904755,-7.02,-
4956,光鋐,61355,110159,97597,-44.3,-37.13,171514,180437,-4.94,-
4960,誠美材,691412,915000,727598,-24.43,-4.97,1606412,1644031,-2.28,-
4976,佳凌,110829,133449,106709,-16.95,3.86,244278,207151,17.92,-
5234,達興材料,312992,367883,262238,-14.92,19.35,680875,586087,16.17,-
5484,慧友,29146,29873,52196,-2.43,-44.16,59024,112110,-47.35,-
6116,彩晶,1136537,1925960,1954122,-40.98,-41.83,3062497,4146585,-26.14,-
6120,達運,1447298,1659010,2618392,-12.76,-44.72,3106308,5243734,-40.76,-
6131,鈞泰,-6995,-43532,4525,83.93,-254.58,-50527,8393,-702.01,"107年投資業務損益：當月投資損失-9,048仟元、累計投資損失-55,117仟元。"
6164,華興,66444,96682,92555,-31.27,-28.21,163126,194354,-16.06,-
6168,宏齊,253868,270744,233090,-6.23,8.91,524612,449163,16.79,-
6176,瑞儀,3019445,4544479,3803439,-33.55,-20.61,7563924,8004384,-5.5,-
6209,今國光,170255,293713,267054,-42.03,-36.24,463968,550815,-15.76,-
6225,天瀚,263,229,99,14.84,165.65,492,168,192.85,因舊型號機種漸漸被市場淘汰，新型號行車紀錄器剛上市，尚待市場發酵。
6226,光鼎,67033,83821,66093,-20.02,1.42,150854,156782,-3.78,-
6278,台表科,1660014,2310006,2026831,-28.13,-18.09,3970020,4540100,-12.55,-
6289,華上,17456,29938,15011,-41.69,16.28,47394,28773,64.71,本年累計營收較去年累計增加主要係因107年1月出售原物料所致
6405,悅城,54125,82706,56536,-34.55,-4.26,136831,109012,25.51,-
6443,元晶,378246,434625,520765,-12.97,-27.36,812871,1140347,-28.71,-
6477,安集,119510,126429,30380,-5.47,293.38,245939,78957,211.48,本月模組銷售量較去年同期增加，故整體合併營收增加。
6668,中揚光,42521,71996,54220,-40.93,-21.57,114517,95465,19.95,-
6706,惠特,301704,291137,285155,3.62,5.8,592841,481521,23.11,-
8104,錸寶,165963,220446,179615,-24.71,-7.6,386409,329164,17.39,-
8105,凌巨,660147,974459,973104,-32.25,-32.16,1634606,1930547,-15.32,-
8215,明基材,907436,1057717,981964,-14.2,-7.58,1965152,2116967,-7.17,-
合計,合計,69118945,91430802,92551951,-24.4,-25.31,160554972,187867189,-14.53,
