公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2701,萬企,27473,30515,31661,-9.96,-13.22,90880,96440,-5.76,本月營業收入減少係育樂收入之影院收入減少
2702,華園,102168,88356,122729,15.63,-16.75,284042,327281,-13.21,-
2704,國賓,261464,280197,251072,-6.68,4.13,805431,827811,-2.7,-
2705,六福,267913,256411,253077,4.48,5.86,770732,788694,-2.27,-
2706,第一店,27858,26369,29755,5.64,-6.37,80136,83247,-3.73,-
2707,晶華,539940,589334,517265,-8.38,4.38,1710331,1721363,-0.64,-
2712,遠雄來,13229,12981,22970,1.91,-42.4,47120,91470,-48.48,-
2722,夏都,43703,47994,41700,-8.94,4.8,114312,131069,-12.78,-
2727,王品,1299578,1522733,1172797,-14.65,10.81,4078831,4101269,-0.54,-
2731,雄獅,2646038,2479123,1895167,6.73,39.62,6748127,5560255,21.36,-
2739,寒舍,375397,357820,325172,4.91,15.44,1115887,1052546,6.01,-
2748,雲品,121962,145844,108227,-16.37,12.69,414666,373796,10.93,-
5706,鳳凰,140844,275699,122783,-48.91,14.7,486891,445713,9.23,-
8462,柏文,219281,200160,180165,9.55,21.71,633210,510684,23.99,-
8940,新天地,128077,172027,100166,-25.54,27.86,502785,460958,9.07,-
9943,好樂迪,227276,315714,195781,-28.01,16.08,793358,771594,2.82,-
合計,合計,6442201,6801277,5370487,-5.27,19.95,18676739,17344190,7.68,
