公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1402,遠東新,18396972,18475002,18280696,-0.42,0.63,105312645,103280466,1.96,-
1409,新纖,3965800,3928361,2925583,0.95,35.55,20618901,17602880,17.13,-
1410,南染,41739,57751,54861,-27.72,-23.91,265882,273271,-2.7,-
1413,宏洲,287039,307897,271608,-6.77,5.68,1766782,1578485,11.92,-
1414,東和,75586,96876,39429,-21.97,91.7,505154,437774,15.39,去年同期無外銷
1416,廣豐,20541,18808,45915,9.21,-55.26,117677,2041625,-94.23,"去年累計1-6月子公司寶豐預售案(廣豐公園NO.3)完工交屋戶及餘屋合計1,849,607仟元，今年無建案收入。"
1417,嘉裕,117407,99104,146143,18.46,-19.66,781105,1111023,-29.69,-
1418,東華,157680,64554,95563,144.26,65.0,434924,921931,-52.82,(1)因去年同期生產線歲修。 (2)今年配合公司生產線調整，改以特殊品種為主的接單方式。
1419,新紡,103465,136606,106233,-24.26,-2.6,723271,658200,9.88,-
1423,利華,61927,87834,53246,-29.49,16.3,425512,304489,39.74,-
1434,福懋,3777686,4089179,3474269,-7.61,8.73,22467681,21100167,6.48,-
1439,中和,22754,31176,16203,-27.01,40.43,145358,139087,4.5,-
1440,南紡,2163425,2440906,1759305,-11.36,22.97,12481667,10129863,23.21,-
1441,大東,138289,158496,122794,-12.74,12.61,886119,825898,7.29,-
1443,立益,116211,92656,70662,25.42,64.46,582235,608786,-4.36,本月營收比去年同期增加64.64%主要為去年4月起棉紡廠停產
1444,力麗,943191,1148778,1020101,-17.89,-7.53,6092078,5213839,16.84,-
1445,大宇,143467,152276,134467,-5.78,6.69,804050,785427,2.37,-
1446,宏和,42038,50497,33241,-16.75,26.46,215684,251863,-14.36,-
1447,力鵬,1421013,1651811,1352873,-13.97,5.03,9456311,7933422,19.19,-
1449,佳和,213334,205682,252844,3.72,-15.62,1184700,1402492,-15.52,-
1451,年興,765230,821951,778556,-6.9,-1.71,4033511,4914492,-17.92,-
1452,宏益,166570,157216,167731,5.94,-0.69,1003964,1097188,-8.49,-
1453,大將,16155,810,4910,1894.44,229.02,20716,36165,-42.71,本月營收增加，係因營建餘屋1戶交屋入帳所致。
1454,台富,155058,184446,160148,-15.93,-3.17,962695,941294,2.27,-
1455,集盛,1328933,1363389,1174246,-2.52,13.17,8097406,7243494,11.78,-
1456,怡華,35238,36332,96683,-3.01,-63.55,204335,394747,-48.23,建設收入認列
1457,宜進,447374,469712,430255,-4.75,3.97,2757605,2492177,10.65,-
1459,聯發,289684,336367,300901,-13.87,-3.72,1785401,1612501,10.72,-
1460,宏遠,644155,761617,604080,-15.42,6.63,4527359,4113349,10.06,-
1463,強盛,175089,45521,85023,284.63,105.93,611254,1108766,-44.87,子公司保強建設建案交屋入帳
1464,得力,702894,764264,569356,-8.02,23.45,4231812,3661910,15.56,-
1465,偉全,150076,153373,165185,-2.14,-9.14,799865,917178,-12.79,-
1466,聚隆,325716,376079,392223,-13.39,-16.95,1982124,1863388,6.37,-
1467,南緯,570425,618384,556226,-7.75,2.55,3284513,3172174,3.54,-
1468,昶和,97983,107017,65765,-8.44,48.98,459716,345114,33.2,-
1470,大統新創,69161,68686,61050,0.69,13.28,369693,366874,0.76,-
1472,三洋紡,47318,32120,70247,47.31,-32.64,299142,317142,-5.67,-
1473,台南,821492,526060,749555,56.15,9.59,4142013,4002340,3.48,-
1474,弘裕,336701,308233,270085,9.23,24.66,1808399,1556957,16.14,-
1475,本盟,6225,4615,8842,34.88,-29.59,30081,75158,-59.97,調整紡織產品銷售組合
1476,儒鴻,2297731,2313682,2162113,-0.68,6.27,13509128,11089230,21.82,-
1477,聚陽,1977292,1470164,1920671,34.49,2.94,10196328,10218193,-0.21,-
4414,如興,2127398,1401729,240621,51.76,784.12,8231819,1176554,599.65,本公司收購JD United Holdings (BVI)Limited與Tooku Holdings Limited之股份，106年8月1日為合併基準日
4426,利勤,141250,155199,163916,-8.98,-13.82,1024448,1008244,1.6,-
4438,廣越,1421804,1024495,949210,38.78,49.78,4105802,2711009,51.44,主力客戶TNF、Nike、Adidas及新客戶H/H新商品出貨暢旺、羽絨原料尚弘羽絨、羅馬尼亞BSP及新子公司金漢5、6月大幅成長導致
合計,合計,47326516,46795711,42403634,1.13,11.6,263746865,243036626,8.52,
