公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2801,彰銀,2805569,2965942,2708495,-5.4,3.58,22183339,20472403,8.35,-
2809,京城銀,785708,720373,817588,9.06,-3.89,5258566,5827505,-9.76,-
2812,台中銀,1004148,1043541,928563,-3.77,8.13,7664519,7166445,6.95,-
2816,旺旺保,619717,750772,611859,-17.45,1.28,5274223,4766724,10.64,-
2820,華票,194411,165149,179867,17.71,8.08,1355550,1400549,-3.21,-
2823,中壽,31246721,38367485,25915264,-18.55,20.57,225801694,170139834,32.71,-
2832,台產,447051,433118,508343,3.21,-12.05,3380992,3480205,-2.85,-
2834,臺企銀,1884557,2115750,1831113,-10.92,2.91,15811344,14073188,12.35,-
2836,高雄銀,283672,315239,272560,-10.01,4.07,2394340,2185931,9.53,-
2838,聯邦銀,1011870,1331482,1209668,-24.0,-16.35,8725219,8197305,6.44,-
2845,遠東銀,956670,1135709,991941,-15.76,-3.55,7517537,7022876,7.04,-
2849,安泰銀,507107,457240,497372,10.9,1.95,4232471,4370530,-3.15,-
2850,新產,1273801,1352289,1257934,-5.8,1.26,10048900,9334708,7.65,-
2851,中再保,1199880,1197911,1287423,0.16,-6.79,10076159,9779999,3.02,-
2852,第一保,539938,536688,595833,0.6,-9.38,4335888,3933894,10.21,-
2855,統一證,412898,537196,726145,-23.13,-43.13,4600738,4840372,-4.95,本月營收減少主因交易部位操作獲利減少所致
2867,三商壽,12427902,14284782,15460062,-12.99,-19.61,115538029,121221386,-4.68,-
2880,華南金,4080259,4656802,3974107,-12.38,2.67,31699484,28186066,12.46,-
2881,富邦金,39587852,46317490,31527565,-14.52,25.56,293902150,286067111,2.73,-
2882,國泰金,40473410,43124017,52155357,-6.14,-22.39,338810803,376068474,-9.9,本月營業收入淨額較去年同期減少，主係保險業務淨收益減少所致。
2883,開發金,24720907,30457731,3238924,-18.83,663.24,175126783,20827229,740.85,本公司於106年9月6日完成對中國人壽之公開收購，106年9月起加計中國人壽之營業收入，致本月及累計營業收入淨額較去年同期增加。
2884,玉山金,4520935,4524451,4162671,-0.07,8.6,33872912,30167291,12.28,-
2885,元大金,8659047,8642561,8591408,0.19,0.78,67350318,55477424,21.4,-
2886,兆豐金,5262567,6949192,5159837,-24.27,1.99,42827934,40266485,6.36,-
2887,台新金,3658571,3694248,3365222,-0.96,8.71,27936741,25036685,11.58,-
2888,新光金,17559304,30435821,15666447,-42.3,12.08,178161403,167946126,6.08,-
2889,國票金,428709,403908,554412,6.14,-22.67,3914353,3981275,-1.68,-
2890,永豐金,2719222,3833911,2770156,-29.07,-1.83,22768854,21499086,5.9,-
2891,中信金,29688691,27956919,29562030,6.19,0.42,202762289,228050822,-11.08,-
2892,第一金,5068999,5666509,4538916,-10.54,11.67,42206514,33455139,26.15,-
2897,王道銀行,711109,683237,698831,4.07,1.75,5266911,5342648,-1.41,-
5876,上海商銀,3176217,3254896,3027447,-2.41,4.91,24378159,23211240,5.02,-
5880,合庫金,3979398,4367732,4158750,-8.89,-4.31,31126280,30880253,0.79,-
6005,群益證,662681,539869,933918,22.74,-29.04,6235859,5793365,7.63,-
6024,群益期,230739,176769,305810,30.53,-24.54,2177798,1757973,23.88,-
合計,合計,252790237,293396729,230191838,-13.84,9.81,1984725053,1782228546,11.36,
