公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2002,中鋼,33779551,35015046,30630858,-3.52,10.27,262508674,226959146,15.66,-
2006,東和鋼鐵,4013381,3588468,2596951,11.84,54.54,26470492,19366720,36.68,受國際鋼品持續走高及訂單挹注，銷售價格及數量均較去年同期成長；子公司(東鋼越南)受訂單遞延影響，致本月出貨量大為增加。
2007,燁興,793464,778284,715811,1.95,10.84,6146802,5306170,15.84,-
2008,高興昌,134501,131160,119968,2.54,12.11,917550,787611,16.49,-
2009,第一銅,226801,282291,232478,-19.65,-2.44,2100942,1957535,7.32,-
2010,春源,1490535,1750276,1547354,-14.84,-3.67,12606640,11598766,8.68,-
2012,春雨,862514,833690,739038,3.45,16.7,6440162,5791697,11.19,-
2013,中鋼構,1710167,1786334,1339500,-4.26,27.67,13167731,11226801,17.28,-
2014,中鴻,4425124,3974326,3388628,11.34,30.58,31791824,26161730,21.52,-
2015,豐興,2451249,2887660,1767767,-15.11,38.66,20308792,15944621,27.37,-
2017,官田鋼,463994,445888,474537,4.06,-2.22,3271165,2801327,16.77,-
2020,美亞,388240,391407,472448,-0.8,-17.82,3203419,3290266,-2.63,-
2022,聚亨,1050245,952358,825833,10.27,27.17,7177252,5039257,42.42,-
2023,燁輝,6283913,6796754,6522523,-7.54,-3.65,51212923,47001157,8.96,-
2024,志聯,139282,129480,150199,7.57,-7.26,1015460,937266,8.34,-
2025,千興,122449,237718,268432,-48.48,-54.38,2214606,2212518,0.09,本月營收較去年同期減少，主要係國際鎳價下跌，不�袗�市場景氣衰退所致。
2027,大成鋼,7534361,7080156,6113030,6.41,23.25,58004331,40841603,42.02,-
2028,威致,962330,948089,932911,1.5,3.15,7536615,6022104,25.14,-
2029,盛餘,774588,955939,1213134,-18.97,-36.14,7999446,9044417,-11.55,-
2030,彰源,1240188,1241294,1117971,-0.08,10.93,9261280,8286795,11.75,-
2031,新光鋼,803203,809001,838847,-0.71,-4.24,6161590,5737574,7.39,-
2032,新鋼,277897,251307,273370,10.58,1.65,2119622,1804008,17.49,-
2033,佳大,71047,81098,63830,-12.39,11.3,541379,501430,7.96,-
2034,允強,1705141,1719259,1566622,-0.82,8.84,13434598,13267098,1.26,-
2038,海光,465237,562490,466386,-17.28,-0.24,5248713,3027295,73.37,主係因本公司稼動率逐步回升，致銷售量較106年度增加且鋼筋平均售價亦較106年度上揚
2069,運錩,748882,694523,744402,7.82,0.6,5897539,5765162,2.29,-
3004,豐達科,202886,177200,162230,14.49,25.06,1419579,1119995,26.74,-
5007,三星,692908,727096,674178,-4.7,2.77,5416670,4830200,12.14,-
9958,世紀鋼,190435,119995,145720,58.7,30.68,1128392,1448081,-22.07,-
合計,合計,74004513,75348587,66104956,-1.78,11.95,574724188,488078350,17.75,
