公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1316,上曜,313186,46963,49828,566.87,528.53,824739,1526384,-45.96,本月主要增加營建收入
1436,華友聯,525463,494240,156834,6.31,235.04,2074771,2621467,-20.85,108年12月營收較去年同期增加之原因，係本月交屋較去年同期增加
1438,裕豐,1,0,4,,-75.0,11,17,-35.29,"108年累計銷售商品11仟元,107年累計銷售商品17仟元,故營收變化大。"
1442,名軒,59414,154381,9247,-61.51,542.52,694658,944582,-26.45,本月認收2戶，去年同期認收1戶，故兩期差異大。
1805,寶徠,4,4,13660,0.0,-99.97,127168,79876,59.2,前期營收較高主要係認列青埔-寶徠花園案收入，本年累計營收較高主要係認列青埔-寶徠花園案收入累計金額較前期為高。
1808,潤隆,781016,543410,615210,43.72,26.95,4198656,13845007,-69.67,本月營收變動主要係本公司營建收入與去年同期認列之差異。
2501,國建,2199692,825741,2200988,166.39,-0.05,11598782,14203181,-18.33,-
2504,國產,1695770,1700294,1742009,-0.26,-2.65,18783322,18335622,2.44,福建水泥廠於108/10/12出售處分，108/10月起不列入合併主體，本月影響金額2.64億，本年累計影響金額7.63億。
2505,國揚,308550,325204,126826,-5.12,143.28,1923024,752654,155.49,"本年度營建收入1,914,407仟元，租賃收入8,617仟元。"
2506,太設,95103,54204,88449,75.45,7.52,838349,1632416,-48.64,-
2509,全坤建,68707,136207,2458571,-49.55,-97.2,1730554,3950062,-56.18,"本月營收及本年累計營收較去年同期減少,主要係今年認列威峰案餘屋所致"
2511,太子,1339089,1083504,3306059,23.58,-59.49,12202661,11849819,2.97,本月營收減少59.50%，主係去年同期太子雲C區大樓等4個案場完工交屋結轉營收所致。
2515,中工,1206682,1225797,1179795,-1.55,2.27,12590753,11062318,13.81,-
2516,新建,735392,698600,834307,5.26,-11.85,7319137,7471526,-2.03,-
2520,冠德,2783405,1668594,3809572,66.81,-26.93,15331569,14646662,4.67,-
2524,京城,1012649,432514,274750,134.13,268.57,5990008,3297462,81.65,"本月因銷售狀況比較去年同期為佳, 致單月比較去年成長率較高。"
2527,宏璟,462558,286691,794695,61.34,-41.79,6435319,4540758,41.72,-
2528,皇普,21,21,135,0.0,-84.44,1361,218448,-99.37,主係108年12月認列租賃收入21仟元所致。
2530,華建,831,740,138680,12.29,-99.4,10170,1212121,-99.16,"本年度出售房地收入較去年度減少1,202,953仟元,本年度租金收入較去年度同期增加1,002仟元."
2534,宏盛,236735,361767,257068,-34.56,-7.9,5914053,8004952,-26.12,無異常，本月因有個案銷售認列收入，以及租賃收入。
2535,達欣工,1197475,939853,1019951,27.41,17.4,10754144,14422179,-25.43,-
2536,宏普,174566,403496,565269,-56.73,-69.11,2885924,3918034,-26.34,"今年本期餘屋銷售交屋量較去年同期減少,因此營收較少"
2537,聯上發,0,39144,114876,-100.0,-100.0,788704,1900407,-58.49,本月營收較去年減少，係本月無個案交屋收入所致；本期累積營收較去年減少，主要係去年2月認列桃園土地出售收入之故
2538,基泰,14269,11356,18045,25.65,-20.92,173827,148336,17.18,-
2539,櫻花建,3944653,49071,811445,7938.66,386.12,7431114,3792103,95.96,無異常。本月有「櫻花沐然」、「活力水岸」、「櫻花東山1號」、「櫻花青上森」、「櫻花孩子王」建案陸續過戶中。
2540,愛山林,232382,221776,125908,4.78,84.56,2211721,1864942,18.59,本月營收增加，主係不動產代銷個案銷售成長所致
2542,興富發,1865865,3205743,4449997,-41.79,-58.07,23798201,44204700,-46.16,本月較去年同期減少，主要係去年同期認列「康寧三小段」、「淡海三」及「NTC國家商貿中心」等建案完工並完成產權移轉所致。
2543,皇昌,618318,623253,418368,-0.79,47.79,5696807,4447713,28.08,-
2545,皇翔,810858,94792,234772,755.4,245.38,3192577,3061960,4.26,因本月成屋銷售情形較去年同期佳所致
2546,根基,1247552,1132525,853500,10.15,46.16,11462442,11429192,0.29,-
2547,日勝生,929744,333261,804919,178.98,15.5,6325345,31978939,-80.22,本年度累計較去年累計減少主係建案交屋已趨於尾聲所致。
2548,華固,511330,232122,520453,120.28,-1.75,19819800,4638016,327.33,本公司截至12月底累計營收較去年同期增加，係因本期認列交屋金額較高所致。
2597,潤弘,1399236,1255875,856775,11.41,63.31,11629631,8647235,34.48,主係業務正於大量施工階段，以致本月營收較去年同期增加。
2841,台開,31946,32207,40024,-0.81,-20.18,396437,366892,8.05,-
3052,夆典,714669,3848561,87138,-81.43,720.15,5623832,1070737,425.23,主係本期機電及營造工程收入較去年同期增加
3056,總太,574451,3710,52969,15383.85,984.5,3742423,2661309,40.62,本月營收增加係東方紐約完工交屋所致。
3266,昇陽,155030,122754,118576,26.29,30.74,1969081,2725279,-27.74,-
3703,欣陸,2182645,1838119,2306808,18.74,-5.38,22665087,25036809,-9.47,-
5515,建國,599024,618926,631508,-3.21,-5.14,6331757,6834938,-7.36,-
5519,隆大,673897,516838,466365,30.38,44.49,4394621,2577519,70.49,"主係本年自建案J39,J39-1,J35,J40案認列房地銷售收入較多及出售土地J23,J26,J30案於本年認列土地收入較多所致。"
5521,工信,457954,311386,585285,47.06,-21.75,4067904,3844011,5.82,無
5522,遠雄,2583925,1775461,4005299,45.53,-35.48,20672958,24249238,-14.74,-
