公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2427,三商電,125728,246236,86023,-48.94,46.15,371964,410757,-9.44,-
2453,凌群,309717,322102,328684,-3.84,-5.77,631819,670616,-5.78,-
2468,華經,109292,112149,75005,-2.54,45.71,221441,183803,20.47,-
2471,資通,51057,50143,33623,1.82,51.85,101200,94210,7.41,本月營收較去年本月營收增加百分比達50%以上，係因逢農曆過年為2月初，大多數的專案驗收皆延後至農曆過年後所致。
2480,敦陽科,457778,491483,297730,-6.85,53.75,949261,697032,36.18,本月營收增減百分比較去年同期增加達50％以上係因子公司營收增加所致
3029,零壹,546013,740073,421295,-26.22,29.6,1286086,1052998,22.13,-
3130,一零四,111133,116724,100066,-4.78,11.05,227857,218552,4.25,-
4994,傳奇,292548,295873,66544,-1.12,339.63,588421,119260,393.39,"因本月適逢新產品上市,致兩期營收差異較大"
5203,訊連,99072,105525,115071,-6.11,-13.9,204597,244294,-16.24,-
6112,聚碩,921744,1025388,815146,-10.1,13.07,1947132,1736868,12.1,-
6183,關貿,112877,119150,103771,-5.26,8.77,232027,217392,6.73,-
6214,精誠,1232773,2050610,1046845,-39.88,17.76,3283383,2577829,27.37,-
合計,合計,4369732,5675456,3489803,-23.0,25.21,10045188,8223611,22.15,
