公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2312,金寶,11108802,10314557,9683468,7.7,14.71,33955135,28608918,18.68,-
2317,鴻海,376604602,265632525,349154840,41.77,7.86,1056332144,1027576723,2.79,-
2354,鴻準,5818340,2564452,10478422,126.88,-44.47,12888339,34334686,-62.46,三月營收已彈升，通訊與消費產品需求也已轉強，但第一季仍屬淡季，且工作天數較少，故年比仍呈現衰退現象。
2359,所羅門,376862,280126,318040,34.53,18.49,974605,895118,8.88,-
2360,致茂,979940,801500,1288979,22.26,-23.97,2742396,3466154,-20.88,-
2373,震旦行,1105627,959857,1208951,15.18,-8.54,3262775,3286334,-0.71,-
2390,云辰,51688,51853,48764,-0.31,5.99,173293,166447,4.11,-
2404,漢唐,1983942,1851162,770553,7.17,157.46,6687701,2978810,124.5,"本月營收較去年同期增加50%以上,係因本月正在投入進行的專案較去年同期增加所致"
2423,固緯,252546,161842,219754,56.04,14.92,592802,535038,10.79,-
2433,互盛電,352643,340450,321262,3.58,9.76,1057733,956328,10.6,-
2461,光群雷,488195,355037,459249,37.5,6.3,1218656,1254696,-2.87,-
2464,盟立,1139360,1073343,1108391,6.15,2.79,3392595,3417868,-0.73,-
2474,可成,7448163,3443737,6515240,116.28,14.31,15804300,20406154,-22.55,-
2477,美隆電,325726,156430,227346,108.22,43.27,760505,705116,7.85,-
2482,連宇,78774,64599,75471,21.94,4.37,226376,232538,-2.64,-
2488,漢平,187955,127176,138276,47.79,35.92,523846,409298,27.98,-
2495,普安,100992,84166,115603,19.99,-12.63,322661,299796,7.62,-
3018,同開,152214,49067,110243,210.21,38.07,304974,256258,19.01,-
3030,德律,307517,260560,382496,18.02,-19.6,976359,1064347,-8.26,-
3043,科風,137604,40247,90782,241.89,51.57,292137,230207,26.9,"本月營收增減百分比較去年同期增加達50%以上,係因上月份工作天數少,延至本月出貨所致"
3305,昇貿,439664,312382,459730,40.74,-4.36,1247248,1398473,-10.81,-
3450,聯鈞,531348,418647,639252,26.92,-16.87,1454900,1731656,-15.98,-
3518,柏騰,38640,36691,46794,5.31,-17.42,114829,135075,-14.98,-
3617,碩天,776563,543951,635020,42.76,22.28,1971686,1748588,12.75,-
6139,亞翔,1085511,875077,2263885,24.04,-52.05,4682077,6004612,-22.02,營收大幅減少原因:本公司採完工比例法認列收入，本月營收大幅波動，主係大型工程專案陸續完工所致。
6192,巨路,532005,361240,466555,47.27,14.02,1464689,1284197,14.05,-
6196,帆宣,1670175,1621147,2205167,3.02,-24.26,5753058,5549048,3.67,-
6201,亞弘電,250815,90623,223160,176.76,12.39,810646,706258,14.78,-
6215,和椿,111550,92169,137166,21.02,-18.67,316616,345709,-8.41,-
6283,淳安,91370,51787,89975,76.43,1.55,234150,195275,19.9,-
6409,旭隼,1028165,738921,921719,39.14,11.54,2854536,2516688,13.42,-
6558,興能高,144963,84658,112958,71.23,28.33,436686,319580,36.64,-
6698,旭暉應材,78848,36761,51716,114.48,52.46,206872,132405,56.24,產業需求增加帶動營運成長
8021,尖點,224522,176285,256124,27.36,-12.33,655201,780538,-16.05,-
8201,無敵,75459,126487,87366,-40.34,-13.62,349333,458216,-23.76,-
合計,合計,416081090,294179512,391312717,41.43,6.32,1165041859,1154387152,0.92,
