公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2208,台船,1578555,2429175,1082788,-35.01,45.78,10054384,8515987,18.06,-
2603,長榮,16150698,16816230,14958617,-3.95,7.96,125781232,105100871,19.67,-
2605,新興,352512,310464,359780,13.54,-2.02,2361166,2132584,10.71,-
2606,裕民,1184272,879600,1195540,34.63,-0.94,6312742,6807255,-7.26,-
2607,榮運,643253,646421,654800,-0.49,-1.76,5184804,5132703,1.01,-
2608,嘉里大榮,1037087,1061525,914907,-2.3,13.35,7702826,6802074,13.24,-
2609,陽明,12631351,13003004,13061264,-2.85,-3.29,101109368,90603689,11.59,-
2610,華航,14970025,15428142,15285557,-2.96,-2.06,113395028,112080048,1.17,-
2611,志信,77204,76224,82559,1.28,-6.48,603610,618203,-2.36,-
2612,中航,306034,321681,338026,-4.86,-9.46,2540420,2481556,2.37,-
2613,中櫃,237829,265924,250568,-10.56,-5.08,1881987,1902831,-1.09,-
2615,萬海,6161738,6329377,5733994,-2.64,7.45,48167679,42488372,13.36,-
2617,台航,275197,285359,293239,-3.56,-6.15,2105265,2246299,-6.27,-
2618,長榮航,16831957,14401262,16325269,16.87,3.1,119410778,120278505,-0.72,-
2630,亞航,383415,345346,257756,11.02,48.75,2554466,1544829,65.35,108年1-8月累計營收較107年同期增加65.36%，係二指部專案及商用機維修收入增加所致。
2633,台灣高鐵,3879227,3922972,3809773,-1.11,1.82,31430916,29919510,5.05,-
2634,漢翔,2456970,2568245,2377285,-4.33,3.35,18142031,17315732,4.77,-
2636,台驊投控,965366,971997,1030457,-0.68,-6.31,7336562,7162273,2.43,-
2642,宅配通,301130,315163,269907,-4.45,11.56,2417815,2222677,8.77,-
5607,遠雄港,680436,149156,141050,356.19,382.4,1668663,1107436,50.67,依子公司遠雄航空自由貿易港區(股)公司與近鐵運通(股)公司訴訟和解案內容認列營收
5608,四維航,327344,310576,334636,5.39,-2.17,2549166,2634480,-3.23,-
8367,建新國際,156906,156942,130812,-0.02,19.94,1149919,1077719,6.69,無
合計,合計,81588506,80994785,78888584,0.73,3.42,613860827,570175633,7.66,
