公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2314,台揚,403498,392794,803087,2.72,-49.75,3971533,5071722,-21.69,-
2321,東訊,93108,97902,211700,-4.89,-56.01,1089928,1603329,-32.02,手機市場飽和相關營運部門營收減少
2332,友訊,1371993,1512290,1523390,-9.27,-9.93,11134415,13238507,-15.89,-
2345,智邦,5918287,4565787,4319354,29.62,37.01,35411675,26236888,34.96,-
2412,中華電,16994320,16695959,17778092,1.78,-4.4,135129615,142207640,-4.97,-
2419,仲琦,929048,768336,1140311,20.91,-18.52,7097097,5667924,25.21,-
2439,美律,3582689,3051910,3580811,17.39,0.05,24236174,17570200,37.93,-
2444,兆勁,161169,154512,71620,4.3,125.03,943939,736234,28.21,差異主要是因去年被動原件缺貨造成業績下滑，今年原物料庫存倍增，業績正常成長。
2450,神腦,2377624,2266315,2498194,4.91,-4.82,19162089,20865714,-8.16,-
2455,全新,233977,246921,175224,-5.24,33.53,1570524,1441142,8.97,-
2485,兆赫,765285,855167,629523,-10.51,21.56,5527670,5107097,8.23,-
2498,宏達電,734614,440615,1388825,66.72,-47.1,6925960,18351625,-62.25,本年營收較去年同期減少，主要係因出貨量減少所致。
3025,星通,35390,52249,44401,-32.26,-20.29,342245,307786,11.19,-
3027,盛達,44830,44673,63915,0.35,-29.85,425500,526604,-19.19,-
3045,台灣大,10113813,10349704,9468495,-2.27,6.81,79950741,77531895,3.11,-
3047,訊舟,363994,378604,669447,-3.85,-45.62,3584012,4465604,-19.74,-
3062,建漢,505104,472095,605354,6.99,-16.56,3836231,5690477,-32.58,-
3311,閎暉,238274,190329,247948,25.19,-3.9,1490169,1433847,3.92,-
3380,明泰,1300864,1242398,1142440,4.7,13.86,9708552,10107874,-3.95,-
3419,譁裕,124587,137102,170992,-9.12,-27.13,994863,1306887,-23.87,-
3596,智易,2440600,3014018,2112208,-19.02,15.54,22917752,16483627,39.03,-
3682,亞太電,1284290,1141241,1162968,12.53,10.43,9268292,9609902,-3.55,-
3694,海華,765450,788788,719949,-2.95,6.32,4953087,4364008,13.49,-
3704,合勤控,1939306,1481033,2191355,30.94,-11.5,17124356,12710347,34.72,-
4904,遠傳,6866012,6791216,6813069,1.1,0.77,54901947,57113875,-3.87,-
4906,正文,1598683,1674624,1533204,-4.53,4.27,13155432,10702815,22.91,-
5388,中磊,2791135,2928439,3037685,-4.68,-8.11,18898399,21026083,-10.11,-
6136,富爾特,58720,59689,49807,-1.62,17.89,569683,396792,43.57,-
6142,友勁,344914,360204,353200,-4.24,-2.34,2327575,2117409,9.92,-
6152,百一,428311,435258,735343,-1.59,-41.75,2911307,4694700,-37.98,-
6216,居易,82694,93729,91016,-11.77,-9.14,614412,647002,-5.03,-
6285,啟��,5915831,5986766,5285494,-1.18,11.92,40344424,34783971,15.98,-
6416,瑞祺電通,358174,306774,347178,16.75,3.16,2455881,2525869,-2.77,-
6442,光聖,225985,247747,254378,-8.78,-11.16,1724042,1799834,-4.21,-
6674,鋐寶科技,262326,273549,452565,-4.1,-42.03,2058222,4111686,-49.94,-
8011,台通,98820,109229,175514,-9.52,-43.69,907270,1314930,-31.0,-
8101,華冠,78359,267165,413971,-70.67,-81.07,1431912,5512233,-74.02,主要客戶出貨量持續下滑，導致營收較去年同期大幅降低。
合計,合計,71832078,69875131,72262027,2.8,-0.59,549096925,549384079,-0.05,
