公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1603,華電,170712,283394,262064,-39.76,-34.85,1616589,1566395,3.2,-
1604,聲寶,576682,672488,543564,-14.24,6.09,4982170,5170743,-3.64,-
1605,華新,9657602,9999721,16164115,-3.42,-40.25,93840788,134375063,-30.16,-
1608,華榮,692934,651684,703178,6.32,-1.45,5162151,5827888,-11.42,-
1609,大亞,1464737,1585866,1652524,-7.63,-11.36,12009466,12465556,-3.65,-
1611,中電,195345,198835,181278,-1.75,7.75,1565988,1607210,-2.56,-
1612,宏泰,296331,284677,368645,4.09,-19.61,2351360,2662042,-11.67,-
1614,三洋電,453131,575492,434962,-21.26,4.17,3707551,3624557,2.28,-
1615,大山,233109,319346,286726,-27.0,-18.69,1904347,2225888,-14.44,-
1616,億泰,323009,329983,226912,-2.11,42.34,2019936,2091410,-3.41,-
1617,榮星,235583,238854,325027,-1.36,-27.51,1884526,2435461,-22.62,-
1618,合機,172739,235397,240780,-26.61,-28.25,1432412,1617994,-11.46,-
4930,燦星網,1029880,1089822,1264552,-5.5,-18.55,7594965,7180633,5.77,-
5283,禾聯碩,585802,668454,525747,-12.36,11.42,4104505,3926319,4.53,-
合計,合計,16087596,17134013,23180074,-6.1,-30.59,144176754,186777159,-22.8,
