公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1503,士電,2225612,2069620,2162647,7.53,2.91,19463851,18382798,5.88,-
1504,東元,4086750,3656358,4187038,11.77,-2.39,35923140,37587212,-4.42,-
1506,正道,108490,97932,94606,10.78,14.67,929332,913357,1.74,-
1507,永大,1170002,1170612,1243219,-0.05,-5.88,10002698,11437656,-12.54,此為本公司自結數
1513,中興電,1176035,833099,1772288,41.16,-33.64,8851603,8977567,-1.4,-
1514,亞力,344470,345898,320545,-0.41,7.46,3468937,2957596,17.28,-
1515,力山,819060,729184,572481,12.32,43.07,5800679,3530149,64.31,客戶銷售狀況好增加採購量
1517,利奇,251549,239120,233730,5.19,7.62,2251758,2201518,2.28,-
1519,華城,383387,656929,617386,-41.63,-37.9,4117785,4187752,-1.67,-
1526,日馳,72665,93773,94290,-22.5,-22.93,839375,908207,-7.57,-
1527,鑽全,223538,317437,297283,-29.58,-24.8,2676119,2855489,-6.28,-
1528,恩德,394638,324550,409880,21.59,-3.71,2961658,3784433,-21.74,-
1529,樂士,88042,49962,44321,76.21,98.64,330256,174641,89.1,"本月暨本年迄今,太陽能案場工程營收認列較多,故本月及本年累計增幅均較高"
1530,亞崴,330765,280609,399121,17.87,-17.12,2599016,3617106,-28.14,-
1531,高林股,159952,179432,216247,-10.85,-26.03,1674707,1990342,-15.85,-
1532,勤美,1019530,1045547,2556336,-2.48,-60.11,10571839,13149948,-19.6,9月份兩期變動達60.12%，主係去年同期認列完工交屋之營建收入較本期增加所致
1535,中宇,731146,822978,863369,-11.15,-15.31,7076555,7597194,-6.85,-
1537,廣隆,660321,677723,714946,-2.56,-7.64,5944588,6379157,-6.81,-
1538,正峰新,34920,30659,35144,13.89,-0.63,269387,318616,-15.45,-
1539,巨庭,186804,117691,237233,58.72,-21.25,1699899,2088919,-18.62,-
1540,喬福,40192,66687,65927,-39.73,-39.03,511472,418325,22.26,-
1541,錩泰,360272,417530,292025,-13.71,23.37,3322546,2712288,22.49,-
1558,伸興,722020,668805,714020,7.95,1.12,4670055,5246078,-10.98,-
1560,中砂,403026,403594,441340,-0.14,-8.68,3645395,3803680,-4.16,-
1583,程泰,525589,421692,705140,24.63,-25.46,4648653,6360380,-26.91,-
2049,上銀,1374363,1572389,2805838,-12.59,-51.01,16196869,22685003,-28.6,受中美貿易戰持續影響，市場需求低迷，致營收較去年同期減少
2371,大同,2753458,2874934,4810866,-4.22,-42.76,24575549,48313551,-49.13,-
3167,大量,145161,147018,353582,-1.26,-58.94,1383275,3137767,-55.91,景氣較去年放緩所致。
4526,東台,830276,907764,884559,-8.53,-6.13,8135305,8351488,-2.58,-
4532,瑞智,1486109,1082625,1379446,37.26,7.73,15485774,16875970,-8.23,-
4540,全球傳動,145111,196393,228022,-26.11,-36.36,1572056,2612509,-39.82,-
4555,氣立,101877,104559,136518,-2.56,-25.37,1021436,1309744,-22.01,-
4562,穎漢,75273,73766,114511,2.04,-34.26,753476,1090224,-30.88,-
4564,元翎,209411,223452,197970,-6.28,5.77,2154658,1874040,14.97,-
4566,時碩工業,358767,347150,282592,3.34,26.95,2897961,2604071,11.28,-
4572,駐龍,70279,71257,88713,-1.37,-20.77,637271,602331,5.8,-
4576,大銀微系統,134542,158153,161383,-14.92,-16.63,1547306,2215201,-30.15,-
8222,寶一,66673,69484,60097,-4.04,10.94,599027,602896,-0.64,-
8374,羅昇,200429,231340,287897,-13.36,-30.38,2243011,2861750,-21.62,-
8996,高力,174944,234720,166747,-25.46,4.91,1627034,1457299,11.64,-
合計,合計,24645448,24012425,31249303,2.63,-21.13,225081311,268174252,-16.06,
