公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1402,遠東新,3677482,3611397,3228200,1.82,13.91,7288879,5605584,30.02
1409,新纖,1830197,1929589,1689300,-5.15,8.34,3759786,2778355,35.32
1410,南染,12783,21000,15925,-39.12,-19.72,33783,29787,13.41
1413,宏洲化工,256004,330836,174259,-22.61,46.91,586840,306741,91.31
1414,東和,276348,373620,324395,-26.03,-14.81,649967,516764,25.77
1416,廣豐,21499,32457,20729,-33.76,3.71,53956,51883,3.99
1417,嘉裕,106538,122487,75504,-13.02,41.1,229025,217355,5.36
1418,東華,194402,326053,150742,-40.37,28.96,520455,253577,105.24
1419,新紡,40969,69377,35249,-40.94,16.22,110345,83157,32.69
1423,利華羊毛,53753,63739,84970,-15.66,-36.73,117492,157885,-25.58
1432,大魯閣,60,377,37,-84.08,62.16,437,554,-21.11
1434,福懋興業,2158409,2444880,1722155,-11.71,25.33,4603289,3332204,38.14
1438,裕豐,10950,982,1073,1015.07,920.5,11932,1858,542.19
1439,中和羊毛,35193,60794,20338,-42.11,73.04,95987,35584,169.74
1440,南紡,868525,1142320,817863,-23.96,6.19,2010845,1409798,42.63
1441,大東紡織,91834,120958,137845,-24.07,-33.37,212792,242190,-12.13
1443,立益紡織,46140,143651,66102,-67.88,-30.19,189791,162136,17.05
1444,力麗,693169,637498,502774,8.73,37.86,1330667,867803,53.33
1445,大宇紡織,121064,172217,144596,-29.7,-16.27,293281,276660,6.0
1446,宏和,69263,77789,84055,-10.96,-17.59,147052,179771,-18.2
1447,力鵬,1501757,2081496,1369410,-27.85,9.66,3583253,2202748,62.67
1449,佳和實業,101951,141795,112166,-28.09,-9.1,243746,216564,12.55
1451,年興紡織,563560,584498,587783,-3.58,-4.12,1148058,1054149,8.9
1452,宏益,139489,150477,116489,-7.3,19.74,289966,186136,55.78
1453,大將,10520,18757,17265,-43.91,-39.06,29277,27916,4.87
1454,台富,137950,205808,143104,-32.97,-3.6,343758,246559,39.42
1455,集盛,1098885,1380622,1027437,-20.4,6.95,2479507,1590906,55.85
1456,怡華,128825,157241,184783,-18.07,-30.28,286066,338503,-15.49
1457,宜進,248559,332904,224883,-25.33,10.52,581463,383497,51.62
1459,聯發紡織,172273,271461,177459,-36.53,-2.92,443734,284580,55.92
1460,宏遠,271851,308320,322256,-11.82,-15.64,580171,595406,-2.55
1463,強盛染整,24928,35424,41806,-29.62,-40.37,60352,68629,-12.06
1464,得力實業,73137,105105,56566,-30.41,29.29,178242,111547,59.79
1465,偉全實業,93333,109656,74493,-14.88,25.29,202989,171482,18.37
1466,聚隆,312257,358289,224131,-12.84,39.31,670546,374455,79.07
1467,南緯實業,273509,319965,259561,-14.51,5.37,593474,580163,2.29
1468,昶和纖維,42909,74212,50104,-42.18,-14.36,117121,90212,29.82
1469,理隆纖維,24711,28544,38603,-13.42,-35.98,53255,58007,-8.19
1470,大統染,39460,64695,50149,-39.0,-21.31,104155,89189,16.78
1472,三洋紡,48335,48698,28463,-0.74,69.81,97033,65049,49.16
1473,台南企業,664515,716243,564308,-7.22,17.75,1380758,1222141,12.97
1474,弘裕,166394,222811,205593,-25.32,-19.06,389205,330459,17.77
1475,本盟光電,19469,21763,21074,-10.54,-7.61,41232,41874,-1.53
1476,儒鴻,449167,496707,417262,-9.57,7.64,945873,870050,8.71
1477,聚陽實業,842325,1312747,745179,-35.83,13.03,2155071,1783850,20.81
4414,如興,182204,249789,187261,-27.05,-2.7,431993,414623,4.18
4426,利勤實業,41665,61770,39247,-32.54,6.16,103435,74380,39.06
合計,合計,18238520,21541818,16582946,-15.33,9.98,39780334,29982720,32.67
