公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2801,彰化銀行,1674727,1873123,1451100,-10.59,15.41,3547850,3427855,3.5
2809,京城銀行,299078,280892,186526,6.47,60.34,579970,394629,46.96
2812,台中銀行,412928,417894,368591,-1.18,12.02,830822,716471,15.96
2816,旺旺保險,709970,993978,908250,-28.57,-21.83,1703948,1822939,-6.52
2820,華票,167986,151168,327769,11.12,-48.74,319154,679752,-53.04
2823,中壽,10243455,17993312,16083621,-43.07,-36.31,28236767,32223602,-12.37
2832,台產,642431,1243897,805121,-48.35,-20.2,1885206,1769572,6.53
2833,台灣人壽,4257459,6757003,5797775,-36.99,-26.56,11014462,11624924,-5.25
2834,臺灣企銀,1075243,1284862,1063166,-16.31,1.13,2360105,2289967,3.06
2836,高銀,190535,195017,148941,-2.29,27.92,385552,305255,26.3
2837,萬泰銀行,-21180,38354,-102608,-155.22,79.35,17174,-176793,109.71
2838,聯邦銀行,496211,482609,680070,2.81,-27.03,978822,1207768,-18.95
2845,遠東商銀,548918,665579,425954,-17.52,28.86,1214497,871698,39.32
2847,大眾銀行,540820,679249,495993,-20.37,9.03,1220069,1024893,19.04
2849,安泰銀行,389064,440842,424735,-11.74,-8.39,830024,776845,6.84
2850,新產,925508,6291148,1268056,-85.28,-27.01,7216654,6441298,12.03
2851,中再保,725628,608408,853052,19.26,-14.93,1334036,1388469,-3.92
2852,第一保,656845,1455264,793959,-54.86,-17.26,2112109,1945297,8.57
2855,統一證券,335777,483993,295974,-30.62,13.44,819770,590103,38.91
2856,元富證券,1428185,2475913,620534,-42.31,130.15,3879906,1152968,236.51
2867,三商美邦,9990327,16061243,12701680,-37.79,-21.34,26051570,26535788,-1.82
2880,華南金,212394,495401,571482,-57.12,-62.83,707795,1304952,-45.76
2881,富邦金,2126111,2719016,1709530,-21.8,24.36,4845127,2533198,91.26
2882,國泰金,-1060971,-492876,2226040,-115.26,-147.66,-1553847,4142536,-137.5
2883,開發金,-144237,162662,-262502,-188.67,45.05,18425,150812,-87.78
2884,玉山金控,309265,362465,295646,-14.67,4.6,671730,603204,11.36
2885,元大金,272716,688989,256531,-60.41,6.3,961704,607802,58.22
2886,兆豐金,1301229,1445017,1334086,-9.95,-2.46,2746246,2630037,4.41
2887,台新金控,553008,778696,457419,-28.98,20.89,1331703,736578,80.79
2888,新光金,-279734,-1130104,1310479,75.24,-121.34,-1409838,2310579,-161.01
2889,國票金控,141526,72719,278208,94.62,-49.12,214245,477885,-55.16
2890,永豐金控,269891,44843,206399,501.85,30.76,314734,433289,-27.36
2891,中信金,1129387,1403850,985457,-19.55,14.6,2533237,2361619,7.26
2892,第一金控,316614,41557,482349,661.87,-34.35,358172,1164098,-69.23
6005,群益證,187281,315399,333731,-40.62,-43.88,502680,524148,-4.09
合計,合計,41024395,67781382,55783114,-39.47,-26.45,108780580,116994037,-7.02
