公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2101,南港輪胎,415422,348633,351877,19.15,18.05,1201803,785151,53.06
2102,泰豐輪胎,540549,385821,334667,40.1,61.51,1415695,766900,84.59
2103,台橡,1416963,871264,1019660,62.63,38.96,3397342,2178150,55.97
2104,中橡,490809,399916,320565,22.72,53.1,1368967,764872,78.97
2105,正新,1786215,1198864,1286595,48.99,38.83,4426165,3255647,35.95
2106,建大,466705,315461,343744,47.94,35.77,1162972,991660,17.27
2107,厚生,331351,311391,272211,6.4,21.72,941158,732602,28.46
2108,南帝化工,434807,341786,279194,27.21,55.73,1120348,693508,61.54
2109,華豐橡膠,234214,161764,193575,44.78,20.99,631979,523733,20.66
2114,鑫永銓,116569,110424,73242,5.56,59.15,354981,303946,16.79
合計,合計,6233604,4445324,4475330,40.22,39.28,16021410,10996169,45.69
