公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1704,榮化,2696718,2864831,2399377,-5.86,12.39,9657360,7654644,26.16
1708,東鹼,243590,223276,254636,9.09,-4.33,946945,894990,5.8
1709,和益化工,775673,881102,599689,-11.96,29.34,2881369,1999727,44.08
1710,東聯,1139700,1224587,871637,-6.93,30.75,4425837,3036937,45.73
1711,永光化學,675074,607909,480473,11.04,40.5,2117516,1408510,50.33
1712,興農,478551,588995,584039,-18.75,-18.06,2045914,2265893,-9.7
1713,國化,46824,47717,36080,-1.87,29.77,167670,111796,49.97
1714,和桐化學,1002815,909063,736195,10.31,36.21,3819270,2689191,42.02
1717,長興化學,1699936,1759911,1271657,-3.4,33.67,6119896,4297094,42.41
1718,中纖,1085557,1774070,842247,-38.8,28.88,4898462,2882775,69.92
1721,三晃,136301,201674,119266,-32.41,14.28,595051,367840,61.76
1722,台肥,1271272,1214571,1525599,4.66,-16.67,4460904,6428618,-30.6
1723,中碳,702718,648702,382553,8.32,83.69,2372623,1326587,78.85
1724,台硝,144333,145105,107739,-0.53,33.96,511674,384518,33.06
1725,元禎,994598,892458,650047,11.44,53.0,3314261,2075362,59.69
1726,永記造漆,455782,590600,465498,-22.82,-2.08,2083423,1697722,22.71
1727,中華化學,148482,150234,91101,-1.16,62.98,525276,361325,45.37
1730,花仙子,68245,64798,60738,5.31,12.35,301690,250566,20.4
1732,毛寶,60683,50114,53174,21.08,14.12,258287,242361,6.57
1735,日勝化,268441,240793,174323,11.48,53.99,781733,503312,55.31
1737,臺鹽,191278,171055,176313,11.82,8.48,701503,659583,6.35
1773,勝一化工,607664,517492,385096,17.42,57.79,1971639,1320270,49.33
4722,國精化學,213655,222565,140341,-4.0,52.23,696468,494098,40.95
4725,信昌化,2106069,2221107,1130493,-5.17,86.29,7694871,3477032,121.3
4733,上緯企業,95136,92034,57692,3.37,64.9,359031,333611,7.61
合計,合計,17309095,18304763,13596003,-5.43,27.31,63708673,47164362,35.07
