公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1603,華電,278622,210534,182124,32.34,52.98,1051834,1018728,3.24
1604,聲寶,799140,654733,649257,22.05,23.08,3416451,3393907,0.66
1605,華新,7209131,7270023,4931006,-0.83,46.2,33779269,24045108,40.48
1608,華榮,982158,916098,543674,7.21,80.65,4289947,2373055,80.77
1609,大亞電線,650971,712574,576775,-8.64,12.86,3377555,2607368,29.53
1611,中電,505954,507973,292134,-0.39,73.19,2383579,1609485,48.09
1612,宏泰,603824,412234,345473,46.47,74.78,2411215,1905511,26.53
1613,台一,457086,468026,292812,-2.33,56.1,2106142,1446024,45.65
1614,三洋電,627913,551699,469709,13.81,33.68,2808466,2588545,8.49
1615,大山,353356,328050,171606,7.71,105.91,1676883,1007848,66.38
1616,億泰,288400,264739,249592,8.93,15.54,1202917,1181808,1.78
1617,榮星電線,439745,480091,250203,-8.4,75.75,2016965,977679,106.3
1618,合機公司,358740,271803,236486,31.98,51.69,1310324,984803,33.05
4930,燦星網通,61277,105742,0,-42.05,,380357,0,
合計,合計,13616317,13154319,9190851,3.51,48.15,62211904,45139869,37.82
