公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1435,中福,7846,1959,1855,300.51,322.96,19100,11533,65.61
2062,橋椿,461100,399117,368294,15.53,25.19,2161346,1845327,17.12
2514,龍邦國際,10372,7760,7068,33.65,46.74,48798,35126,38.92
2904,匯僑,31235,30476,24741,2.49,26.24,188836,150650,25.34
6184,大豐電,54215,54041,54033,0.32,0.33,323849,321232,0.81
6504,南六企業,191982,193906,161278,-0.99,19.03,1139997,860830,32.42
8033,雷虎科技,64858,62333,70190,4.05,-7.59,385747,477401,-19.19
9902,台火,474,944,6541,-49.78,-92.75,503397,10305,4784.97
9904,寶成工業,1142878,1100809,876111,3.82,30.44,6577503,4990848,31.79
9905,大華金,261100,267520,317256,-2.39,-17.7,1377973,1350302,2.04
9906,興達,2631,0,24420,,-89.22,16512,65760,-74.89
9907,統一實業,1998734,2040306,1685688,-2.03,18.57,11420613,9411641,21.34
9910,豐泰企業,1078841,968359,891914,11.4,20.95,5807318,5012338,15.86
9911,台灣櫻花,260173,224394,220521,15.94,17.98,1670744,1421722,17.51
9914,美利達,702881,638084,647128,10.15,8.61,5047925,4398687,14.75
9917,中保,483527,479187,485227,0.9,-0.35,2889863,2889646,0.0
9919,康那香,267283,298704,243646,-10.51,9.7,1696953,1628727,4.18
9921,巨大機械,1361904,926691,1000473,46.96,36.12,7966298,7007008,13.69
9924,台灣福興,280699,319877,199506,-12.24,40.69,1644132,1456540,12.87
9925,新光保全,299276,297053,278519,0.74,7.45,1717505,1671181,2.77
9927,泰銘,639412,755664,504618,-15.38,26.71,4127268,2595989,58.98
9928,中視,133263,144334,123889,-7.67,7.56,798560,725252,10.1
9929,秋雨,68431,72775,65032,-5.96,5.22,414641,387674,6.95
9930,中聯資源,366255,356079,372339,2.85,-1.63,2152997,2440581,-11.78
9933,中鼎工程,2369396,1959740,1909120,20.9,24.1,11617412,11148648,4.2
9934,成霖企業,294458,415542,223050,-29.13,32.01,1819248,1572504,15.69
9935,慶豐富,212695,169282,386918,25.64,-45.02,1950712,2045022,-4.61
9938,台灣百和,163988,177983,159529,-7.86,2.79,982387,960328,2.29
9939,宏全,589903,515692,513354,14.39,14.91,2888943,2468165,17.04
9940,信義房屋,665529,788448,692227,-15.58,-3.85,4083388,3012887,35.53
9941,裕融企業,130827,129378,159830,1.11,-18.14,771493,822058,-6.15
9942,茂順,144859,136858,88149,5.84,64.33,760577,484643,56.93
9943,好樂迪,272257,248896,259544,9.38,4.89,1580284,1579040,0.07
9944,新麗企業,47376,41388,32457,14.46,45.96,238741,203279,17.44
9945,潤泰創新,734400,685881,744465,7.07,-1.35,4039980,4140683,-2.43
9955,佳龍,632070,592791,425495,6.62,48.54,3541202,1911615,85.24
合計,合計,16427128,15502251,14224425,5.96,15.48,94372242,81515172,15.77
