公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1701,中化,213302,232671,250322,-8.32,-14.78,1636262,1530682,6.89
1707,葡萄王,184866,186037,220504,-0.62,-16.16,1171524,978977,19.66
1720,生達化學,184634,180650,162383,2.2,13.7,1198851,1118038,7.22
1729,必翔實業,167217,162375,120992,2.98,38.2,766835,673741,13.81
1731,美吾華,149501,152138,225040,-1.73,-33.56,1304241,1564097,-16.61
1733,五鼎,151686,148344,124562,2.25,21.77,1011901,789992,28.09
1734,杏輝藥品,133668,141029,127193,-5.21,5.09,910192,880813,3.33
1736,喬山健康,662553,399468,162467,65.85,307.8,3490061,1012346,244.74
1762,中化合成,142032,135717,70247,4.65,102.18,732990,660452,10.98
3164,景岳生技,22177,19801,16020,11.99,38.43,190076,107614,76.62
4104,佳醫,261005,262029,238484,-0.39,9.44,1711353,1636792,4.55
4106,雃博,116893,148547,116392,-21.3,0.43,918871,831324,10.53
4108,懷特,6548,7104,1647,-7.82,297.57,37655,10858,246.79
4119,旭富製藥,72380,84747,78306,-14.59,-7.56,541957,527402,2.75
4133,亞諾法,42910,42836,35778,0.17,19.93,284223,229352,23.92
4142,國光生技,202,3233,1622,-93.75,-87.54,729356,65564,1012.43
4737,華廣,95578,95380,93872,0.2,1.81,594506,453111,31.2
4746,台耀,212162,244514,57706,-13.23,267.66,1366053,991301,37.8
合計,合計,2819314,2646620,2103537,6.52,34.02,18596907,14062456,32.24
