公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2901,欣欣大眾,62208,63883,57128,-2.62,8.89,456723,447997,1.94
2903,遠百,1705739,1921202,1576747,-11.21,8.18,14506135,13106838,10.67
2905,三商行,755541,650002,721936,16.23,4.65,5164789,5188115,-0.44
2906,高林實,358844,463700,378053,-22.61,-5.08,2433259,2393663,1.65
2908,特力,1073174,1066497,813962,0.62,31.84,7878807,7064518,11.52
2910,統領,146803,146968,138420,-0.11,6.05,1194875,1129084,5.82
2911,麗嬰房,182771,170588,174954,7.14,4.46,1476054,1491008,-1.0
2912,統一超,10189891,10289154,8813036,-0.96,15.62,75445712,67530117,11.72
2913,台灣農林,101748,117513,74995,-13.41,35.67,746084,402169,85.51
2915,潤泰全球,444996,458789,389053,-3.0,14.37,3216636,3039099,5.84
合計,合計,15021715,15348296,13138284,-2.12,14.33,112519074,101792608,10.53
