公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2301,光寶科技,9073793,8575872,8086673,5.8,12.2,77382805,57326440,34.98
2305,全友電腦,14381,14962,35881,-3.88,-59.92,141417,187147,-24.43
2315,神達電腦,3896117,3858235,5174220,0.98,-24.7,38107471,41677094,-8.56
2324,仁寶電腦,78915011,65647541,66323999,20.21,18.98,637405990,403995274,57.77
2331,精英,5988679,4493488,5096728,33.27,17.5,37397494,40818687,-8.38
2352,佳世達,5415248,5346720,5705394,1.28,-5.08,44350403,37685903,17.68
2353,宏��,58365613,52758192,55823497,10.62,4.55,409158464,339191376,20.62
2356,英業達,27585426,28935035,34384036,-4.66,-19.77,257269708,296370001,-13.19
2357,華碩,27722318,26204728,23571901,5.79,17.6,222191211,152796826,45.41
2358,美格,131773,88078,101281,49.6,30.1,687032,853477,-19.5
2361,鴻友科技,152291,108462,184360,40.4,-17.39,661856,936339,-29.31
2362,藍天,889819,1011131,1742967,-11.99,-48.94,8301878,11817886,-29.75
2364,倫飛電腦,155924,122591,118895,27.19,31.14,1355921,1205537,12.47
2365,昆盈企業,803325,794653,901992,1.09,-10.93,6784163,5883878,15.3
2376,技嘉,4714318,3756265,4702573,25.5,0.24,36053924,34152931,5.56
2377,微星科技,8212338,6506443,8300729,26.21,-1.06,64388632,59844311,7.59
2380,虹光精密,291717,260124,287357,12.14,1.51,2305073,2405176,-4.16
2382,廣達,93207096,85257478,68438345,9.32,36.19,781376422,491739913,58.9
2385,群光電子,2180305,1645436,2110244,32.5,3.32,14288264,12324525,15.93
2387,精元電腦,207782,167417,175151,24.11,18.63,1535664,1295207,18.56
2395,研華,1474467,1546786,922074,-4.67,59.9,11864083,7592962,56.25
2397,友通資訊,121846,138034,107546,-11.72,13.29,1142111,1300714,-12.19
2399,映泰,540227,509308,796236,6.07,-32.15,5115324,5993050,-14.64
2405,浩鑫,351981,434808,103074,-19.04,241.48,2075691,735189,182.33
2417,圓剛,278374,363241,149130,-23.36,86.66,2324788,1278008,81.9
2424,隴華電子,9854,41057,7209,-75.99,36.69,126545,53960,134.51
2438,英誌企業,10296,11761,3097,-12.45,232.45,102684,11633,782.69
2442,新美齊,346886,416231,1096796,-16.66,-68.37,4705002,6971942,-32.51
2465,麗臺科技,219551,251379,195271,-12.66,12.43,2200018,1882608,16.86
2474,可成科技,209695,141253,39332,48.45,433.14,1102772,729858,51.09
3002,歐格電子,43428,54706,70028,-20.61,-37.98,507409,552170,-8.1
3005,神基科技,551072,527328,743040,4.5,-25.83,3985482,4655879,-14.39
3013,晟銘電子,310894,238587,275463,30.3,12.86,2966094,2206857,34.4
3017,奇鋐科技,1013967,987382,842407,2.69,20.36,9371637,6118272,53.17
3022,威達電,607721,592438,503649,2.57,20.66,3573105,2222359,60.77
3046,建��,134720,178691,160829,-24.6,-16.23,1474749,1254495,17.55
3057,喬鼎資訊,153160,164622,113417,-6.96,35.04,1072653,920347,16.54
3060,銘異,502760,490735,572643,2.45,-12.2,4871298,4167905,16.87
3231,緯創,54285123,44872932,57792438,20.97,-6.06,407749378,378774243,7.64
3494,誠研科技,173820,191240,126133,-9.1,37.8,1315859,1147074,14.71
3515,華擎,963500,796221,1090311,21.0,-11.63,7030201,6920679,1.58
3701,大眾投控,-115381,4049,3663,-2949.61,-3249.9,36463,38200,-4.54
4915,致伸,3336774,2840739,2634176,17.46,26.67,24556262,17121250,43.42
4938,和碩,27112166,23678302,32554553,14.5,-16.71,231298047,223075873,3.68
6117,迎廣科技,252526,167145,268389,51.08,-5.91,2166522,1709533,26.73
6128,上福全球,135578,145356,142732,-6.72,-5.01,1320044,1142993,15.49
6166,凌華科技,361319,363337,166810,-0.55,116.6,2652380,1357983,95.31
6172,互億科技,29163,27459,42799,6.2,-31.86,425552,462622,-8.01
6206,飛捷,301055,341654,221483,-11.88,35.92,2440274,1836062,32.9
6230,超眾,203741,271786,220935,-25.03,-7.78,2284010,1372584,66.4
6235,華孚科技,7057,15410,43293,-54.2,-83.69,129974,465051,-72.05
6277,宏正科,285013,241329,218945,18.1,30.17,2138150,1578402,35.46
8008,建興電,3509534,3271247,3405733,7.28,3.04,31706407,21568230,47.0
8114,振樺電子,185387,164976,118065,12.37,57.02,1493094,943091,58.31
8210,勤誠興業,184061,205755,193357,-10.54,-4.8,1722199,1313105,31.15
9912,偉聯,48655,44952,55290,8.23,-12.0,395843,494009,-19.87
合計,合計,426063264,380285087,397266569,12.03,7.24,3420585896,2702477120,26.57
