公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2340,光磊,464285,413897,426442,12.17,8.87,1628364,1576483,3.29,-
2374,佳能,271470,322383,628431,-15.79,-56.8,1007223,2573204,-60.85,2020年4月與去年同期差異達50%以上說明：1.安控產品客戶出貨量下修。2.消費型數位相機出貨持續萎縮。
2393,億光,1935293,1775817,1732781,8.98,11.68,6453025,6853745,-5.84,-
2409,友達,20163563,20510410,20987887,-1.69,-3.92,73853746,87692872,-15.78,-
2426,鼎元,222865,179895,198532,23.88,12.25,714502,764930,-6.59,-
2448,晶電,1111889,1361232,1516703,-18.31,-26.69,4499617,5270156,-14.62,-
2486,一詮,355583,337253,334005,5.43,6.46,1171697,1150544,1.83,-
2489,瑞軒,1045391,1045297,1224854,0.0,-14.65,4019641,4112595,-2.26,-
3008,大立光,4683100,5444235,4983559,-13.98,-6.02,17897617,14807065,20.87,-
3019,亞光,1194932,1147005,1630457,4.17,-26.71,4118159,5738439,-28.23,-
3024,憶聲,99813,78363,92253,27.37,8.19,354107,442733,-20.01,-
3031,佰鴻,120580,123845,139899,-2.63,-13.8,386449,523702,-26.2,-
3038,全台,286659,276275,309619,3.75,-7.41,1101623,1200600,-8.24,-
3049,和鑫,211307,305777,379408,-30.89,-44.3,1110293,1239039,-10.39,-
3050,鈺德,73262,78821,72174,-7.05,1.5,314659,297010,5.94,108年9月26日子公司厚聚能源開發取得錸洋科技股權，經由會計師事務所重編107年及108年合併報表 ，因此更新合併後相關營收數。
3059,華晶科,516207,364086,512755,41.78,0.67,1629950,2236708,-27.12,-
3149,正達,218538,170892,224011,27.88,-2.44,620109,940739,-34.08,-
3356,奇偶,76000,105064,103585,-27.66,-26.63,404300,461663,-12.42,-
3383,新世紀,51198,48062,57653,6.52,-11.19,189102,218491,-13.45,-
3406,玉晶光,940629,1017646,533385,-7.56,76.35,3633003,1645596,120.77,因客戶需求較去年同期增加，致使公司本月營收優於去年同期。
3437,榮創,460522,423562,266562,8.72,72.76,1525276,1083101,40.82,客戶需求變化
3454,晶睿,463537,589249,666205,-21.33,-30.42,2042777,2378374,-14.11,-
3481,群創,20656833,19677301,20856003,4.97,-0.95,71048408,80780026,-12.04,-
3504,揚明光,336900,295351,402475,14.06,-16.29,1033837,1658811,-37.67,-
3535,晶彩科,68635,159074,323903,-56.85,-78.81,386948,1111048,-65.17,本公司以銷售機台為主，109年04月出售機台較去年同期減少，此為產業特性，尚屬正常。
3543,州巧,207889,248031,258234,-16.18,-19.49,877465,951750,-7.8,-
3557,嘉威,271888,476512,11710,-42.94,2221.84,1775075,27558,6341.23,因併購致合併營收較去年同期增加，惟因循序進入出貨淡季，故營收較上月減少
3563,牧德,255902,252833,254013,1.21,0.74,942066,924696,1.87,-
3576,聯合再生,849212,1208453,2025311,-29.72,-58.07,3836184,6326379,-39.36,因疫情衝擊，導致營收減少
3591,艾笛森,189316,260940,206510,-27.44,-8.32,685790,850143,-19.33,-
3622,洋華,37995,31844,41924,19.31,-9.37,154560,180122,-14.19,-
3669,圓展,210877,203810,177863,3.46,18.56,684987,642266,6.65,-
3698,隆達,754604,623222,815899,21.08,-7.51,2433403,2983505,-18.43,-
4934,太極,188914,165322,179959,14.27,4.97,691124,691597,-0.06,-
4942,嘉彰,553784,550507,575562,0.59,-3.78,1911667,2415111,-20.84,-
4956,光鋐,107766,101408,105303,6.26,2.33,358912,402342,-10.79,-
4960,誠美材,837821,793089,1330542,5.64,-37.03,2787036,5354869,-47.95,"108年12月後,原重要子公司昆山之奇美材料科技有限公司改列為轉投資公司,故其營業收入無須再併入本公司營收合併申報"
4976,佳凌,62916,76003,127387,-17.21,-50.61,284789,472090,-39.67,受嚴重特殊傳染性肺炎疫情影響
5234,達興材料,377198,377447,379947,-0.06,-0.72,1478451,1501886,-1.56,-
6116,彩晶,1017219,1301208,1383842,-21.82,-26.49,4433949,4646294,-4.57,-
6120,達運,941536,987277,1284528,-4.63,-26.7,3642553,5577001,-34.68,-
6131,鈞泰,363,-6168,7719,105.88,-95.29,-7775,-1135,-585.02,當月投資評價利益，致使本月及本年累計增減百分比達50%以上
6164,華興,82473,74991,91661,9.97,-10.02,272856,319261,-14.53,-
6168,宏齊,186625,201533,160781,-7.39,16.07,797886,785168,1.61,-
6176,瑞儀,5104938,3364388,4540683,51.73,12.42,13672781,19399552,-29.52,-
6225,天瀚,368,852,838,-56.8,-56.08,2273,3433,-33.78,受新冠疫情影響消費力道
6278,台表科,3189283,3111687,3005272,2.49,6.12,11537078,11453761,0.72,-
6289,華上,5340,6794,10034,-21.4,-46.78,22517,40309,-44.13,-
6405,悅城,40877,35803,42324,14.17,-3.41,129303,153979,-16.02,-
6477,安集,140041,66540,178179,110.46,-21.4,322502,696810,-53.71,本年度累積模組銷售量較去年同期減少，故整體合併營收下降。
6668,中揚光,126563,154649,72303,-18.16,75.04,521725,337838,54.43,客戶產品發表訂單增加
6706,惠特,239859,289829,449566,-17.24,-46.64,1131154,1403401,-19.39,-
8104,錸寶,154004,122335,130970,25.88,17.58,424789,631912,-32.77,-
8105,凌巨,600368,547401,820022,9.67,-26.78,2158999,2755474,-21.64,-
8215,明基材,1224590,1400781,1167411,-12.57,4.89,4668196,4559222,2.39,-
合計,合計,73989520,73280113,78439838,0.96,-5.67,263776727,303244268,-13.01,
