公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1435,中福,1242,1299,1787,-4.38,-30.49,4979,7151,-30.37,-
1437,勤益控,39674,41894,42797,-5.29,-7.29,215966,237573,-9.09,-
1516,川飛,71522,89652,79371,-20.22,-9.88,338933,140293,141.58,主係客戶採購量增加所致
2062,橋椿,408929,468177,550520,-12.65,-25.71,1783338,2153800,-17.2,-
2348,海悅,172928,192987,75256,-10.39,129.78,711523,267602,165.88,本月及本年度增減百分比達50％以上，係因個案銷售狀況良好
2358,廷鑫,168250,124471,120358,35.17,39.79,461676,445451,3.64,-
2443,億麗,22908,30688,146980,-25.35,-84.41,189656,369681,-48.69,因大宗物資訂單變動及原列入合併營收之Chung Hong Electronics Poland Sp. z o. o 喪失控制權不列入，營業收入因而產生差異。
2496,卓越,72651,67631,74330,7.42,-2.25,272579,289058,-5.7,-
2514,龍邦,821807,784055,627857,4.81,30.89,2439413,1195245,104.09,自108年03月起併入瑞助營造(股)及其子公司
2904,匯僑,51191,34336,42889,49.08,19.35,168381,170377,-1.17,-
3040,遠見,10789,14308,14615,-24.59,-26.17,46113,61558,-25.09,-
4536,拓凱,615546,524896,683787,17.27,-9.97,1984603,2318902,-14.41,-
6184,大豐電,163876,166021,167638,-1.29,-2.24,661382,673242,-1.76,-
6464,台數科,363437,357337,234607,1.7,54.91,1430706,949643,50.65,本月及本年累計營業收入較去年同期及去年累計增加，係因完成得濬(股)公司股權交割案。該公司及其子公司收入已併入申報。
6504,南六,790813,698823,542493,13.16,45.77,2359252,2150183,9.72,-
6581,鋼聯,181823,63497,279522,186.34,-34.95,430933,667564,-35.44,-
6592,和潤企業,1135251,1183049,1130448,-4.04,0.42,4616474,4360791,5.86,-
6625,必應,12651,24814,53566,-49.01,-76.38,136814,299853,-54.37,因本期參與製作之演製活動等較去年同期減少所致
6655,科定,164020,145295,216087,12.88,-24.09,469891,708345,-33.66,-
6670,復盛應用,882125,1297490,1009085,-32.01,-12.58,4499359,5220643,-13.81,-
8341,日友,203236,240346,173006,-15.44,17.47,869750,715675,21.52,-
8422,可寧衛,201092,254512,240340,-20.98,-16.33,853187,920774,-7.34,-
8464,億豐,1698992,1571832,1989071,8.08,-14.58,6354677,7166741,-11.33,-
8473,山林水,314448,419813,385832,-25.09,-18.5,1408999,1473905,-4.4,-
8478,東哥遊艇,328192,355846,148040,-7.77,121.69,809245,399579,102.52,主係認列遊艇銷貨收入增加所致
8481,政伸,68460,112707,83664,-39.25,-18.17,352519,366832,-3.9,-
9902,台火,52406,64778,19883,-19.09,163.57,133705,42123,217.41,本月及累計營收較去年同期增加主要係因投標車輛營收較去年同期增加所致
9905,大華,699312,536145,653645,30.43,6.98,2085442,2601178,-19.82,-
9907,統一實,2542882,2644107,2566659,-3.82,-0.92,8741958,10343942,-15.48,-
9911,櫻花,424044,521105,452698,-18.62,-6.32,2020809,1833893,10.19,-
9914,美利達,2092468,1900043,2580055,10.12,-18.89,7352156,8155917,-9.85,-
9917,中保科,1122530,1090746,1095636,2.91,2.45,4419680,4406962,0.28,-
9924,福興,748782,612336,834254,22.28,-10.24,2506425,2825064,-11.27,-
9925,新保,593297,590157,586064,0.53,1.23,2353378,2341221,0.51,-
9927,泰銘,677869,786852,771395,-13.85,-12.12,2887094,2888619,-0.05,-
9928,中視,64067,52173,67369,22.79,-4.9,233094,217908,6.96,-
9929,秋雨,44051,51285,95497,-14.1,-53.87,305692,395075,-22.62,因新型冠狀病毒肺炎疫情影響子公司媒體收入
9930,中聯資源,837761,865602,777131,-3.21,7.8,3296473,3180322,3.65,-
9933,中鼎,5322742,4352750,4458911,22.28,19.37,16767102,18171369,-7.72,-
9935,慶豐富,321051,336443,561754,-4.57,-42.84,1246675,1687958,-26.14,-
9938,百和,1248844,2129722,1292121,-41.36,-3.34,5837129,5636050,3.56,-
9940,信義,850618,864455,1159410,-1.6,-26.63,3044677,4296729,-29.13,-
9941,裕融,2465179,2482208,2243533,-0.68,9.87,9861761,8439743,16.84,-
9942,茂順,231948,255403,289685,-9.18,-19.93,838516,1011287,-17.08,-
9944,新麗,217145,259318,292992,-16.26,-25.88,826788,1116241,-25.93,-
9955,佳龍,111224,138387,114448,-19.62,-2.81,497022,554238,-10.32,-
合計,合計,29634073,29799791,30027086,-0.55,-1.3,109125924,113876300,-4.17,
