公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2312,金寶,6350578,9066198,10737759,-29.95,-40.85,34526882,44692894,-22.74,-
2317,鴻海,380925137,347654242,379786358,9.57,0.29,1310605263,1436118502,-8.73,-
2354,鴻準,7225381,5611842,5977002,28.75,20.88,19018610,18865341,0.81,-
2359,所羅門,377456,260859,328754,44.69,14.81,1065015,1303359,-18.28,-
2360,致茂,1159307,1421225,1069364,-18.42,8.41,4530256,3811760,18.84,-
2390,云辰,45504,45027,49395,1.05,-7.87,178781,222688,-19.71,-
2423,固緯,175021,190737,204408,-8.23,-14.37,714461,797210,-10.37,-
2474,可成,7719226,7683468,4318484,0.46,78.74,25335600,20122784,25.9,無
2477,美隆電,235872,193287,379227,22.03,-37.8,780228,1139732,-31.54,-
2482,連宇,72390,76488,84091,-5.35,-13.91,325982,310467,4.99,-
2488,漢平,99767,46321,225377,115.38,-55.73,294477,749223,-60.69,中國大陸廠區受到新型冠狀肺炎疫情，供應商延遲復工影響，致營收較去年同期減少。
2495,普安,97463,73654,94197,32.32,3.46,339474,416858,-18.56,-
3030,德律,480595,558310,371602,-13.91,29.33,1643096,1347961,21.89,-
3305,昇貿,420715,314175,375875,33.91,11.92,1371450,1623123,-15.5,-
3450,聯鈞,570981,554441,488238,2.98,16.94,1855158,1943138,-4.52,-
3518,柏騰,65894,51412,48494,28.16,35.88,163004,163323,-0.19,-
3617,碩天,572008,573725,784438,-0.29,-27.08,2486329,2756124,-9.78,-
6139,亞翔,1207913,1156467,1383882,4.44,-12.71,4023942,6065959,-33.66,合併營收數字係自結本業合併營收，最終亞翔合併營收數字以會計師查核為準。
6192,巨路,461032,592659,531071,-22.2,-13.18,1842515,1995760,-7.67,-
6196,帆宣,1970740,1818630,2032569,8.36,-3.04,7469059,7785627,-4.06,-
6201,亞弘電,247452,210280,288256,17.67,-14.15,801983,1098902,-27.01,-
6215,和椿,185825,160450,129177,15.81,43.85,528510,445793,18.55,-
6283,淳安,115953,81104,96379,42.96,20.3,294668,330529,-10.84,-
6409,旭隼,1273330,1115772,1173731,14.12,8.48,3823301,4028267,-5.08,-
6558,興能高,157609,76071,196292,107.18,-19.7,368283,632978,-41.81,-
6698,旭暉應材,37566,46768,69329,-19.67,-45.81,176674,276201,-36.03,-
8021,尖點,235164,228976,251234,2.7,-6.39,833015,906435,-8.09,-
8201,無敵,64656,112149,88683,-42.34,-27.09,350791,438016,-19.91,-
合計,合計,412550535,379974737,411563666,8.57,0.23,1425746807,1560388954,-8.62,
