公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1708,東鹼,339415,364674,385650,-6.92,-11.98,1396936,1302384,7.25,-
1709,和益,660616,760650,748893,-13.15,-11.78,3018345,2755329,9.54,-
1710,東聯,1478763,1444652,2212407,2.36,-33.16,5790532,8812375,-34.29,無
1711,永光,555992,874017,847429,-36.38,-34.39,2826469,3150793,-10.29,-
1712,興農,1550126,1767722,1465595,-12.3,5.76,6236804,6048080,3.12,-
1713,國化,37460,52050,51639,-28.03,-27.45,168060,203204,-17.29,-
1714,和桐,2129826,2265616,2527976,-5.99,-15.74,7607359,9088585,-16.29,-
1717,長興,3174938,3248291,3554479,-2.25,-10.67,10804453,12992296,-16.83,-
1718,中纖,2108027,2391400,3154830,-11.84,-33.18,9689904,12862478,-24.66,本月份自結異業別合併營收資訊，未經會計師簽證或核閱
1721,三晃,237645,287327,265931,-17.29,-10.63,1067906,1126658,-5.21,-
1722,台肥,914754,1115866,1145866,-18.02,-20.16,3941912,4646146,-15.15,-
1723,中碳,332281,526725,631257,-36.91,-47.36,1931458,2650384,-27.12,-
1724,台硝,143647,161603,159847,-11.11,-10.13,595805,604879,-1.5,-
1725,元禎,611240,574853,858623,6.32,-28.81,2249802,3099332,-27.41,-
1727,中華化,151082,166749,203815,-9.39,-25.87,640313,758808,-15.61,-
1730,花仙子,248280,196485,318467,26.36,-22.03,917201,1322238,-30.63,-
1735,日勝化,157351,234984,273969,-33.03,-42.56,688575,981484,-29.84,-
1773,勝一,660281,694073,598721,-4.86,10.28,2638651,2285594,15.44,-
3708,上緯投控,753753,533901,566613,41.17,33.02,1861411,2089723,-10.92,-
4722,國精化,315217,414176,407465,-23.89,-22.63,1266357,1538541,-17.69,-
4739,康普,400871,423101,546626,-5.25,-26.66,1758887,2102063,-16.32,-
4755,三福化,294982,336221,368633,-12.26,-19.97,1195443,1328927,-10.04,-
4764,雙鍵,249583,255372,340329,-2.26,-26.66,813302,1242096,-34.52,-
4766,南寶,1177977,1359220,1463933,-13.33,-19.53,4907380,5225222,-6.08,-
合計,合計,18684107,20449728,23098993,-8.63,-19.11,74013265,88217619,-16.1,
