公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2302,麗正,45539,34011,40408,33.89,12.69,143990,151277,-4.81,-
2303,聯電,15059189,14570408,12082275,3.35,24.63,57327036,44665234,28.34,-
2329,華泰,1217418,1309518,1480791,-7.03,-17.78,4859951,5376815,-9.61,-
2330,台積電,96001572,113519599,74693615,-15.43,28.52,406598755,293398084,38.58,-
2337,旺宏,3428450,3882239,2085374,-11.68,64.4,12843608,8114273,58.28,2020年四月較去年同期營收成長64.4%，主要係因客戶需求增加，而使銷貨較去年同期成長。
2338,光罩,354049,397882,259069,-11.01,36.66,1459917,970323,50.45,本公司合併美祿/威達/群豐之營收
2342,茂矽,163441,135903,82713,20.26,97.6,560389,451375,24.15,主要係接單狀況較去年同期增加所致
2344,華邦電,4348589,4140767,3903846,5.01,11.39,15897592,14790614,7.48,-
2351,順德,680637,721745,784802,-5.69,-13.27,2626130,3051843,-13.94,-
2363,矽統,26407,12102,18871,118.2,39.93,55180,80490,-31.44,-
2369,菱生,441899,474988,355940,-6.96,24.14,1723636,1346363,28.02,-
2379,瑞昱,5533446,5430381,4872021,1.89,13.57,21461478,17706663,21.2,無
2388,威盛,446621,628755,483971,-28.96,-7.71,1963056,1738960,12.88,-
2408,南亞科,5619678,5355593,4110913,4.93,36.7,20038548,15482718,29.42,-
2434,統懋,11065,14554,17832,-23.97,-37.94,42181,57780,-26.99,-
2436,偉詮電,235845,213489,182221,10.47,29.42,710674,682665,4.1,-
2441,超豐,1158422,1176595,963858,-1.54,20.18,4431121,3507260,26.34,-
2449,京元電子,2584819,2490576,1920944,3.78,34.55,9585973,7181068,33.48,-
2451,創見,790267,1021927,1071629,-22.66,-26.25,4010677,4751549,-15.59,-
2454,聯發科,20545910,22824361,21553235,-9.98,-4.67,81408885,74275128,9.6,海外子公司之營收係以當月平均匯率換算之
2458,義隆,1039028,971536,696720,6.94,49.13,3245269,2577334,25.91,-
2481,強茂,872902,872940,761110,-0.0,14.68,3011367,2808862,7.2,"本月營收淨額含二極體$854,535仟元及其他$23,369仟元，減銷退/折$5,002仟元。"
3006,晶豪科,1222784,1451116,1026710,-15.73,19.09,4886514,3651075,33.83,-
3014,聯陽,355318,319799,279254,11.1,27.23,1199680,1013617,18.35,-
3016,嘉晶,353752,337465,335460,4.82,5.45,1356864,1349620,0.53,-
3034,聯詠,6544234,5811922,5520124,12.6,18.55,23435388,20466560,14.5,-
3035,智原,366924,444727,354076,-17.49,3.62,1632348,1451455,12.46,-
3041,揚智,139187,160331,126378,-13.18,10.13,637213,683352,-6.75,-
3054,立萬利,36147,37841,5560,-4.47,550.12,138546,29735,365.93,受市場需求增加及產品調整等影響，致本期營收較去年同期大幅增加。
3094,聯傑,24401,18381,18111,32.75,34.73,73674,65492,12.49,-
3189,景碩,2061186,2190683,1865849,-5.91,10.46,7953519,6784920,17.22,-
3257,虹冠電,71055,56151,40698,26.54,74.59,227923,155074,46.97,客戶需求增加
3413,京鼎,859646,840596,617460,2.26,39.22,2905939,2217021,31.07,-
3443,創意,1077824,1200234,784097,-10.19,37.46,4247691,3345392,26.97,-
3530,晶相光,169372,259584,182528,-34.75,-7.2,769139,533664,44.12,-
3532,台勝科,1018592,1003590,960113,1.49,6.09,3950134,4602658,-14.17,-
3536,誠創,51777,41811,132496,23.83,-60.92,149705,370832,-59.62,"因本月整流器營收下滑,致營收較去年衰退"
3545,敦泰,943357,1151652,770371,-18.08,22.45,3852993,2410314,59.85,主力產品市占率顯著提升
3583,辛耘,248223,226728,318625,9.48,-22.09,878317,1366818,-35.74,-
