公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1301,台塑,14752079,15400468,19209008,-4.21,-23.2,56771258,72221084,-21.39,-
1303,南亞,20411078,23244809,25074397,-12.19,-18.59,85968587,95994516,-10.44,-
1304,台聚,3505359,4154619,4838177,-15.62,-27.54,14861729,18326025,-18.9,-
1305,華夏,717906,1279672,1322372,-43.89,-45.71,4309121,4550085,-5.29,-
1308,亞聚,433191,499915,622183,-13.34,-30.37,1747245,2331789,-25.06,-
1309,台達化,1151977,1033774,1588471,11.43,-27.47,4110330,6188462,-33.58,-
1310,台苯,590995,419530,1058511,40.87,-44.16,2289247,3995668,-42.7,-
1312,國喬,1100991,1107724,1880808,-0.6,-41.46,4709347,6886931,-31.61,-
1313,聯成,4033358,3767808,5712007,7.04,-29.38,12892135,21096717,-38.89,-
1314,中石化,1366840,1568761,2737182,-12.87,-50.06,6667915,10875213,-38.68,工廠歲修定檢及受疫情影響致終端需求萎縮
1315,達新,138397,192450,153983,-28.08,-10.12,656606,669198,-1.88,-
1321,大洋,310791,394797,399857,-21.27,-22.27,1407158,1443152,-2.49,-
1324,地球,83401,105320,99656,-20.81,-16.31,366288,390595,-6.22,-
1325,恆大,316354,262200,67408,20.65,369.31,744453,263061,182.99,受新冠肺炎影響致營收增加
1326,台化,18134268,20766240,28942093,-12.67,-37.34,82578321,120374763,-31.39,-
合計,合計,67046985,74198087,93706113,-9.63,-28.44,280079740,365607259,-23.39,
