公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1316,上曜,219677,106731,48168,105.82,356.06,395476,182412,116.8,本月增加房地收入
1436,華友聯,28317,69295,40703,-59.13,-30.43,419222,545869,-23.2,-
1438,裕豐,0,84580,1,-100.0,-100.0,84582,6,1409600.0,"108年累計銷售商品6仟元,109年累計銷售商品及土地84,582仟元,故營收變化大。"
1442,名軒,79708,36664,47969,117.4,66.16,181672,207937,-12.63,本月認收5戶，去年同期認收2戶，故兩期差異大。
1805,寶徠,59309,60690,10542,-2.27,462.59,121451,26585,356.84,本年營收較高主要係增加認列新店康橋旭案之收入所致。
1808,潤隆,341882,354446,254481,-3.54,34.34,911623,1099699,-17.1,-
2501,國建,339033,184920,1731716,83.34,-80.42,1179342,3582605,-67.08,本月交屋入帳較少
2505,國揚,112108,110440,53858,1.51,108.15,337115,141257,138.65,"本年度營建收入333,072仟元，租賃收入4,043仟元。"
2509,全坤建,40581,156083,59173,-74.0,-31.41,353761,853761,-58.56,"本年累計營收較去年同期累計減少,主要係認列餘屋銷售所致."
2511,太子,747117,956001,1017576,-21.84,-26.57,3370670,3927232,-14.17,-
2515,中工,1104846,992378,1033423,11.33,6.91,3967715,4357233,-8.93,-
2516,新建,433300,381443,568263,13.59,-23.75,1429554,2346975,-39.08,-
2520,冠德,1858612,1818017,1527583,2.23,21.67,5755886,4563928,26.11,-
2524,京城,863045,457171,382052,88.77,125.89,2588112,1459757,77.29,本月營業收入較去年同期大幅成長，主要原因為享京城個案銷售成績佳，已完工開始入帳，其他個案也都有一定水平銷售成績所致。
2527,宏璟,193645,220416,356418,-12.14,-45.66,824696,996554,-17.24,-
2528,皇普,21,21,3096,0.0,-99.32,84,5823,-98.55,主係109年04月認列租賃收入21仟元所致
2530,華建,655,701,706,-6.56,-7.22,2872,4633,-38.0,-
2534,宏盛,144191,228860,145572,-36.99,-0.94,787838,1252890,-37.11,-
2535,達欣工,734826,878810,889346,-16.38,-17.37,3058410,3173444,-3.62,-
2536,宏普,529283,332276,116102,59.29,355.87,1570195,424297,270.06,"今年本期餘屋銷售交屋量較去年同期增加,因此營收較多"
2537,聯上發,599965,277755,45682,116.0,1213.35,917877,282510,224.9,本月營收較去年增加，係認列新北市房地出售收入所致
2538,基泰,11223,11733,11562,-4.34,-2.93,110894,46912,136.38,本年度較去年同期增加，係因本年度出售餘屋
2539,櫻花建,689502,24785,959824,2681.93,-28.16,1393746,1140214,22.23,無異常。本月有「櫻花孩子王」、「櫻花青上森」、「櫻花學-品學區」建案陸續過戶中。
2542,興富發,5839412,1004557,1628741,481.29,258.52,7912894,10608553,-25.41,主係認列出售「南港五」土地收入所致。
2545,皇翔,257566,514522,266604,-49.94,-3.39,1306967,793846,64.63,本公司營收較去年增加，係因銷售情形較佳所致。
2546,根基,1274783,1121745,1034828,13.64,23.18,4046987,3766593,7.44,-
2548,華固,2623716,162145,113814,1518.12,2205.26,3643167,1076465,238.43,本公司截至4月底累計營收較去年同期增加，係因本期認列交屋金額較高所致。
2597,潤弘,925927,1069945,858993,-13.46,7.79,3654048,2783112,31.29,-
3056,總太,38972,297548,21973,-86.9,77.36,1590810,67125,2269.92,營收增加係個案織築完工交屋所致。
3266,昇陽,159825,65093,113323,145.53,41.03,496293,303809,63.35,因營建收入受政策、全部完工法及建案規模不同等影響，故營收波動較大。
5515,建國,748293,571262,678541,30.98,10.27,2264673,2138268,5.91,-
5519,隆大,292678,194484,823923,50.48,-64.47,701596,1565528,-55.18,主係去年同期因本公司出售J26案之土地於108年4月完成所有權登記程序認列土地收入較多所致。
5521,工信,324349,435946,391333,-25.59,-17.11,1309148,1201954,8.91,無
5522,遠雄,2099845,898890,780448,133.6,169.05,7658897,6923896,10.61,本月因過戶交屋較去年多，致營收較去年同期增加
5525,順天,66287,135249,183786,-50.98,-63.93,426945,937142,-54.44,本月份母公司主要營收為租賃收入
5533,皇鼎,62128,85583,126440,-27.4,-50.86,305631,593706,-48.52,本月營收較去年同期減少達50%以上，係兩期個案營收組成因子不同。
6177,達麗,101343,1163114,477885,-91.28,-78.79,1589725,3975243,-60.0,本期與去年同期差異，主係本期餘屋銷售成交量及新完工建案規模均不及去年同期所致。
9906,欣巴巴,20288,12,12,168966.66,168966.66,28970,45,64277.77,因有個案銷售認列收入。
合計,合計,23966258,15464311,16804460,54.97,42.61,66699544,67357818,-0.97,
