公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1319,東陽,1016803,1611658,1817693,-36.9,-44.06,5812767,7127586,-18.44,-
1512,瑞利,68960,92888,141025,-25.76,-51.1,397569,558411,-28.8,1.台灣母公司去年同期有模具結案金額，本月則無。2.AM零件陸續因北美客戶受疫情影響致客戶訂單減少，導致本月營收大幅下滑。
1524,耿鼎,99051,189572,200517,-47.75,-50.6,640693,795578,-19.46,主係歐美主要客戶受新冠肺炎影響，客戶延緩或取消訂單，致業績受影響，預期疫情減緩，歐美解除封城後，客戶延遲訂單會逐步恢復。
1525,江申,97211,92360,122784,5.25,-20.82,304882,475110,-35.82,-
1533,車王電,156048,187579,231081,-16.8,-32.47,745254,887437,-16.02,-
1568,倉佑,101256,150455,173325,-32.7,-41.58,502478,628882,-20.09,-
2201,裕隆,6645932,5588548,7154796,18.92,-7.11,23803598,28190846,-15.56,-
2204,中華,2160397,2295873,2636396,-5.9,-18.05,9804300,11362855,-13.71,-
2227,裕日車,2530300,2455470,1978421,3.04,27.89,9890934,10814649,-8.54,-
2231,為升,204524,272842,313860,-25.03,-34.83,1066639,1326647,-19.59,-
2233,宇隆,185144,195027,188017,-5.06,-1.52,745913,817374,-8.74,-
2497,怡利電,68523,102426,200368,-33.09,-65.8,477096,737303,-35.29,係因受新冠肺炎的影響，車廠停工，致營收大幅減少
6288,聯嘉,72214,306946,357673,-76.47,-79.81,1007438,1363005,-26.08,本公司本月營收減少，主要係因新冠狀肺炎疫情之影響，北美客戶暫時關閉其工廠，致使出貨遞延所致。
6605,帝寶,789143,1286154,1185850,-38.64,-33.45,4641916,5290082,-12.25,-
合計,合計,14195506,14827798,16701806,-4.26,-15.0,59841477,70375765,-14.96,
