公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1598,岱宇,773185,768689,452865,0.58,70.73,2376792,2234354,6.37,新冠肺炎疫情帶動家用健身器材需求激增
1701,中化,701073,728371,668917,-3.74,4.8,2806750,2663104,5.39,-
1720,生達,370344,393137,321953,-5.79,15.03,1404753,1168129,20.25,-
1733,五鼎,130885,169925,193298,-22.97,-32.28,642815,718232,-10.5,因COVID-19造成原物料短缺及航運減班， 以致遞延岀貨。
1736,喬山,1663022,2274687,1847235,-26.89,-9.97,7197540,7184047,0.18,-
1760,寶齡富錦,97109,96943,140617,0.17,-30.94,437715,498038,-12.11,-
1762,中化生,184136,113883,71108,61.68,158.95,491576,416572,18.0,單月營收較去年同期增加，主係MMF、FK-506、EVE、RAPA等產品銷售較去年同期增加所致。
1783,和康生,29423,54679,32453,-46.18,-9.33,132749,124689,6.46,-
1786,科妍,28569,49756,23105,-42.58,23.64,138383,127541,8.5,-
1789,神隆,352122,181101,126164,94.43,179.09,894645,898209,-0.39,因新冠疫情影響部分銷售遞延至本月，以及客戶委託製造業務需求增加，致本月營收較去年同期成長。
3164,景岳,26031,42390,20430,-38.59,27.41,106551,111518,-4.45,-
4104,佳醫,543510,565116,486088,-3.82,11.81,2277089,2084601,9.23,-
4106,雃博,145948,180291,146171,-19.04,-0.15,563011,661750,-14.92,-
4108,懷特,5348,6790,8128,-21.23,-34.2,18808,39149,-51.95,處方藥原料供應延遲，預計7月充分供應；其他黃耆保健品將陸續推出。
4119,旭富,274608,243595,201902,12.73,36.01,1058936,805589,31.44,-
4133,亞諾法,34838,38118,32308,-8.6,7.83,134748,140889,-4.35,-
4142,國光生,5014,5177,26612,-3.14,-81.15,372027,86798,328.61,累計營收較去年同期增加主要係因銷售國內四價流感所致。
4155,訊映,110169,121803,81757,-9.55,34.75,481028,363683,32.26,-
4737,華廣,117527,107680,198277,9.14,-40.72,470933,562468,-16.27,-
4746,台耀,248879,288959,215866,-13.87,15.29,911522,867384,5.08,-
6491,晶碩,251051,248922,236495,0.85,6.15,972497,996114,-2.37,-
合計,合計,6092791,6680012,5531749,-8.79,10.14,23890868,22752858,5.0,
