公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1409,新纖,2446234,2775925,3549872,-11.87,-31.08,10385555,13399964,-22.49,-
1410,南染,35217,38973,33432,-9.63,5.33,132480,129781,2.07,-
1413,宏洲,88220,142094,294785,-37.91,-70.07,546445,1182558,-53.79,疫情影響，下游需求急速萎縮
1414,東和,50885,67930,64024,-25.09,-20.52,260987,275161,-5.15,-
1416,廣豐,33377,15056,19058,121.68,75.13,83334,75136,10.91,"本月餘屋出售1戶營建收入19,941仟元；去年同期金額為0."
1417,嘉裕,49007,55200,108302,-11.21,-54.74,331231,481874,-31.26,因新冠肺炎疫情影響
1418,東華,772,12667,22990,-93.9,-96.64,34826,105193,-66.89,因客戶受新冠狀肺炎疫情之影響調降開工率及主原料丙烯腈價格持續下跌，造成亞克力纖維市場需求停滯。
1419,新紡,162217,222376,146762,-27.05,10.53,728496,551239,32.15,-
1423,利華,15837,19015,63594,-16.71,-75.09,73165,175694,-58.35,4月份整體市場概況與3月份說明大致相同。
1434,福懋,2406454,3071375,3530905,-21.64,-31.84,10977835,13051950,-15.89,-
1439,中和,3160,27092,17363,-88.33,-81.8,52888,72814,-27.36,因主要客戶受新型冠狀病毒肺炎疫情擴散影響，而擴大實施管制，影響經濟活動，致使本月營收大幅減少。
1440,南紡,1036389,1704740,1972090,-39.2,-47.44,6074273,7737477,-21.49,-
1441,大東,97050,172867,131729,-43.85,-26.32,576195,508958,13.21,-
1443,立益,40630,55681,63051,-27.03,-35.56,186257,240390,-22.51,-
1444,力麗,613571,888025,1020252,-30.9,-39.86,3057270,4207330,-27.33,-
1445,大宇,53183,101807,124374,-47.76,-57.23,370879,515772,-28.09,受新冠肺炎疫情影響營收下降
1446,宏和,51438,70954,43963,-27.5,17.0,177959,127391,39.69,-
1447,力鵬,652727,967469,1422954,-32.53,-54.12,3543314,5248295,-32.48,受新冠狀病毒疫情影響尼龍粒銷量較去年同期減少，銷售單價下降。
1451,年興,140598,615361,639664,-77.15,-78.02,2014258,2736237,-26.38,為控制新冠肺炎疫情，賴索托及墨西哥產區分別於3/29~5/5及4/5~6/1期間配當地政府政策暫時停工。
1452,宏益,28631,112721,178997,-74.6,-84.0,401976,689826,-41.72,受新型冠狀病毒疫情影響，全球市場需求急凍，致本期營業收入淨額較去年同期大幅減少。
1453,大將,56,56,37,0.0,51.35,20549,273,7427.1,"本年營收增加,係因本年銷售待售房屋所致"
1454,台富,98533,134983,176514,-27.0,-44.17,490836,648551,-24.31,-
1455,集盛,384667,746898,1117121,-48.49,-65.56,2529003,4660193,-45.73,因受新冠肺炎疫情影響致營收減少
1456,怡華,73128,23049,114232,217.27,-35.98,183351,309657,-40.78,本月認列建設收入較去年本月減少所致
1457,宜進,160102,299830,483979,-46.6,-66.91,1050891,1851136,-43.22,本公司於108年10月31日經董事會決議，為終止台南廠虧損停止加工絲之生產，以減少營業損失及新冠肺炎影響，致營業額大幅降低。
1459,聯發,88286,201379,294357,-56.15,-70.0,647848,1209808,-46.45,主係市場低迷，在下游廠商多保持觀望態度與去化庫存狀況下，致本期營收減少。
1463,強盛,33359,46737,47524,-28.62,-29.8,237953,201899,17.85,-
1464,得力,519665,980301,815113,-46.98,-36.24,3059094,3125806,-2.13,-
1465,偉全,26282,53883,92688,-51.22,-71.64,154378,393917,-60.8,本年營收較去年同期減少，主要係因去年同期含已處分子公司之營收及本年度受新型冠狀病毒疫情影響客戶需求萎縮。
1466,聚隆,92549,275237,305811,-66.37,-69.73,878524,1304089,-32.63,受新冠肺炎疫情影響，全球需求減少，造成營收銳減
1468,昶和,110768,94163,94992,17.63,16.6,354327,330432,7.23,-
1470,大統新創,39589,83204,73403,-52.41,-46.06,245823,282900,-13.1,-
1473,台南,306666,523620,391520,-41.43,-21.67,2287620,2508184,-8.79,-
1474,弘裕,189267,302680,304444,-37.46,-37.83,868618,1168381,-25.65,-
1475,本盟,1694,2855,4594,-40.66,-63.12,12838,18920,-32.14,(1)調整紡織產品銷售組合(2)因三月處份子公司京之最故從四月起無餐飲營收
1476,儒鴻,1490917,1904112,2040691,-21.7,-26.94,7503476,8284988,-9.43,-
1477,聚陽,1133062,2344774,1819006,-51.67,-37.7,7263946,8538581,-14.92,-
4426,利勤,64017,122989,235561,-47.94,-72.82,463152,870800,-46.81,受疫情影響，出貨減少
4438,廣越,476734,582639,747694,-18.17,-36.23,2320629,3115001,-25.5,-
合計,合計,13294938,19860717,22607442,-33.05,-41.19,70582479,90336556,-21.86,
