公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2208,台船,1831850,1802684,953307,1.61,92.15,7330359,4124784,77.71,主要艦艇業務依進度認列營收所致
2603,長榮,14215784,13704080,15309434,3.73,-7.14,57643458,60956997,-5.43,-
2605,新興,311151,323702,230787,-3.87,34.82,1468643,1150970,27.6,-
2606,裕民,536395,631075,633461,-15.0,-15.32,2438868,2698617,-9.62,-
2607,榮運,567676,621240,653365,-8.62,-13.11,2356475,2571237,-8.35,-
2612,中航,245612,274295,307542,-10.45,-20.13,1060409,1271472,-16.59,-
2613,中櫃,231528,240385,231837,-3.68,-0.13,893122,886702,0.72,-
2615,萬海,5356326,6406916,6014699,-16.39,-10.94,23363665,23309560,0.23,-
2618,長榮航,5889579,6786079,15637518,-13.21,-62.33,36122677,59950245,-39.74,主係受新冠肺炎疫情影響，航班取消致營收大幅減少。
2630,亞航,309044,293554,339774,5.27,-9.04,1120180,1225278,-8.57,-
2633,台灣高鐵,2034083,2377640,4054767,-14.44,-49.83,11634366,15816957,-26.44,受疫情影響，運量減少所致。
2634,漢翔,1353940,1886970,2231607,-28.24,-39.32,6970717,8304704,-16.06,-
2642,宅配通,301601,302846,289573,-0.41,4.15,1268855,1185074,7.06,-
5607,遠雄港,151351,158381,143987,-4.43,5.11,580007,561895,3.22,-
5608,四維航,199374,198117,310030,0.63,-35.69,838874,1273677,-34.13,-
8367,建新國際,161890,166770,147979,-2.92,9.4,635342,515366,23.27,-
合計,合計,33697184,36174734,47489667,-6.84,-29.04,155726017,185803535,-16.18,
