公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2701,萬企,14416,21295,29890,-32.3,-51.76,89704,114379,-21.57,本月營業收入減少係育樂及租賃收入減少
2702,華園,22513,50974,97973,-55.83,-77.02,303201,381066,-20.43,主要係受新冠肺炎影響，致使營收大幅減少
2704,國賓,69542,85412,211493,-18.58,-67.11,620509,1016301,-38.94,本月及本年累計較去年同期減少，主要係受新冠肺炎影響，致使客房收入及餐飲收入大幅減少。
2705,六福,36053,54083,166083,-33.33,-78.29,351409,671256,-47.64,受新型冠狀病毒疫情影響，本公司4月整體營收較去年減少50%以上，本公司將持續關注事件發展
2706,第一店,16448,22501,28575,-26.9,-42.43,91676,113659,-19.34,-
2707,晶華,267095,296523,478596,-9.92,-44.19,1630262,2159720,-24.51,-
2712,遠雄來,18908,17539,28008,7.8,-32.49,114022,114531,-0.44,-
2727,王品,864279,762843,1203309,13.29,-28.17,3823404,5415794,-29.4,-
2731,雄獅,101070,383251,2491970,-73.62,-95.94,4550692,9725649,-53.2,因新型冠狀病毒肺炎疫情影響團體旅遊
2739,寒舍,100348,114476,322324,-12.34,-68.86,828393,1483596,-44.16,主要係受新型冠狀病毒肺炎疫情影響所致。
2748,雲品,54008,92186,172042,-41.41,-68.6,553319,826514,-33.05,因新冠肺炎影響，致營收減少
5706,鳳凰,11650,39115,281503,-70.21,-95.86,384842,799483,-51.86,因新型冠狀病毒肺炎疫情影響國外團體旅遊
8462,柏文,261534,295859,289118,-11.6,-9.54,1134941,1126094,0.78,-
8940,新天地,11952,39517,80110,-69.75,-85.08,361822,631990,-42.74,本月較去年同期減少係因大陸新冠肺炎疫情影響，另因大吾疆公司股權出售，合併營收不包含大吾疆公司。
9943,好樂迪,142662,177889,221376,-19.8,-35.55,888583,1042806,-14.78,-
合計,合計,1992478,2453463,6102370,-18.78,-67.34,15726779,25622838,-38.62,
